{'短评内容': '还不错，就是房间有点小！', '短评打分': 4}
{'短评内容': '酒店环境好，硬件设施不错，房间大，非常值。酒店地理位置好，交通吃饭都很方便。服务人员态度好、热情、入住退房很快，下次还会选携程该酒店', '短评打分': 5}
{'短评内容': '房间干净，很好的酒店，', '短评打分': 5}
{'短评内容': '携程订房，本应定第二天的，定成了当天。到店就傻眼了。最后大约是大堂经理确定了不需再定，仍然满足已经过期的订单，特别感动。', '短评打分': 5}
{'短评内容': '酒店位置还可以，地处繁华地带，交通方便，据介绍装修时间不长，可进去一看，大失所望，不仅装修阵旧，整个房间充满着刺鼻的霉味，迫使我不得不更换酒店，', '短评打分': 5}
{'短评内容': '设施比较老，服务一般，房间911，指示牌居然只有910，坑', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '老酒店，一般般吧', '短评打分': 3}
{'短评内容': '整体不错，交通方便就是陈旧了点。', '短评打分': 4}
{'短评内容': '早餐简陋了点，感觉没啥可吃的。', '短评打分': 5}
{'短评内容': '房间还好。空调暖和。就是水质不太好，有点浑浊！', '短评打分': 4}
{'短评内容': '酒店设施老化，环境位置一般，早餐极其简单', '短评打分': 3}
{'短评内容': '早餐比较单一，简单', '短评打分': 5}
{'短评内容': '不错，有供暖了，服务不错，离会址也挺进', '短评打分': 5}
{'短评内容': '在新区吧，不错', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '有点老旧，感觉一般', '短评打分': 3}
{'短评内容': '有点老旧，感觉很一般', '短评打分': 3}
{'短评内容': '总体还是可以，住过很多次了，服务尚可，早餐一般', '短评打分': 5}
{'短评内容': '＋位置优异，交通便利，早餐还行，房间较大干净，赠送擦手巾和矿泉水，很不错！', '短评打分': 3}
{'短评内容': '评价酒店好与不好，关键还是看性价比，除了窗户密封不严隔音不好，其他都还不错。', '短评打分': 5}
{'短评内容': '酒店方便快捷，还赠送两瓶矿泉水，超值赠送早餐和两条精美全棉小面巾，太好了！空调效果极佳', '短评打分': 5}
{'短评内容': '酒店还不错，出门也方便。就是浴缸陈旧了点', '短评打分': 5}
{'短评内容': '我入住的是商务大床房，房间不错，设施很好，环境也不错，如果早餐更加丰富一些就更好了，擦脸毛巾是可以带走的，有机会我会推荐给我的朋友的。', '短评打分': 5}
{'短评内容': '刚入住', '短评打分': 3}
{'短评内容': '入住成功', '短评打分': 3}
{'短评内容': '外观挺气派的，房间还可以，又可以上网的电脑，只不过老自动关机。外面临近马路，所以全是喇叭声。附近有华联超市，很方便。', '短评打分': 1}
{'短评内容': '我不知道之前的好评何来，实事求是的说。酒店设施一般，不算好，但也不算坏。最大的问题是吵，酒店位于繁华的澳门路，全部的房间均临街，不临街的都是住家户。好像遵义人民开车特别喜欢按喇叭，我从酒店的窗口望下去，交通虽然繁忙，但并不拥堵。喇叭声音一天不断，一直到晚上12点过，早上一清早又开始了。如果是想找个安静的地方，强烈不建议这家酒店，如果只是想过一晚上，睡眠质量比较高的人士可以选这家', '短评打分': 1}
{'短评内容': '房间打扫的挺干净，舒适度挺好，设施也挺齐全，服务上也挺周到，这次住的挺满意。', '短评打分': 5}
{'短评内容': '酒店有专门地下停车场，停车很方便，服务管理也不错，房间挺干净，设施也挺好，住的也挺舒适。', '短评打分': 5}
{'短评内容': '服务上挺细心挺周到的，房间设计的挺别致，卫生也很到位，总体感觉挺不错。  ', '短评打分': 5}
{'短评内容': '酒店周边，娱乐餐饮挺多的，交通也挺便利，服务卫生方面也不错，价格也挺合适。', '短评打分': 5}
{'短评内容': '卫生做得很好，服务人员态度很热情，出行也挺方便，住的挺舒适。', '短评打分': 5}
{'短评内容': '这家酒店总体感觉挺不错，硬件软件方面都挺好，价格也挺合理。', '短评打分': 5}
{'短评内容': '服务人员态度还挺好，房间收拾的也挺利索，早餐自助形式的，口味也不错。', '短评打分': 5}
{'短评内容': '酒店还不错，卫生打扫的挺好，服务也挺到位，基本设施都有，价格也挺合理的。', '短评打分': 5}
{'短评内容': '酒店挺不错，设施挺齐全，网速也不慢，卫生打扫也不错，服务也挺周到。', '短评打分': 5}
{'短评内容': '位置挺好，周边交通吃饭都挺方便的，服务也挺周到的。', '短评打分': 5}
