{'短评内容': '此用户未填写评价内容', '短评打分': 5}
{'短评内容': '价格公道，环境很好，非常好', '短评打分': 5}
{'短评内容': '地点还好 早餐给住客的优惠竟然比不上大众点评的！太奇怪了', '短评打分': 4}
{'短评内容': '老酒店，还可以不过电梯太慢', '短评打分': 5}
{'短评内容': '位置不错，服务有待进一步提高', '短评打分': 4}
{'短评内容': '', '短评打分': 5}
{'短评内容': '没有普通房间了，这个房间好，就是太贵了', '短评打分': 5}
{'短评内容': '位置非常好，性价比不错', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '酒店很多中亚人，到处是外国香水味道，酒店自动升级大房，周围环境比较方便', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '客人不说话就算好的', '短评打分': 5}
{'短评内容': '差评，必须差评。就没见过这么牛的前台。一副欠了她的死样子。恶心。老子是来消费的，不是受气的。就这种服务水平，丢广州的脸。祝早日倒闭！！！', '短评打分': 5}
{'短评内容': '非常好，环境也很好，满意', '短评打分': 5}
{'短评内容': '很不错  很舒适 环境很好', '短评打分': 5}
{'短评内容': '价格实惠，特别好！下次一定继续购买', '短评打分': 5}
{'短评内容': '接待服务奇差！没有房间了不向客人表示道歉而是叫客人离开！表情象别人欠她钱似的！前台人员一问三不知，回答象政府发言人的语句！大堂经理尽是骗人的话，套路深！建议大家不要去住了！绝对的差评！', '短评打分': 1}
{'短评内容': '酒店环境整洁，服务生态度很好。性价比高', '短评打分': 5}
{'短评内容': '出了点特殊情况 其他都OK', '短评打分': 5}
{'短评内容': '代朋友订的，感觉还不错！', '短评打分': 4}
{'短评内容': '代人预订，下次还会来！', '短评打分': 4}
{'短评内容': '這家酒店周邊很方便，吃飯購買都很方便，晚上再晚也有地方吃飯。酒店很多外國人。干淨', '短评打分': 5}
{'短评内容': '便利', '短评打分': 5}
{'短评内容': '看看位置好，才定的', '短评打分': 5}
{'短评内容': '看看位置好，才定的', '短评打分': 5}
{'短评内容': '酒店服务好，房间设施不够新', '短评打分': 5}
{'短评内容': 'It is a conveniently located hotel.   Rooms are clean and spacious.  Good for short business trips. ', '短评打分': 4}
{'短评内容': '喜欢这个酒店', '短评打分': 5}
{'短评内容': '酒店还可以啊', '短评打分': 4}
{'短评内容': '酒店设施真的很旧', '短评打分': 4}
{'短评内容': '性价比高 服务态度很好 交通便利', '短评打分': 5}
{'短评内容': '搞装修吵死人,房价也贵,不好!', '短评打分': 3}
{'短评内容': 'very good. in the center of guangzhou city. ', '短评打分': 5}
{'短评内容': '按五星的话，性价比还算可以在广州，但家具就是旧了点，在此酒店住了几年都没怎变过的。', '短评打分': 5}
{'短评内容': 'nice,I like it', '短评打分': 3}
{'短评内容': '不错,就是服务差  不错,就是服务差 不错,就是服务差  不错,就是服务差 不错,就是服务差  不错,就是服务差 ', '短评打分': 5}
{'短评内容': '这家酒店看来很有历史了，设施陈旧，而且还是五星级，顶多四星', '短评打分': 1}
{'短评内容': '很中规中矩的一家酒店，硬设备虽不是很新，但还满舒适的', '短评打分': 5}
{'短评内容': '交通便利，价格在5星级酒店中，属于适中的。顶楼的旋转餐厅，景观很好。', '短评打分': 5}
{'短评内容': '酒店比较老，服务很好，设施旧了点，很多外国人入住且吵杂。', '短评打分': 5}
{'短评内容': '酒店性价比差点，交通门口很堵！@#￥%……&*（', '短评打分': 5}
