{'短评内容': '酒店地理位置优越，公交站就在店门口，交通便利，出行方便。前台服务热情，态度很好，很细心很有耐心。房间款产，设备设施很好，隔音好，安静卫生，光线充足！Wi-Fi速度快！价格合理，性价比高！周边设施齐全，饮食购物都很方便！很满意！', '短评打分': 5}
{'短评内容': '不错 前台热情', '短评打分': 5}
{'短评内容': '服务', '短评打分': 1}
{'短评内容': '不错。', '短评打分': 5}
{'短评内容': '点评点评点评点评点评点评点评点评点评点评点评点评点评点评点评点评点评点评点评点评点评点评点评点评点评点评点评点评点评点评点评点评点评点评点评点评点评点评点评点评', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '7天连锁酒店交通很方便，很容易找到。卫生一般。', '短评打分': 5}
{'短评内容': '房间宽敞明亮，也比较干净，但时间久了，电视不能看了，宽带也差了，装修中，有味儿', '短评打分': 3}
{'短评内容': '唉，7天真的很差', '短评打分': 5}
{'短评内容': '环境很好，卫生也可以，很舒适', '短评打分': 5}
{'短评内容': '环境不错，卫生也可以，有机会再来', '短评打分': 5}
{'短评内容': '房间宽大，环境宽敞明亮，干净卫生，就是酒店比较老旧，电视没办法看，晚上无法上网看视频', '短评打分': 4}
{'短评内容': '还是挺不错的，附近吃东西的比较多', '短评打分': 5}
{'短评内容': '不错的房间。。。', '短评打分': 5}
{'短评内容': '不错的房间。。。。。。', '短评打分': 5}
{'短评内容': '不错的房间。交通方便', '短评打分': 5}
{'短评内容': '不错的房间。。。。。', '短评打分': 5}
{'短评内容': '不错的房间。。。。。。', '短评打分': 5}
{'短评内容': '不错的房间。。。。。。', '短评打分': 5}
{'短评内容': '还不错的房间。。。。。。', '短评打分': 5}
{'短评内容': '还不错的酒店。。。。。。', '短评打分': 5}
{'短评内容': '住着很舒适，下次还来这里', '短评打分': 5}
{'短评内容': '酒店还行，设施比较简单', '短评打分': 5}
{'短评内容': '很舒适，很干净，下次继续定', '短评打分': 5}
{'短评内容': '很不错，下次继续来', '短评打分': 5}
{'短评内容': '临时歇脚，和想象的有点不一样', '短评打分': 4}
{'短评内容': '服务好', '短评打分': 5}
{'短评内容': '还可以，性价比可以。', '短评打分': 4}
{'短评内容': '环境舒适，', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '方便快捷，舒适', '短评打分': 5}
{'短评内容': '你还会自己写着惊喜交加我可能喜欢睡觉定基的', '短评打分': 4}
{'短评内容': '交通很方便，周边吃的也还比较的。', '短评打分': 5}
{'短评内容': '地理位置可以，靠近公车站，地点很好找', '短评打分': 4}
