{'descr': '速度与激情！好评返现！', 'star': 5}
{'descr': '不行，门也是坏的，开了十几分钟才打开，气死我了，拖鞋也没有，洗脸的毛巾也没有，不过前台接待服务员礼节礼貌的服务态度还不错，', 'star': 3}
{'descr': '定了2间，3天，距离地铁口很近，从火车站去非常方便，离81街很近，干净卫生，服务态度很好，不需要押金，退房方便！', 'star': 5}
{'descr': '挺好，装修虽然旧了点，还算感觉，浴室水很大，标间有窗可以看到江哦', 'star': 5}
{'descr': '干净，床够大', 'star': 5}
{'descr': '酒店对面就是地铁一号线出口，离解放碑商业街，八一好吃街等都很近。连住了三晚，酒店前台服务员很贴心，免费办了会员，晚上还有牛奶领。下次来还住这里，也会推荐给朋友哦！', 'star': 4}
{'descr': '', 'star': 5}
{'descr': '酒店位置不错，价格实惠', 'star': 5}
{'descr': '好好好好好', 'star': 5}
{'descr': '很好地理位置也好', 'star': 5}
{'descr': '换个窗户大一点的。得加20', 'star': 3}
{'descr': '首先厕所马桶是坏的，马桶盖子跟那个圈都掉了，然后厕所还没有卫生纸！！！门一开就吱哇响，而且房间隔音特别特别差！床也特别差，网上一坐也是吱哇吱哇响，设施简陋，住了一晚就换了，不会再住了，也就只能用便宜的价格吸引人了', 'star': 2}
{'descr': '说实话真不怎么样，隔音特别特别差，隔壁说话都能听到，设施简陋，门吱哇吱哇的响，难怪便宜，住了一晚果断换了', 'star': 2}
{'descr': '这是哪从哪里来到哪里去', 'star': 5}
{'descr': '不错不错。不错不错。不错不错。不错不错。不错不错不错不错。', 'star': 5}
{'descr': '不错不错，总得来说还是很让人觉得满意的。下次还会继续光顾', 'star': 5}
{'descr': '客服处理问题很及时，下次还会购买', 'star': 5}
{'descr': '前台很靓的哟', 'star': 5}
{'descr': '位置很好，地铁口出来正对面，房间，服务都很好', 'star': 5}
{'descr': '一般 隔音很不好 邻居咳嗽一切一清二楚 洗手间超小  位置还行', 'star': 5}
{'descr': '这是我住过的离地铁口最近的7天，只过一条小小的马路，特别好找，服务员也很好，我水杯掉在房间里忘记拿了，还特意给我打电话，很感谢啊', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '还不错，挺方便的', 'star': 4}
{'descr': '还不错吧，除了没有窗，还有隔音有一点差。我比较满意', 'star': 5}
{'descr': '挺好，就是停电了', 'star': 5}
{'descr': '1号地铁，自驾停车', 'star': 2}
{'descr': '不错，很好', 'star': 5}
{'descr': '地理位置不错，周边快捷太多了，光7天就有好几个，服务热情，就是设施太陈旧了！电梯咔咔的响！有点担心！', 'star': 4}
{'descr': '很不错的体验，非常喜欢 ，值得推荐位置也很好', 'star': 5}
