{'短评内容': '没打扫干净，我也是服了', '短评打分': 3}
{'短评内容': '有空调但暖气不好！', '短评打分': 4}
{'短评内容': '酒店不错，地理位置也很好！！', '短评打分': 5}
{'短评内容': '房间真的太失望了 地板潮的都翘起来了 房间特别小 墙也很脏，枕头也不干净 ，房间里没有垃圾桶 ，床还特别硌得慌 一点都不舒服', '短评打分': 1}
{'短评内容': '酒店没有早餐 位置比较隐蔽', '短评打分': 4}
{'短评内容': '不错，第一次在京东订房，很不错', '短评打分': 5}
{'短评内容': '房间干净，整洁，这个季节，这个地段，性价比非常高', '短评打分': 5}
{'短评内容': '还是不错的   很干净  而且服务态度很好  以后会经常去  主要是价格很实惠', '短评打分': 5}
{'短评内容': '总体来说还行吧，就是位置有点偏僻，不太好找！', '短评打分': 5}
{'短评内容': '很干净 唯一就是房间有点味 其他都很好！', '短评打分': 5}
{'短评内容': '隔音效果真心不好！', '短评打分': 5}
{'短评内容': '离海边较近，在小吃街上。距离青岛大学也不远，办事方便的。该酒店是一个独立的院子，安静！在那里住了一个多月！下个月还要继续去住的！', '短评打分': 5}
{'短评内容': '房间太差', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '整体情况不错，设施比较好，住宿很安静，周边环境很好，只是交通不是很方便，褥子比较薄，能感觉到床垫的弹簧，会稍有不适，建议改正，加厚褥子。', '短评打分': 5}
{'短评内容': '环境还行，离学校很近', '短评打分': 4}
{'短评内容': '还可以不太好找', '短评打分': 4}
{'短评内容': '便宜，性价比很高', '短评打分': 5}
{'短评内容': '弹簧床格得慌', '短评打分': 5}
{'短评内容': '和北京的汉庭有差距，在安全、装修方面都不如，不过还算干净可靠，价格便宜。', '短评打分': 4}
{'短评内容': '预订挺方便， 酒店挺干净的。', '短评打分': 4}
{'短评内容': '连锁酒店一直很满意汉庭，感觉比较好吧，团购的也不是很贵，支持', '短评打分': 5}
{'短评内容': '感觉还可以，就是附近吃饭的地方少了点，离海边还不算远，走路十分钟就能到。', '短评打分': 5}
{'短评内容': '服务还可以，就是没有晾衣服的地方，总体感觉还好', '短评打分': 5}
{'短评内容': '地理位置很好，周边吃喝玩乐都很方便，房间也还干净整洁', '短评打分': 5}
{'短评内容': '环境不错而且靠近海边', '短评打分': 3}
{'短评内容': '服务还不错，离香港路特别近，环境也很干净。', '短评打分': 5}
{'短评内容': '酒店挺干净的，前台服务什么的都挺好，房间内物品齐全，值得一住！', '短评打分': 5}
{'短评内容': '特价房。卫生条件不是很好。床上还有遗留的头发。被子里面有灰尘。房间有蛛网，若干蚊子尸体。还有活体蚊子，爬虫等。实在不推荐~', '短评打分': 1}
{'短评内容': '酒店服务很好，环境也很干净，酒店的早餐也还可以，属于连锁酒店中比较有口碑的，下次还入住', '短评打分': 5}
{'短评内容': '半夜的航班到达青岛，本来担心酒店不给保留房间，但酒店打了好几个电话告诉如何乘车，很感动！', '短评打分': 5}
{'短评内容': '地理位置很好，服务也很好，比香港中路一店服务好多了！', '短评打分': 5}
{'短评内容': '环境各方面都挺好的，和锦江之星差不多,还会再来', '短评打分': 5}
{'短评内容': '特价房在一楼，除了窗外的风景和大床房差不多。不过有个问题，我就不明白了，为什么在我门外的吸尘器从八点一直响到十点。', '短评打分': 1}
{'短评内容': '条件还不错，早餐也还行，就是被褥有点不干净', '短评打分': 5}
{'短评内容': '很好，很干净，服务也挺好。~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '很安静，很干净~~晚上可以出去闲逛一下，环境还不错~~', '短评打分': 5}
{'短评内容': '   酒店环境还不错、感觉跟别的快捷酒店差不多、周围逛也比较方便 ', '短评打分': 5}
{'短评内容': '这个酒店很不错，非常值得入住，服务质量没的说，各种设施都很完善，服务员态度很好。', '短评打分': 5}
{'短评内容': '条件、服务都很好。非常满意！', '短评打分': 3}
{'短评内容': '环境很好，很赶紧，设备都很齐全，很喜欢。', '短评打分': 5}
{'短评内容': '我对汉庭是最满意的，不过床明显比网上显示的小很多', '短评打分': 5}
{'短评内容': '房间规划较好，舒适度较高，外出旅行等值得考虑，不过位置有些偏，刚开始不好找', '短评打分': 5}
{'短评内容': '环境清爽，住的舒适，就是空间有点小，但是价格很实惠，很不错，离青岛大学很近，下次再来~~~', '短评打分': 5}
{'短评内容': '  除了房间有点小，其它设施都很不错.但这个价位己经很合理了.好评.', '短评打分': 3}
{'短评内容': '房间很干净，上网很给力，环境很好，服务态度不错，总体来说汉庭还是很不错的~~', '短评打分': 5}
{'短评内容': '  房间不错，很干净.里面很暖和.能上网，名方面都不错.', '短评打分': 3}
{'短评内容': '订的特价房，床挺大的，就是房间太小了，不过就这个价位来说还行吧', '短评打分': 3}
{'短评内容': '条件不错，挺好', '短评打分': 3}
{'短评内容': '离青岛大学8分钟走路 也很干净 卫生间可以在干净点', '短评打分': 5}
{'短评内容': '房间够大，交通也很方便，附近有吃饭小馆和24小时便利店，总体而言还不错。', '短评打分': 5}
{'短评内容': '房间挺干净的，服务也不错。价格也很好，下次还住这。', '短评打分': 5}
{'短评内容': '不错挺好的，服务很好，房间也很整洁，性价比很高呀！', '短评打分': 5}
{'短评内容': '还好，就是旅馆结构有些复杂，建议指示牌上再注意一些，服务人员态度不错', '短评打分': 3}
{'短评内容': '交通方便，环境设施都还不错，服务态度也很好，下次还会选择入住。', '短评打分': 5}
{'短评内容': '服务周到，环境幽静，干净整洁!', '短评打分': 3}
{'短评内容': '环境很好，也很干净，早餐也很好吃!总体不错!', '短评打分': 3}
{'短评内容': '服务很好，态度不错，位置不是特别便利，距离青大有点远，但是距离东院距离还行', '短评打分': 5}
{'短评内容': '很好的酒店，下次去还住哪里！！！环境很好！服务也很好', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '挺好的。不错。很干净，还有饮料。住着也很舒服', '短评打分': 5}
{'短评内容': '一楼房间的窗户在天井里有窗相当于没窗，枕套不够干净，大床房只送单人早餐，虽然有免费热饮，但感觉不值这个价', '短评打分': 3}
{'短评内容': '啤酒节期间，价格普遍较高啊。。。\n酒店环境还不错，不过有一点很令人震惊，大白天的竟然听见对面很狂放的XX声！\n-_-', '短评打分': 5}
{'短评内容': '总体还算不错，就是位置稍微有点偏，环境还不错。', '短评打分': 5}
{'短评内容': '服务态度很好，卫生也好！下次有机会去青岛的话，一定还定汉庭！', '短评打分': 5}
{'短评内容': '服务态度很好，房间很干净，设施不错，工作人员都非常友好 \n', '短评打分': 5}
{'短评内容': '不知道是给我们的房间太差还是所有的房间都一样，还高级大床房呢，只有一张床一张桌，被子还是脏的，房间极小，夜里蚊子能把人吃了！本来定了三天，住了一晚就换酒店了！', '短评打分': 1}
{'短评内容': '恩，还行，服务态度还行，就是会员卡怎么就不能用呢', '短评打分': 5}
{'短评内容': '一楼的房间有点潮湿，有点吵，房间设施还不错，出行比较方便，总体还可以', '短评打分': 5}
