{'短评内容': '酒店地理位置优越，就在火车站旁边，前台服务态度很好。', '短评打分': 5}
{'短评内容': '前台小额亲#服务很好，肖平服务很好 棒', '短评打分': 5}
{'短评内容': '不错', '短评打分': 1}
{'短评内容': '位置很好，方便！', '短评打分': 5}
{'短评内容': '前台李超 陈璇月服务特别好 送了礼物 非常棒 下次还会再来的 棒', '短评打分': 5}
{'短评内容': '离火车站近，前台服务员余敏，陶嘉禾服务贴心，做了免费升级，送了礼物。酒店位置好，设施完善，房间干净整洁有序，服务高效，推荐', '短评打分': 5}
{'短评内容': '酒店位置很好，面对着玄武湖，离南京站也很近，还提供免费升级房间的服务，入住体验很好。', '短评打分': 5}
{'短评内容': '不错 服务好 房间宽敞 下次还会来的 值得一住.价格实惠 服务一流', '短评打分': 5}
{'短评内容': '工作人员的服务态度很好，赞一个', '短评打分': 5}
{'短评内容': '东西好，速度快。。。。', '短评打分': 5}
{'短评内容': '不错不错，就在南京火车站附近，房间很大也得舒服', '短评打分': 5}
{'短评内容': '换了两次房都不能正面对着玄武湖，只能从侧面看到一点，房间装修老旧，前台服务态度不好，面盆居然堵塞导致我换房，升级了房间，依旧不理想，来南京还是住在新街口等地比较好，切身体会', '短评打分': 1}
{'短评内容': '老牌酒店，赶火车方便，京东上订价格也实惠。', '短评打分': 5}
{'短评内容': '交通方便，房间干净卫生。', '短评打分': 5}
{'短评内容': '酒店对面就是湖，景色不错！前台服务不错，快到圣诞节，酒店里很有节日气氛！', '短评打分': 5}
{'短评内容': '酒店环境好，服务佳，设施好，赞', '短评打分': 5}
{'短评内容': '非常满意！湖景很美 很浪漫很安静的环境！', '短评打分': 5}
{'短评内容': '很好，很方便，下次再来', '短评打分': 5}
{'短评内容': '非常棒的酒店。尤其前台和客房  服务特别好。很温馨。', '短评打分': 5}
{'短评内容': '房间干净整洁，前台服务热情，地理位置优越，很满意', '短评打分': 5}
{'短评内容': '公司出差都住这里，很好，位置很好', '短评打分': 5}
{'短评内容': '环境很好，住得舒心！', '短评打分': 5}
{'短评内容': '离南京站南广场5分钟路程，面向玄武湖，服务好', '短评打分': 5}
{'短评内容': '很满意的！！！！！！！n', '短评打分': 5}
{'短评内容': '酒店有点旧，而且没有很多娱乐设施可供选择，周围也不繁华，没什么商业圈，买东西不是很方便，其它都还可以，服务不错。', '短评打分': 5}
{'短评内容': 'good', '短评打分': 5}
{'短评内容': '挺好，离办事的地方比较近。', '短评打分': 3}
{'短评内容': '酒店位置好，出行方便，前台接，和二楼大厅服务接待态度亲切。房间干净。只是酒店停车收费这是在星级酒店中比较少见的。', '短评打分': 5}
{'短评内容': '房间很好，我第二次入住，早餐不错离火车站近。', '短评打分': 5}
{'短评内容': '入住两天，离火车站真好近啊!', '短评打分': 3}
{'短评内容': '酒店总体感觉很好，服务热情周到，交通方便，对面就是玄武湖公园，风景也好！', '短评打分': 5}
{'短评内容': '该酒店不错，环境也不错，周边很热闹，会向朋友推荐', '短评打分': 5}
{'短评内容': '机场快线1号线终点下车抬头即新世纪酒店,入住窗外左玄武湖,右中山陵,地点不错。', '短评打分': 3}
{'短评内容': '酒店床较舒服', '短评打分': 3}
{'短评内容': '运气很好 住到了单人间里最大的一间 早餐也蛮丰盛的 离火车站 汽车站都很近', '短评打分': 5}
{'短评内容': '4星级的酒店不错，房间干净，服务热情，尤其是地理位置很好，去火车站和机场大巴都很方便，步行10分钟都能到；下次去南京还会考虑住新世纪的。', '短评打分': 5}
{'短评内容': '不错，已多次入住。环境良好，位置俱佳，服务也挺快。', '短评打分': 5}
{'短评内容': '酒店装修比较陈旧，交通方便，地理位置不错', '短评打分': 5}
{'短评内容': '交通方便，客房还好。希望更新电视终端。换了液晶不换电视盒', '短评打分': 5}
{'短评内容': '老店，交通方便。房间还可以。电视不太清楚', '短评打分': 5}
{'短评内容': '还好，除了酒店内吃饭，周围没吃饭的地方。', '短评打分': 5}
{'短评内容': '还好吧，就是房间有点异味....................................早餐一般', '短评打分': 5}
{'短评内容': '酒店整体硬件感觉一般。窗帘透光。', '短评打分': 3}
{'短评内容': '离火车站近，宾馆内设施大床睡得很舒服，电视老式的，不过商务出差很少看电视，5部上下电梯，每日有报纸送，只是早餐品种有待丰富，除了烤肠、包子、肉粥之外好像没有什么肉食了，临走时的大堂服务生倒不错，看我在前台退房便主动过来问我打出租车不打，随即帮我叫了出租车，赞一下。', '短评打分': 5}
{'短评内容': '酒店离南京火车站和长途汽车站近，交通方便', '短评打分': 3}
{'短评内容': ' 酒店总体感觉很好，服务热情周到，交通方便，对面就是玄武湖公园，风景也好！', '短评打分': 3}
{'短评内容': '酒店太陈旧，服务跟不上！！！！！！，，，，，，', '短评打分': 1}
{'短评内容': '除了价格较高外，其它都不错，尤其离火车站和机场大巴近，值得入住。', '短评打分': 5}
{'短评内容': '环境不错，离火车站很近，非常方便。就是送的早餐不怎么样。', '短评打分': 3}
{'短评内容': ' 酒店不错 风景也好 但是离徐庄挺远的,实际有10多公里,网上描述只有2.4公里.', '短评打分': 3}
{'短评内容': '比较没落的酒店，硬件旧，服务差（这天气居然没空调），湖景房只是浮云，唯一欣慰的就好清洁人员的态度', '短评打分': 1}
{'短评内容': '还行吧，之前住过。', '短评打分': 3}
{'短评内容': '  比较方便', '短评打分': 3}
{'短评内容': '非常不错，感受可以！在京东预定好，房间也可以保留', '短评打分': 5}
{'短评内容': '房间设施比较陈旧了，房间可以无线上网。早餐48元/位，质量不行。', '短评打分': 3}
{'短评内容': '是能看到玄武湖，可惜天气的缘故。前台资深大姐业务娴熟，而且很解风情，懂的幽默。', '短评打分': 5}
{'短评内容': '住宿环境不错、靠近南京火车站，玄武湖。坐地铁方便。', '短评打分': 3}
{'短评内容': '住了好几次，火车站边上。还可以吧。就是有点吵', '短评打分': 5}
{'短评内容': '位置是离火车站很近，就几百米，但这恰好不方便：打车没人肯；大行李走过去又很累。设施也很旧了。价格就不值啦', '短评打分': 1}
{'短评内容': '服务不错，装修不错，性价比高，值得推荐！', '短评打分': 5}
{'短评内容': '该酒店不错，地理位置好，服务也不错，会向朋友推荐的', '短评打分': 5}
{'短评内容': '早餐很丰富,房间能看见玄武湖,离火车站很近', '短评打分': 3}
{'短评内容': '老4星酒店，离南京站很近，性价比可以，是不错的选择。', '短评打分': 5}
{'短评内容': '酒店一直常住，离火车站很近，出差比较方便', '短评打分': 3}
{'短评内容': '价格不便宜，但服务以及设备却很不到位，房间设施的很陈旧，椅子都坏了，密码箱没连电根本没法用，最气人的是本来要续订，还没退房呢，去前台问，小姐很不客气的说房间已经被订出去了，要住的话只能换个房间而且还是收门牌价格，直接把我叔叔他们气走了，一点服务理念都没有，怪不得越做越差，白白挂个四星级酒店的名头，还不如一般的快捷酒店住着舒心，地点也一般，交通还算方便，但火车站附近，大家都知道的，脏乱差，印象很不好', '短评打分': 1}
{'短评内容': '到南京必住的酒店，不光是地段不错就在火车站旁边，另外服务人员和客房内部都很好，早餐很好', '短评打分': 5}
{'短评内容': '还行  不错玄武湖景不错，服务蛮好\n环境蛮干净', '短评打分': 5}
{'短评内容': '环境优雅~但内部装饰较为普通~软件设施有待提高噢~', '短评打分': 5}
{'短评内容': '火车站附近，交通方便，主楼建筑是南北向的，就是说，房间里面没有正面向南的窗户。第一次安排的大床房是在楼的西北角，设施极其陈旧，屋子里竟然是18寸（可能还不到18寸）的彩电......感觉上也就勉强3星水准，被子也潮潮的，没法睡。到大厅前台提了要求，服务态度还是可以的，马上给安排了一间小的单人套房，里面跟之前的完全两样，总算是有点四星级的样子了。所以，住这家店，一定要弄清房间的配置，老店，设施参差不', '短评打分': 5}
{'短评内容': '酒店还是很豪华的，距离南京火车站很近，很方便，服务业很好，就是房间没有想的好', '短评打分': 5}
{'短评内容': '已经入住，安排的湖景房，又没多加钱，感觉挺不错哦！', '短评打分': 3}
{'短评内容': '房间设施有点老了，早餐还不够丰富，地理位置不错，适合经常出差的人', '短评打分': 5}
{'短评内容': '我个人很喜欢这个酒店，前台人员专业服务态度好，酒店里面也不错的，早餐到位。会向朋友推荐', '短评打分': 5}
{'短评内容': ' 经常入住该酒店 这次享受到免费升级到套房待遇 还有早餐送 不错不错', '短评打分': 3}
{'短评内容': '设施比较旧，卫生情况还可以，房间也挺大。一般般吧。', '短评打分': 5}
{'短评内容': '不错的酒店,就是设施老了点，总体感觉还可以，以后还会入住。', '短评打分': 5}
{'短评内容': '该酒店不错，环境和服务以及硬件都很好，会向朋友推荐的。', '短评打分': 5}
{'短评内容': '离火车站很近，环境不错，可以看到玄武湖，酒店还可以预定火车票，只要加五元的附加费，很方便！！！', '短评打分': 5}
{'短评内容': '感觉还不错，交通便利，房间给人的感觉简洁，环境也算干净，早餐也还算可以', '短评打分': 5}
{'短评内容': '酒店的无线网还可以，但设施一般', '短评打分': 3}
{'短评内容': '\x01(2101', '短评打分': 3}
{'短评内容': '房间还行，早餐有待改进，品种太少。洗手间的马桶可以换换了，太旧了。', '短评打分': 5}
{'短评内容': ' 酒店地理位置好', '短评打分': 3}
{'短评内容': '感觉还可以', '短评打分': 3}
{'短评内容': '是帮朋友定的朋友说一般。出租车不好打想办法能让出租车在酒店门口停一会就好一点', '短评打分': 5}
{'短评内容': '非常不错  而且离南京站是非常的近，走着也就5分钟，\n刚到时，被南京的出租车给黑了一把，我不知道离南京站有多远，刚上车就下车了，2分钟，起步价加2快燃油，最后说以为我说的是南站，无语呀', '短评打分': 5}
{'短评内容': '定的580的房间，房间很小，更郁闷的是大堂吧只营业到11点就关门了', '短评打分': 1}
{'短评内容': '整个宾馆非常干净。房间设备也不错。但是，住两人的房间只送一人早餐，还有一人要自付，有点小气。希望今后能送两个人的早餐。\n', '短评打分': 5}
{'短评内容': '交通方便,靠近火车站,周围玄武湖景色很美,房间很干净,站在房间可以看见湖水.酒店环境也不错.服务态度也很好.', '短评打分': 5}
{'短评内容': '酒店整体看上去很舒服，客房打扫速度很快，办手续的时候说还在打扫，但办完手续上去的时候已经OK了。服务很好很热情。有一个缺点，就是房间隔音效果好像不是很好，我住的标间，隔壁的人看电视的声音我都听得很清楚= =。。。', '短评打分': 5}
{'短评内容': '该酒店不错，地理位置挺好的，就是早餐比较差了点，还是会推荐的哦。周边吃饭的地方也是比较多的，商场什么都有的，我个人感觉很好的', '短评打分': 5}
{'短评内容': '感觉还不错，交通便利，房间给人的感觉简洁，环境也算干净，早餐也还算可以，就是卫生间的浴缸和脸池的下水慢。', '短评打分': 1}
{'短评内容': '酒店不错，比较干净整洁。。。。初次到达南京，住上舒适的酒店，酒店服务员还特意安排了有电脑的房间，还能看湖景，价格超值。而且周边交通方便，就在南京火车站隔壁，总体来说还是比较赞 \n', '短评打分': 5}
{'短评内容': '酒店不错，比较干净整洁。。。。初次到达南京，住上舒适的酒店，酒店服务员还特意安排了有电脑的房间，还能看湖景，价格超值。而且周边交通方便，就在南京火车站隔壁，可惜附近吃的地方比较少，有点美中不足，不过总体来说还是比较赞', '短评打分': 5}
{'短评内容': '离中央门那里的南京火车站非常近，步行五分钟，服务态度不错，值得推荐。', '短评打分': 3}
{'短评内容': '好很好', '短评打分': 3}
{'短评内容': '不错的酒店，离火车站很近，可以步行。房间也比较安静。不过冲着酒店的游泳池就别去了，太小，象个大浴盆。', '短评打分': 5}
{'短评内容': '交通比较方便，火车站5分钟，中央门汽车站10分钟，房间有点老了，价格骗贵了点。房间还是10几年前的老式电视机，应该换个液晶彩电了吧！！\n', '短评打分': 5}
{'短评内容': '离火车站很近，总的来说还不错，窗户时双层的，没有火车的声音。不过房间装修后的味道比较重。', '短评打分': 5}
{'短评内容': '入住这个酒店不错的，距离火车站很近，走过去就到了，会向朋友推荐', '短评打分': 5}
{'短评内容': '方便 卫生 安静 早餐品种差一点 湖景房不错，离火车站走路三分钟', '短评打分': 5}
{'短评内容': '交通很方便，靠火车站很近，隔边的KTV很好，房间还算可以！', '短评打分': 5}
{'短评内容': '酒店是帮同事订的，评价还不错，最主要是离火车站近，交通方便。价格也适当。下次还会入住。', '短评打分': 5}
{'短评内容': '交通方便，卫生条件也比较好，服务不错，会向朋友推荐。', '短评打分': 5}
{'短评内容': '非常好的感觉,升级了行政楼层.以后还会入住.唯一不足早餐有些粗糙,不象南京文化特色.', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '已经入住很多回。在火车站旁，交通方便，早餐不错，服务可以。难得的是房间很安静，这点尤其难得。', '短评打分': 5}
{'短评内容': '酒店有点陈旧，呵呵', '短评打分': 3}
{'短评内容': '设施陈旧，早餐极差，根本达不到四星标准！', '短评打分': 1}
{'短评内容': '房间整体不错 能看到玄武湖 就是早饭自助餐种类有点少。', '短评打分': 5}
{'短评内容': '这个酒店，太老太旧了，卫生情况也不是很好，我居然在床上看到一个小爬虫，晕死哦！', '短评打分': 1}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': '价格适中，地理位置很好！房间条件也还可以。但早餐巨差！还很贵！房间设施略嫌陈旧了！', '短评打分': 5}
{'短评内容': '交通便利,条件优越!', '短评打分': 3}
{'短评内容': ' 房间总体还可以，服务算周到，可以在阳台看湖景，是家不错的酒店。', '短评打分': 3}
{'短评内容': '酒店位置还是不错的，早餐时间也挺长  就是装修有点老旧  总体还是不错的', '短评打分': 5}
{'短评内容': '该酒店很好的，长途电话免费打，早餐也不错。喜欢，推荐，强力顶', '短评打分': 5}
{'短评内容': '交通方便 位置优越 性价比高 服务也不错 提醒 出门别在酒店里打车 全是黑车 找车顶亮灯的出租 还会入住 ', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 3}
{'短评内容': '是我见过最无耻的星级酒店。\n我接待一个客人，下午三点多提前到前台登记入住，当时在大堂没觉得异常，服务人员也无任何提醒。登记后进入房间，房间不大，倒没什么，当天南京室外温度为34度，我赶紧打开空调，到最高挡，然后带开电脑处理一些事情，约半小时后，我可以说汗流夹背，我就到空调口试了下温度，发现没有冷风，因四点我要出去接一个客人，我就下楼到总台询问，服务员轻描淡写地说今天限电，所以空调不足，我很生气，说', '短评打分': 1}
{'短评内容': '条件有些差，有些价质不符，但离火车站近，乘火车较方便。', '短评打分': 3}
{'短评内容': '交通方便，餐饮选择也多，总体还不错，推荐', '短评打分': 5}
{'短评内容': '交通还很方便，比较安静和舒适，服务也不错。房间再大点就好了', '短评打分': 5}
{'短评内容': '住过一次，内部设施还是很一般，不过靠近火车站，如果谁要赶火车还是较方便', '短评打分': 1}
{'短评内容': '江苏新世纪不错，到火车站走路五分钟， 窗外就是美丽的玄武湖，房间也很好，美中不足的是7楼的宽带不好，换了房间就好了，下次还会住', '短评打分': 5}
{'短评内容': '常住的酒店，离火车站近，交通方便，服务热情，值得推荐。', '短评打分': 3}
{'短评内容': '交通方便，住房很安静，酒店设施很好，下次我还住这个酒店！', '短评打分': 5}
{'短评内容': '交通便利，比较安静，早餐也还不错，房间打扫及时，房间布局比较合理', '短评打分': 5}
{'短评内容': '位置好，交通方便，下次要赶机场或火车的建议去', '短评打分': 5}
{'短评内容': '距离火车站太近，不做火车住这里不方便，上楼也不好，有几个台阶。房间老是突然没电。', '短评打分': 1}
{'短评内容': '很好，很方便，离火车站很近。环境也不错！推荐', '短评打分': 5}
{'短评内容': '非常糟糕的一家酒店，房间破旧空调很冷，服务员素质很低，早餐卫生状况也很差，总之建议大家千万不要住这里。。。。', '短评打分': 3}
{'短评内容': '酒店离火车站很近，很方便，性价比比较好，还送早餐，相对南京酒店大涨价，他们还是挺好的', '短评打分': 5}
{'短评内容': '强烈向朋友推荐，该酒店打长途都是免费的，就在火车站旁边，早餐也不错', '短评打分': 5}
{'短评内容': '交通便利，设施好，服务好，吃得比较好，我下次还住那儿', '短评打分': 5}
{'短评内容': '服务很好，我下次还住这儿，条件很好，吃饭也很好，交通方便', '短评打分': 5}
{'短评内容': '靠近火车站，交通非常方便。服务态度不错，值得推荐。', '短评打分': 3}
{'短评内容': '在火车站附近，挺方便的，就是周边吃饭的地方少，要打车出去。', '短评打分': 5}
