{'短评内容': '质量挺不错，性价比挺好', '短评打分': 5}
{'短评内容': '房间挺不错，性价比挺好', '短评打分': 5}
{'短评内容': '性价比高，地理位置好，出行方便。', '短评打分': 5}
{'短评内容': '房间地板太滑灯光太暗', '短评打分': 4}
{'短评内容': ' 这家的服务特别的好，氛围特别的优美，卫生间空间比较大，洗澡洗的特别的好，里面的灯光效果极其好，无线网没信号，就说这么多了。', '短评打分': 5}
{'短评内容': '房间还算干净', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店', '短评打分': 5}
{'短评内容': '不错，很满意，一次不错的出行入住。', '短评打分': 5}
{'短评内容': '不错！位置稍微有点远', '短评打分': 5}
{'短评内容': '还行吧！不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '挺满意', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错，带小孩来住的，安静，洗澡也挺方便', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '位置稍微有点不好，但是便宜，当时88定的', '短评打分': 5}
{'短评内容': '床不好，好像睡在席梦思的弹簧上，还有灯光太暗，晚上办公伤眼睛，早餐15元，质量太差。', '短评打分': 4}
{'短评内容': '一分钱一分货，总体来说还挺不错的。', '短评打分': 4}
{'短评内容': '不错就是不知道我的优惠券怎么不能用了', '短评打分': 4}
{'短评内容': '服务好，房间好', '短评打分': 5}
{'短评内容': '一般，感觉不到好，但也还凑合了', '短评打分': 3}
{'短评内容': '环境还可以的，微笑服务。', '短评打分': 5}
{'短评内容': '房间干净，服务态度好，停车非常方便，借用台灯后能够看书学习，准备住12天', '短评打分': 5}
{'短评内容': '酒店位置很好，很安静，前台服务态度很好，房间住着很舒服，挺满意的，下次还会继续住', '短评打分': 5}
{'短评内容': '很不错,环境很不错,酒店清理也很及时整洁,房间比较新.', '短评打分': 5}
{'短评内容': '感觉很不错，优点很多：1.电梯口前台的服务员态度很好，一直微笑服务！2.电梯的边框以及每层电梯门对着的墙上也是整块玻璃，感觉空间很大！3.走廊里地上是厚厚的地毯，走上去软软的很舒服！4.房间很不错，很干净，很特别，细节很周到！5.卫生间是透明的，很特别印象很深刻！6.房间顶上的灯带很有氛围！\n不太满意的有两点：1.早餐很简单，口味很一般，种类少，跟酒店有些不匹配\n                 ', '短评打分': 5}
{'短评内容': '新开业酒店环境还行，服务也还好，唯一的不足就是半夜经常有大货车的强噪音，可能是窗户临近一号大街转盘的原因，对睡眠环境要求高的可以考虑不靠窗的位置应该会好一点吧。', '短评打分': 5}
{'短评内容': '挺好的   环境好   地位也好  至少晚上睡觉安静   不会很吵', '短评打分': 5}
{'短评内容': '服务态度很好，环境也不错，装修也不错，总之很值，推荐推荐', '短评打分': 5}
{'短评内容': '位置比较方便。酒店比较新，还算比较舒适。周围环境也不错。', '短评打分': 5}
