{'短评内容': '非常不错的酒店，干净，方便！', '短评打分': 5}
{'短评内容': '升级商务套间，非常好！', '短评打分': 5}
{'短评内容': '酒店位置非常好距离 kkmall   万象城都非常近', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '酒店服务态度很好，附近交通方便，不错', '短评打分': 5}
{'短评内容': '挺好不错的', '短评打分': 5}
{'短评内容': '一般的酒店吧，服务一般环境也很一般。', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈一直你好吗', '短评打分': 5}
{'短评内容': '该机您，去你会明号，哈哈哈', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '，', '短评打分': 5}
{'短评内容': '特价很不错', '短评打分': 5}
{'短评内容': '。。。。', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '环境不错，交通方便！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '还不错！！！', '短评打分': 5}
{'短评内容': '隔音太差，边上有学校，广播太吵了', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '性价比相对高的一个酒店。', '短评打分': 5}
{'短评内容': '没有空调，太闷热，床太软，自助早餐很多菜都凉了', '短评打分': 2}
{'短评内容': '好好好好好！好好好好好！好好好好好！', '短评打分': 5}
{'短评内容': '2022 2022 2022超赞', '短评打分': 5}
{'短评内容': '环境不错，附近餐馆很多，比较方便，前台服务员态度差', '短评打分': 3}
{'短评内容': '平過酒店vip 卡...nice', '短评打分': 5}
