{'短评内容': '贵歌词长宽高此处G8次看G8好看v，i好好哦', '短评打分': 5}
{'短评内容': '就一个字 差！我住这酒店几十次了以前差不多每个星期都来住，从去年开始就一直装修 早上八点就装修吵得睡不着 中午下午也是如此，根本无法休息好，打电话投诉经理态度也是极差，真是除了地理位置 其他一无是处，酒店无窗的房间非常潮湿，这也就算了，睡觉都睡不好还开什么宾馆？！下次不会再来 呵呵', '短评打分': 2}
{'短评内容': '位置很好，地铁口隔壁，房间也不错，就是去到还没房等了一下，下次出去玩还会再订', '短评打分': 4}
{'短评内容': '还是挺不错的', '短评打分': 5}
{'短评内容': '酒店位置很好', '短评打分': 4}
{'短评内容': '大冬天暖气都没有', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '帮朋友订的，听说还可以', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境不错。。。。挺好的', '短评打分': 5}
{'短评内容': '房间太窄', '短评打分': 5}
{'短评内容': '还好吧', '短评打分': 5}
{'短评内容': '房间有点旧 走廊太暗 其他还好', '短评打分': 5}
{'短评内容': '还可以吧  就这样咯', '短评打分': 5}
{'短评内容': '酒店还可以，很便宜，一直来这家住', '短评打分': 5}
{'短评内容': '一直在这家酒店住，很便宜环境还可以', '短评打分': 5}
{'短评内容': '一直来这家酒店住，不贵地铁旁边，环境还可以', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈呵呵呵呵呵', '短评打分': 5}
{'短评内容': '住的是标间，房间超大，空间感很好，酒店前台服务态度很好，客房服务员素质很高，酒店用品很干净，，超多火锅食物可选，过瘾，购物更方便，离黄河、大莹、富民服装、童装城、女人街就是几分钟的路程，对购物者来说，是最好的入住酒店酒店旁边是医院，酒店交通方便，在主要交通道旁，下次到虎门肯定选这家酒店。', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈呵呵呵呵呵', '短评打分': 5}
{'短评内容': '酒店真的很棒，房间很干净整洁，服务员很热情,谢谢！', '短评打分': 5}
{'短评内容': '，地门口透明化我微我特一头雾水米粥', '短评打分': 5}
{'短评内容': '挺喜欢这家酒店的 比7天干净 在京东订比在美团跟啥宝上便宜好多', '短评打分': 5}
{'短评内容': '还是不错的!地铁就在旁边，10多分钟就到天河。', '短评打分': 4}
{'短评内容': '周边很方便 设施一般 性价比高', '短评打分': 4}
{'短评内容': '駅から近く、交通は便利です。窓のない部屋に泊まったのですが、寝るだけなら十分でしょう。Wi-fiも完備で、iPhone用の充電ケーブルも備え付けられていました。', '短评打分': 4}
{'短评内容': '非常好，性价比高，推荐！', '短评打分': 5}
{'短评内容': '不错，经常住，性价比高。推荐！', '短评打分': 5}
{'短评内容': '经常住这家，性价比高，交通便利！', '短评打分': 5}
{'短评内容': '日式房还可以', '短评打分': 5}
{'短评内容': '交通方便，就在地铁站旁边。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '沒有窗戶，不透氣，沒有睡好，', '短评打分': 3}
{'短评内容': '住过很多次，感觉这酒店不错，旁边就是地铁站', '短评打分': 5}
{'短评内容': '一直住，不错不错不。，。 ， ，', '短评打分': 5}
{'短评内容': '酒店很舒服，靠近地铁站，并且会赠送早餐券，服务很热情，只是隔音还需要提升一下。总体来说很不错，下次来的话应该是首选酒店！', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '房间很小，感觉被单那些只是洗洗没消毒', '短评打分': 3}
{'短评内容': '不错，返现给力，房间无窗，其他都不错，网速估计是限制了，测试有600多KB,但看电影有点卡，游戏也是，老跳PIN,不稳定，以后还会来', '短评打分': 5}
{'短评内容': '房间的油画很给力，那家伙其实就是一春宫图，估计其他春，夏要提前说明在有壁画', '短评打分': 5}
{'短评内容': '挺不错的，从深圳过来，到天河客运站，从天河客运站坐公交3个站还是2个站就到了，很近，主要是离地铁口进，很方便，出地铁就走200米的样子，C出口，日式房间，每天睡的昏昏沉沉，没吃过早餐，房间无窗，住了大半月，主要是看到返现比较给力', '短评打分': 5}
{'短评内容': '还不错，很干净，日式的，有一个床垫，比其他团购的强多了。。。\n\n隔音稍微差一点，有窗户的临街，会听到马路上车流的声音，没有窗户的这一侧好一些，只有走廊的声音和看电视的声音。\n\n房间很干净，不是特别小，坐在地下挺有意思的~', '短评打分': 5}
{'短评内容': '还不错，就是房间有点小！', '短评打分': 3}
{'短评内容': '房间的油画有点吓人，其它都可以', '短评打分': 3}
{'短评内容': '位置和室内布置都不错，干净，也安静。楼下吃饭也很方便', '短评打分': 5}
{'短评内容': '房间很干净，酒店里地铁站很近，就是房型比较小。所谓日式精品房不过是没有床只有床垫罢了，称不上榻榻米~', '短评打分': 5}
{'短评内容': '感觉依旧是那么的好、、、、、、、、、、、、、、、', '短评打分': 5}
{'短评内容': '非常对得起这个价格，下次还会来！！', '短评打分': 3}
{'短评内容': 'i q感觉还不错的感觉还不错。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很好的酒店。。。。。性价比很高！！！！不过酒店的气味可以清新点就更完美了！！！！！！！', '短评打分': 5}
{'短评内容': '环境和交通挺好的，服务ok，但是房间内桌面和洗手台有点脏，希望改善！谢谢！', '短评打分': 5}
{'短评内容': '不错~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '房间虽小但很干净，床也很舒服。性价比不错，下次来还会选择这里。', '短评打分': 5}
{'短评内容': '整体还过得去，空调很劲，浴巾之类的不够干净', '短评打分': 3}
{'短评内容': '我订的是标准双人房，我是在网上看到酒店的图片觉得很喜欢所以才特地订的这家，果然没令我失望，房间是有点小，不过不碍事。我发现房间内只有一张凳子，既然是双人房，按理应该有两张吧，要不然东西多一点都没地方放了，不过这都没所谓了。中午去了酒店餐厅试了下，感觉还可以吧，第二天因为起晚了，所以没能用早餐券，不知道提供的早餐如何，下次有机会再去的话可以试试。', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 3}
{'短评内容': '第一次住酒店,房间很干净,设施齐全,下次还去', '短评打分': 5}
{'短评内容': '去广州东站很方便，由于靠近地铁站，所以到广州塔之类的地方也很便利，服务态度好，环境不错，房间卫生很干净，酒店是靠近小区的，有点家的感觉。下次有机会还会到这家店。不足的地方就是浴室门口没有放一张垫子，洗澡出来弄得有点湿答答的。', '短评打分': 5}
{'短评内容': '酒店很新，周围交通方便，吃饭也很方便，周围有各种风味的高中低档餐馆。房间略显小了点，但设施很全！', '短评打分': 5}
{'短评内容': '酒店很新，服务很周到，只是房间稍小些，以后有客人来我会继续定这个酒店！', '短评打分': 5}
{'短评内容': '这次房间按排不好，三角形的', '短评打分': 3}
{'短评内容': '很好！环境较好！日式风格的房间，干净舒适！服务也不错。就是房间小些。下次还会入住。', '短评打分': 5}
{'短评内容': '环境还不错，交通很便利，虽然很小，但是房间设计和特别', '短评打分': 5}
{'短评内容': '酒店很新，空间不大，但还是很舒服。酒店整洁卫生。', '短评打分': 3}
{'短评内容': '酒店挺干净的，环境也不错，我订的房间里有股怪怪味道，不过打电话去前台很快就有人上来解决了，挺效率的。还有check in 的速度太慢了，等了半小时，一开始前台还和我说没有房间的，预定了还说没房，太诡异了。', '短评打分': 5}
{'短评内容': '坏境还可以。。附近没什么吃的，交通不方便', '短评打分': 5}
{'短评内容': '酒店环境不错，位置也挺好，最近的地铁站走两三分钟，日式精品双床房，偏小了点，设施较为简单。总的来说还算舒服，感觉服务档次还可提高', '短评打分': 5}
{'短评内容': '不错  精细型的。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '住了几次，一直都很满意、、、下次过来还是会选择这里的', '短评打分': 5}
{'短评内容': '说实话  房间还是挺有味道的!!!   但是我住的没有窗户,这点不太爽!!   房间都比较新!洗澡水温都很OK!!  网速也OK  床和空调都OK   但是墙上的老照片不符合这个日式风格...', '短评打分': 5}
{'短评内容': '总体感觉不错，值得推荐！！\n如果靠马路边的房弄个双层玻璃就更好了！', '短评打分': 5}
{'短评内容': '屋内虽小但设计很精致，应该是新店或是装修过，‘新’', '短评打分': 5}
{'短评内容': '挺干净、温馨的，已经定了几次了，上次去晚了，还免费升级了房间。', '短评打分': 5}
{'短评内容': '很干净很温馨很喜欢、、、、、、、、、、、、、', '短评打分': 5}
{'短评内容': '因为几个原因，我认为不值得推荐：\n1，性价比低：实际上它就是一个普通的快捷酒店，房间虽然干净但极其简单，商务房连挂衣服的设施都省略了，仅不足20平方米。如果房价低于150元以内还差不多。\n2，房间内的杯子仅有两个玻璃杯，在洗漱台上。问题是玻璃杯是直径约8厘米的腰鼓形的杯子，一旦泡茶根本不能拿在手上（太烫），极易滑落打碎，危险性很大。而且房内只有一个很小的挂衣钩（甚至你不易察觉）。另外，房间内的简易', '短评打分': 1}
{'短评内容': '环境不错。', '短评打分': 3}
{'短评内容': '房间虽然不大，但是很舒服，很喜欢沐浴室的水龙头！', '短评打分': 3}
{'短评内容': '没有窗户，有点压抑感', '短评打分': 3}
{'短评内容': '标准单人房环境不错，价格比较合理，下次可以再来', '短评打分': 3}
{'短评内容': '酒店干净卫生', '短评打分': 3}
