{'短评内容': '经常来住的，还是一如即往的好。', '短评打分': 5}
{'短评内容': '来住过几次，还是一如即往的好。', '短评打分': 5}
{'短评内容': '垃圾，住完后身上起的都是小红包，特别痒，怀疑有虫子，而且换了一间房还是这样', '短评打分': 2}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '总体还不错，对得起这个价格', '短评打分': 4}
{'短评内容': '性价比还算高，设施挺全的，就是房门比较破，而且很难打，位置也靠近公交车站，房间隔音也还可以，前台服务也比较好，点个赞。', '短评打分': 3}
{'短评内容': '温馨，安静，环境优雅', '短评打分': 5}
{'短评内容': '设施挺全的，就是房间烟味比较大，通风不太好，然后就是隔音不太好。其他的挺好的，位置也靠近公交站，旁边的吃饭的地方也多，前台态度也好。', '短评打分': 4}
{'短评内容': '一直住这里，还是很好。', '短评打分': 5}
{'短评内容': '一直住这里，还是很好。', '短评打分': 5}
{'短评内容': '一如既往地好。', '短评打分': 5}
{'短评内容': '老住这个酒店，还是不错的。', '短评打分': 5}
{'短评内容': '经常来住了，一如既往的好。', '短评打分': 5}
{'短评内容': '经常来住了，一如既往的好。', '短评打分': 5}
{'短评内容': '还不错，很实惠', '短评打分': 5}
{'短评内容': '很好。', '短评打分': 5}
{'短评内容': '经常住的酒店，很不错。', '短评打分': 5}
{'短评内容': '还不错，环境挺好的。就是隔音效果不是很好', '短评打分': 5}
{'短评内容': '还不错，环境挺好的。就是隔音效果不是很好', '短评打分': 5}
{'短评内容': '还不错，环境挺好的。就是隔音效果不是很好', '短评打分': 5}
{'短评内容': '还不错，环境挺好的。就是隔音效果不是很好', '短评打分': 5}
{'短评内容': '还不错，环境挺好的。就是隔音效果不是很好', '短评打分': 5}
{'短评内容': '还不错，环境挺好的。就是隔音效果不是很好', '短评打分': 5}
{'短评内容': '还不错，环境挺好的。就是隔音效果不是很好', '短评打分': 5}
{'短评内容': '还不错，环境挺好的。就是隔音效果不是很好', '短评打分': 5}
{'短评内容': '很不错，以前还没在京东订过酒店呢。', '短评打分': 5}
{'短评内容': '交通方便，吃玩逛街全方便。', '短评打分': 4}
{'短评内容': '这家的服务很好。我们开车到这家的。停车不太方便。房间干净是干净，一般般。离烟水亭很静，步行街也很近，出行比较方便。', '短评打分': 4}
{'短评内容': '性价比高，离烟雨亭很近，可逛逛甘棠公园。', '短评打分': 4}
{'短评内容': '经济型酒店 位于市中心 车位少', '短评打分': 4}
{'短评内容': '在九江住酒店首选的就是福泰118，住过好多次了，还不错，经济实惠，就是隔音效果不咋滴。而且离四码头特别近，购物买吃的特方便', '短评打分': 4}
{'短评内容': '内饰陈旧', '短评打分': 4}
{'短评内容': '住惯了，很好', '短评打分': 5}
{'短评内容': '有点乱的感觉', '短评打分': 4}
{'短评内容': '各方面还不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间比较不太干净 是地毯的~ 有网络，但厕所比较乱~ 空间排列不合理', '短评打分': 1}
{'短评内容': '这家酒店已经老化，家具破旧还在给客人用。卫生间的异味很浓，关上门都能闻到。下回不会再住。', '短评打分': 1}
{'短评内容': '住房很干净，太度挺好的，赞一个', '短评打分': 3}
{'短评内容': '就在市中心，离烟水亭一道之隔。去了赶上装修很乱， 卫生，服务一般。前台服务态度很冷漠，我刚下飞机听力比较差，她说话没听明白，她还耻笑。感觉素质低下。', '短评打分': 1}
{'短评内容': '位置好，环境还不错！已经入住七八次了，不过停车有点不方便！', '短评打分': 5}
{'短评内容': '性价比还是不错的,不要选择中间那排只有暗窗的房间就行了.周围有很大的超市,边上的浔阳鱼味餐馆价格还算实惠,味道不错.停车是停在酒店前的马路边,不太让人放心.', '短评打分': 5}
{'短评内容': '总的来还不错，性价比较高，有机会还会入住，前台退房的速度能再快点就好了', '短评打分': 5}
{'短评内容': '九江福泰118酒店一般，地毯太脏，基本达不到三星标准', '短评打分': 3}
{'短评内容': ' 位置好！服务员态度好！房间干净卫生！', '短评打分': 3}
{'短评内容': '整体来说还不错 就是浴室浴巾太差了 破破的 还很粗 不好用', '短评打分': 5}
