{'descr': '入住成功，比较满意，继续信赖东东。', 'star': 5}
{'descr': '服务很好', 'star': 3}
{'descr': '百时的地理位置优越，酒店房间环境不错，我住单人间，蓝色调。总体满意，小建议：1、一次性杯子放卧室桌面比较好，2、空调电视的遥控器应该每天擦，空调遥控有点血渍。', 'star': 3}
{'descr': '这家酒店的价钱合理也很舒适，很适合出行的人群，所以我推荐这家，自己也来过好多次了哦！', 'star': 5}
{'descr': '我在这里住了好几次了，感觉还可以，至于说没有一次性用品都是本着环保吧', 'star': 5}
{'descr': '此酒店床小了点，没有拖鞋，洗澡就不方便。卫生还可以。主要是办事方便！', 'star': 5}
{'descr': '，不错，挺干净！', 'star': 3}
{'descr': '还可以吧，就是没有拖鞋和牙具，还得自己备用，或者花钱去买，没有早操', 'star': 5}
{'descr': '屋子太小了，床太小了，一翻身就能翻到地上！不过环境挺干净的，设施简陋的连喝水的纸杯都没有，要和厕所里洗漱用的纸杯公用！如果要求不高的客人能凑合一晚！', 'star': 1}
{'descr': '整体来说很好，服务很好，房间干净，唯一不足的就是网络很差，网速慢死了，', 'star': 3}
{'descr': '地方不错，挺方便的，离学校很近，幸好提前一个月订了房间，当天去全部满员', 'star': 5}
{'descr': '不错。干净卫生。     。。。。。。。。。。。', 'star': 5}
{'descr': '服务态度好，照顾顾客需求，环境不错，空间小，但是五脏俱全。', 'star': 5}
{'descr': '干净，卫生，价格适中，性价比高，是一家很不错的酒店', 'star': 5}
{'descr': '本酒店很好，服务态度好，干净卫生，舒适，洗澡特别方便，', 'star': 5}
{'descr': ' 一确实不如 如家! 不推荐', 'star': 3}
{'descr': '酒店服务员态度好房间舒适温暖', 'star': 3}
{'descr': '房间小点，窗户有点小', 'star': 3}
{'descr': '周边紧临公路噪音大，没有免费提供一次性洗涑用品及托鞋，楼层服务不太及时，其他还可以吧，必竟这个价位不是很高。', 'star': 3}
{'descr': '这个旅店还行我要推荐给朋友及佳人都要入住这地方', 'star': 5}
{'descr': '满意', 'star': 3}
{'descr': '酒店干净卫生,满意', 'star': 3}
{'descr': '环境不错、很温馨！', 'star': 3}
{'descr': '不错，性价比很高，下次还会选择他，就是知名度不太高，出租车司机都不知道，建议加大宣传，这样才会是大家都知道，入住率也会上升的……………………………………………………………………………………………………………………………………', 'star': 5}
{'descr': '总体上还算是干净整洁，卫浴设施都挺好的。但是房间比较小，大床房的过道只有一步半的样子……不知道别的房间是神马规格。入住那天的人比较多，办了好久的入住手续。', 'star': 5}
{'descr': '还行吧', 'star': 3}
{'descr': '客房面积挺大但是东西太少了点 没有其他快捷酒店都有的拖鞋牙具哦 没有床灯 电视机超小 床很舒服睡得不想起床 卫生间也干净 ', 'star': 3}
{'descr': '房间小，性价比不高', 'star': 3}
{'descr': '还不错，各项设施不错，服务特还不错。值得考虑', 'star': 5}
