{'短评内容': '适合个人旅游，服务热情周到，但硬件仍需提高', '短评打分': 5}
{'短评内容': '非常感谢，老板很热情，帮忙将园林房升级海景房，好评', '短评打分': 5}
{'短评内容': '就是设施破，位置还是很好的。', '短评打分': 4}
{'短评内容': '还不错，就是设施太破。厕所门坏的。。空调很不给力。。', '短评打分': 4}
{'短评内容': '房间不错，价格合适', '短评打分': 4}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '海景房，老板娘很热情……', '短评打分': 5}
{'短评内容': '特价房比较小，设施也差些，可是，出房门是个观海大阳台，能看到凤凰岛，出小区就是三亚湾海滩，挺不错的，所以觉得值！', '短评打分': 5}
{'短评内容': '第二次住了，认准他们家！无敌海景房非常不错，有独立阳台！', '短评打分': 3}
{'短评内容': '阳台直面三亚湾，海景一览无余。赞个不停……', '短评打分': 5}
{'短评内容': '该旅馆房间大，里面也较干净，下楼就是大海走几分钟就到不行街了，购物观海都很方便，值得一赞', '短评打分': 3}
{'短评内容': '完全就是个家庭旅馆，马桶都是破的', '短评打分': 3}
