{'descr': '很脏', 'star': 1}
{'descr': '还不错', 'star': 5}
{'descr': '凑合还行。', 'star': 3}
{'descr': '真挺好还狠干净', 'star': 5}
{'descr': '我住的是三人房，大小床，窗子靠马路，有点吵。第二天下午五点四十几退房，收取全额房费不太合理。附近配套较少，旁边有水果店，面店。', 'star': 3}
{'descr': '离长海医院近，周边有吃饭的地方。个人觉得可以。', 'star': 5}
{'descr': '七八年前住过一次，现在的条件比那会差得不是一丁点', 'star': 3}
{'descr': '热门医院旁边的旅店，不能有太高要求！有住就很好了，好在提前订好，实在是火爆', 'star': 5}
{'descr': '过去后居然说没有搜索到订单，不能住，弄了半小时，很脏，隔音也很差', 'star': 1}
{'descr': '离长海医院很近，经济又实惠！', 'star': 5}
{'descr': '离医院近，这个价钱还算可以', 'star': 4}
{'descr': '性价比挺高的。联通便利。老板人挺好的。出门在外都挺不容易的。希望以后优惠多多。携程在手，说走就走。。', 'star': 4}
{'descr': '好', 'star': 5}
{'descr': '挺好的住了几天也就晚上来住。离地铁口挺近的。交通方便。门口就是公交站。上海物价贵啊。这个价格全是性价比高的了', 'star': 4}
{'descr': '地理位置挺好的。离地铁口8号线翔殷路1号出口很近。就是晚点有点吵。整体来说挺好的', 'star': 5}
{'descr': '就那样吧！', 'star': 3}
{'descr': 'wifi简直是太差了', 'star': 3}
{'descr': '不通风，气味很大', 'star': 3}
{'descr': '环境不错，地段位置很好找，下次继续住这里', 'star': 5}
{'descr': '环境还不错，蛮清爽的，老板娘人很好。', 'star': 5}
{'descr': '离长海医院较近，方便，而且这个价位这样的环境挺划算的，房间不错，唯一觉得不足的是床有点硬，弹簧感觉磕的疼', 'star': 3}
{'descr': '  方便  也不多好  没窗户  潮湿   霉味重', 'star': 5}
{'descr': '*，房卡一插进去竟然断了，还陪50块呢，真他妈妈坑爹，前台服务超差，简直比车站私人旅馆还差，下次不会入住了', 'star': 1}
{'descr': '小店，也就图个离长海医院近一点方便一点，还好吧', 'star': 5}
{'descr': '感觉一般，房间都是玻璃，有一女服务员重点拿出来说说，我下去问要一个吹风机居然要客人先付100元，你以为自己的吹风机镶金子吗？服务态度差，不够好，隔音也差，工作人员经常替换，每次都去房间都被问是哪个房，交了钱没有，管理方面没有统一到位', 'star': 1}
{'descr': '住房条件还不错，159的大床房，床有些硬，睡得不是很舒服，其它设施还不错', 'star': 3}
{'descr': '浴室下水不是太好，服务态度还好。住宿没有打扰，比较安静。', 'star': 5}
{'descr': '为什么没有一次性拖鞋', 'star': 3}
{'descr': '房间是小了一点，装修没多久，环境不错，交通方便，门口就地铁站，离周围的长海医院近，如果是看病的朋友，可以考虑住那里', 'star': 5}
{'descr': '这家酒店位置不错，主要是房间较小，标准房间距太近了，希望酒店能提供给我们消费则好的服务。但是该酒店总体感觉还行，毕竟价格还算优惠。', 'star': 5}
{'descr': '一般', 'star': 3}
{'descr': '虽然特价房价钱便宜，但房间太小，住得不是很舒服。', 'star': 1}
{'descr': '酒店位置很好，交通方便，离地铁出入口20米远。房间干净。', 'star': 5}
{'descr': '房间太小，隔音超级差。一楼说话二楼听到一清二楚更别说隔壁了。', 'star': 1}
