{'短评内容': '一般般，服务不错。', '短评打分': 4}
{'短评内容': '位置不错，在一片老小区中间，周围饭店什么的很多。不太好停车。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '房间很好，挺干净的。离山庄比较近，吃饭什么的也挺方便，虽然酒店外观普通，但是装修比较好，环境也比较好，价钱也很值，以后来还会住这里的。', '短评打分': 5}
{'短评内容': '比较差的一个宾馆，想找便宜的可以去住', '短评打分': 3}
{'短评内容': '酒店卫生还可以，设施设备什么的挺一般的。相当于九十年代招待所水平吧！不过价格确实不高，也算是物美价廉吧！', '短评打分': 3}
{'短评内容': '黄金周来玩的，酒店不好定，普通连锁都要500左右的价格，住这里离步行街、景点很近，吃饭很方便，八大碗5分钟就到！唯一缺点，床单等该换换了，有点旧', '短评打分': 5}
{'短评内容': '什么破地方？要288 携程坑人 旅馆也坑 皮大点的门脸  ', '短评打分': 1}
{'短评内容': '整体还可以，房子不大但很整洁，楼下是八大碗 不错', '短评打分': 4}
{'短评内容': '服务一般，不热情，周边环境嘈杂，住了两晚，下次不会选择这家了。', '短评打分': 2}
{'短评内容': '离避暑山庄非常近，很方便，吃饭也很方便，也比较干净。', '短评打分': 3}
{'短评内容': '价格便宜  当然房间比较小隔音不佳 出门有小超市不远处有饺子馆 鸡公煲 串串吧 火锅之类的  附近都是买五金的 沿着小河边走就到跟南营子大街也比较近 就是没有停车位 都停在路边', '短评打分': 3}
{'短评内容': '酒店离山庄较近，离满族8大碗饭店较近，方便。', '短评打分': 3}
{'短评内容': '还不错，希望服务员态度好一点', '短评打分': 3}
{'短评内容': '酒店距离流水沟市场和山庄都比较近，很方便，房间也比较干净，但床单，被套有破损', '短评打分': 4}
{'短评内容': '刚到承德，对承德的印象很好。在导航指引下，找到了华堂宾馆，在很热闹的市区，不算难找。刚开始在楼下看到门面也有点担心，但是到了二楼后真的觉得很干净，非常不错，价位在现在的旺季来说也是性价比很高的了。前台的美女还给免费升级了房间，真是惊喜。下次来的话，还是会住这里。', '短评打分': 5}
{'短评内容': '环境很干净 离避暑山庄也不远 门口也有很多吃饭的地方 经理很好帮忙找个有窗户的房间 总体感觉不错', '短评打分': 3}
{'短评内容': '服务很好很周到，人也很热情。我们凌晨4点到了还有人接站。', '短评打分': 5}
{'短评内容': '在市中心，交通很方便，宾馆条件、服务都不错，值得推荐。', '短评打分': 5}
{'短评内容': '在突发的情况下决定出行，临时预定酒店，看到华堂宾馆的评论还不错，就选择他了。当到达的时候，酒店很好找，酒店内的设施和照片是一样的，并且距离避暑山庄也还蛮近的，我们走路就过去。\n在这值得一提的是，老板及服务员都很热情，给我们细心讲解了当地好玩的地方，还给介绍了那个鼎盛王朝，并积极帮我们找票，并给我们安排路线。很好的老板，很好的服务员，很是喜欢他们哦。\n在这一次承德之行，宾馆很实惠，性价比很高，住的特', '短评打分': 5}
{'短评内容': '优点：\n1.旅馆刚开业，内部设施都比较新；被褥很干净\n2.附近好吃的很多，距离避暑山庄特别近。\n缺点：\n1.所谓的特价房价格真心不特价。\n2.我住的客房比较潮，没有放衣服的橱子，甚至没有挂衣钩。\n3.房间说明可以租用电熨斗、吹风机，可是前台说没有...\n4.不能开发票。\n5.房间隔音效果不好，而且我们的”特价房“就在前台，内窗对过道，外边有人说话很打扰休息，还有走廊的灯，晚上我也没找到开关。\n6.', '短评打分': 1}
{'短评内容': '酒店环境不错。地理位置好。去哪个景点都很近我很喜欢', '短评打分': 5}
{'短评内容': '真的很不错，服务态度一流，环境也不错,距离避暑山庄特别近', '短评打分': 5}
{'短评内容': ' 干净、整洁，服务不错，就是宾馆外观不怎么样，看着有点破，但是里面很新，一上楼就感觉很好。对我这种有点小洁癖的人来说，卫生很到位。电视不赖，频道也很多，看中央五台的欧洲杯，效果挺好。因为怕找不到，电话沟通要求接站，老板挺爽快，免费接站。总之，还挺满意。', '短评打分': 3}
{'短评内容': '因为第一次去承德，宾馆不好找，就打了前台电话，老板很好，去路口接的我，很顺利到达。入住之后发现，地理位置很好，属于繁华地带，但不是主干道，晚上很安静。商场，小吃街，饭店街，广场都很近，步行就可以，尤其离避暑山庄很近。其实宾馆外观不怎么样，但是进去有很大的惊喜，因为宾馆设在二楼以上，很干净，一进入宾馆里就感觉算是“外观一般，肚里有货”，价格很实惠，设备都是崭新的，房间也宽敞，相当的干净，之前我订的是', '短评打分': 5}
