{'短评内容': '位置好，交通很方便，房间干净。', '短评打分': 5}
{'短评内容': '停车非常方便，独立车库', '短评打分': 5}
{'短评内容': '原则很强，还在装修，略微人性化，有待加强', '短评打分': 5}
{'短评内容': '在装修，味道比较大，隔音不好，太吵。马桶开始抽不了水，维修师傅来修了，厕所一直有股味而且一晚都听到下水道的抽水声。在携程97订的带双早的普通房，到了之后问早餐卷的事，直接回复的是你是去哪儿订的73的特价房，没得早饭吃的。我把订单页面给前台看，人家回答不关我们的事，不知道。遇到事情不积极解决，把问题甩回给客人，也是够了，要不是妹妹考场离那里很近，真的马上退房。后来打电话给携程客服解决了，谢谢携程客服', '短评打分': 4}
{'短评内容': '还不错，比较实惠。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '一般，只能说一般', '短评打分': 3}
{'短评内容': '房间太小 设施陈旧 房间和图片不合', '短评打分': 3}
{'短评内容': '很干净，很安静，以后还来', '短评打分': 5}
{'短评内容': '新开的店，地处市中心，确实不错，简单整洁，很好', '短评打分': 5}
{'短评内容': '来自贡外国语学校考试的 这个地方确实很近 分分钟就到了', '短评打分': 5}
{'短评内容': '停车位太少', '短评打分': 5}
{'短评内容': '酒店干净，能热情服务，满足要求，早餐较差（品种少，分量少）', '短评打分': 5}
{'短评内容': '相当的不错，一流的服务，果然是不同的城市，一样的家！', '短评打分': 5}
{'短评内容': 'Very Good！住了自贡连锁品牌的酒店，如家确实不愧为商务酒店的龙头老大。服务态度不错，房间装修也是如家常见的。', '短评打分': 5}
{'短评内容': '还算好...被有点小味..\n还是值得住的.', '短评打分': 5}
{'短评内容': '环境友好，卫生清洁，值。', '短评打分': 3}
{'短评内容': '房间挺好的，就是隔音不怎么样哈~~交通很方便~~', '短评打分': 5}
{'短评内容': '房间干净，离汽车远了一点儿', '短评打分': 3}
{'短评内容': '千万不要住该酒店房号尾号是3和5的房间，要不然那个热水管的低频泵的震动会让你记忆深刻直到失眠（很吵，而且会引起你耳朵的共鸣），特别是夜深人静的晚上。不过该酒店的服务态度很好的，很快就换了房间。', '短评打分': 5}
{'短评内容': '不错，经济实惠。以后还会向朋友推荐！就是停车不是很方便！', '短评打分': 5}
{'短评内容': '房间很干净，价格很便宜，附近吃的很多，就是酒店大门要先爬段楼梯，拎着箱子挺累啊', '短评打分': 5}
{'短评内容': '交通很方便，房间不临街，很安静，但房间很小，适合单人出差且无应酬。', '短评打分': 5}
{'短评内容': '酒店感觉还不错,性价比高.交通也很方便,推荐入住哈', '短评打分': 5}
{'短评内容': '房间有点小.其他都还不错，价格也比较适中，相当不错的经济型酒店。', '短评打分': 3}
{'短评内容': '将就哈可以哈 将就哈可以哈 将就哈可以哈 将就哈可以哈', '短评打分': 3}
{'短评内容': '酒店既干净又漂亮，房间设施齐备，居住舒适、温馨，非常值得推荐。', '短评打分': 5}
{'短评内容': '非常舒适', '短评打分': 3}
{'短评内容': '交通便利，房间干净，服务态度好，也是网上预订唯一没临马路的房间，就是房间太小，让人感觉很拥挤。', '短评打分': 5}
{'短评内容': '还不错，交通便利。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '如家自贡五星店服务不错，希望下次再来。', '短评打分': 3}
{'短评内容': '，很不错的酒店，下次还去住', '短评打分': 3}
{'短评内容': '坏境良好.交通便利、人员服务态度良好 下次还回来住', '短评打分': 5}
{'短评内容': '环境简单，卫生！周边地处闹市区，还可以去逛逛街，打车也很方便，如家的服务很人性化', '短评打分': 5}
{'短评内容': '酒店环境卫生，管理到位，真不亏是美国上市公司。下次还回光顾！', '短评打分': 3}
{'短评内容': '酒店的毛巾很干净呢！夜间的2个前台妹妹服务多好的！', '短评打分': 5}
{'短评内容': '不错的服务 不错的环境 很温馨    特别是服务 感觉很好和其他连锁酒店有本质区别', '短评打分': 5}
{'短评内容': '第一次住、感觉比7天好、设施都很新、虽然房间更小、但是整体感觉很不错、价格也很公道、有不足的地方就是没有WIFE、另外一切都挺好的、', '短评打分': 5}
{'短评内容': '持续如家一贯的标准，干净、安全；\n酒店周边餐饮店较少；', '短评打分': 5}
{'短评内容': '比较清静,感觉还好!', '短评打分': 3}
{'短评内容': '还行，条件不错，环境很好，地方有点偏，但是离市中心不远', '短评打分': 5}
