{'descr': '酒店离解放碑超级近  出酒店走两分钟就是地铁站和公交站出去玩坐车很方便  酒店卫生也很干净  晚上很安静也不吵 很满意  下次来重庆还要住这个酒店！', 'star': 5}
{'descr': '本来心情多好的，被房间搞坏了。房间出奇小。', 'star': 1}
{'descr': '可是就是你想见到你', 'star': 5}
{'descr': '真的很好睡觉', 'star': 5}
{'descr': '环境不错住的舒适', 'star': 5}
{'descr': '离轻轨站很近，附近吃的店没有，酒店确实有送牛奶，不过没有去领，环境可以，出行比较方便，旅游还是比较方便的', 'star': 4}
{'descr': '酒店工作人员完全一副我们欠了钱不还的态度……可能重庆人就是这样………', 'star': 4}
{'descr': '适合出差居住', 'star': 4}
{'descr': '环境一般，位置不错', 'star': 3}
{'descr': '周围环境真心差房间透气性不太好', 'star': 4}
{'descr': '服务人员态度特别好，卫生也挺干净，毛巾独立封包，一百多块钱，已经很值了。', 'star': 4}
{'descr': '好评，推荐', 'star': 5}
{'descr': '交通便利是最大的优点，门口有公交站，到地铁站也很近，步行即可。为什么不推荐，因为我住的房间真的太小了……选择7天就没指望有多大，但是小得我震惊到了，房间大小几乎就是一张床加一张桌子加一个打开的30寸行李箱，所以开箱拿完东西就必须立马关上竖起来放着，否则都没法走去洗手间……真的没有住过更寒酸的酒店了，确定不是卫生间改成了一间房？别的房型我不清楚，我住的那间小到连“经济连锁”都算不上……', 'star': 3}
{'descr': '不太好了，现在7天不如以前了', 'star': 4}
{'descr': '还不错', 'star': 5}
