{'短评内容': '不好，前台女员工，相当没有礼貌，服务差，动不动就粗口，这辈子不会再住了', '短评打分': 2}
{'短评内容': '一般般，70以下房间无卫生间，房型分的乱', '短评打分': 4}
{'短评内容': '一般般房型乱', '短评打分': 4}
{'短评内容': '环境好，服务态度好', '短评打分': 5}
{'短评内容': '百渡阳光的房间还是很干净的，让人感觉到清新放松，床很舒服，这一晚我休息的很好，下一次我再来东营的话百渡阳光一定是我的首选；', '短评打分': 5}
{'短评内容': '还凑合吧', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '感觉的酒店不错，周围环境不错，吃饭也方便，住宿还可以。', '短评打分': 3}
{'短评内容': '热水很给力。冬天入住很好，空调暖风很不错。不过，早餐很简单。希望下次能变个花样。', '短评打分': 3}
{'短评内容': '很好，服务挺好的！挺干净的！', '短评打分': 3}
{'短评内容': '很不错的……环境优雅，干净卫生……', '短评打分': 3}
{'短评内容': '第一次入住，价格比较优惠', '短评打分': 3}
{'短评内容': '比较差', '短评打分': 2}
{'短评内容': '很好，性价比高。', '短评打分': 5}
{'短评内容': '不大好，热水澡都洗不了', '短评打分': 2}
