{'短评内容': '酒店确认速度挺快的，可惜没有押金，酒店房间有点小。', '短评打分': 2}
{'短评内容': '周边吃饭的地方很多', '短评打分': 5}
{'短评内容': '除了无线网不行，其他的还行', '短评打分': 3}
{'短评内容': '环境挺好的，价格实惠，酒店服务员态度好，酒店楼下就有便利店，出门步行几分钟就能到中央大街。是一个不错的体验', '短评打分': 5}
{'短评内容': '挺好玩的', '短评打分': 5}
{'短评内容': '还好，就是隔音太差', '短评打分': 5}
{'短评内容': '酒店不错，距离中央大街步行大约20分钟。景观房是可以看到松花江的，走到酒店后面的松花江岸5分钟。酒店的设施也不错，服务也挺热情的，性价比可以，值得推荐。', '短评打分': 5}
{'短评内容': '环境优雅，卫生，服务态度好！', '短评打分': 5}
{'短评内容': '挺不错的，离医大秋林都近，交通方便', '短评打分': 5}
{'短评内容': '室内环境好，卫生不错，服务比较周到。酒店周边有很多小吃，交通比较方便，下次再来这里还会选择这家酒店。', '短评打分': 5}
{'短评内容': '干净整洁，安静方便，周围环境好！以后去还住这里！干净整洁，安静方便，周围环境好！以后去还住这里！干净整洁，安静方便，周围环境好！以后去还住这里！', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '第一次住环境卫生都不错', '短评打分': 5}
{'短评内容': '房间小，设施齐全，性价比超高的，甩七天好几条街。', '短评打分': 5}
{'短评内容': '性价比挺高，搜是在教堂500M，其实挺远，为什么1分呢，夏天，开空调，热，我天，第二天就换了。', '短评打分': 1}
{'短评内容': '周边距离最近的是透隆批发市场跟市第一医院，没想到买卖街有这么好的宾馆。真的很干净而且设施齐全甚至还有小冰箱跟吹风。中央大街跟索菲亚教堂走路去基本就十五分钟之内。下次还会来。附一张大堂内部的圣诞树。', '短评打分': 4}
{'短评内容': '性价比超高的一家酒店 ，距离圣索非亚教堂走路五分钟路程，交通方便，房间 整洁干净，暖气十足，值得推荐。', '短评打分': 5}
{'短评内容': '很好！在哈尔滨时间匆忙就呆了2天时间，很匆忙订的这家宾馆没想到价格合理卫生也很干净！员工服务态度 地理位置都非常好！去透笼 中央大街 新一百 很方便！非常推荐，下次我也一定还会选择这里', '短评打分': 5}
{'短评内容': '之前住过很多地方的快捷酒店，感觉这家酒店卫生真的很干净！看了很多评论都说卫生很好才选择了向日葵！没让我失望！虽然不大但是房间里什么设施都有，真是五脏俱全！前台很热情的帮助我们存放行李，还挺负责的！我们步行去了中央大街，索非亚教堂 都挺近的！总体酒店还是不错的下次来哈尔滨还会选择这家酒店。', '短评打分': 5}
{'短评内容': '优点1.地理位置很好，2.配套齐全，3.卫生软件挺好，4.看评论说服务态度不好，自我感觉还挺热情的呀。缺点1.白天有施工声音太吵，2.没有早餐。补充下热水真的很好。', '短评打分': 5}
