{'descr': '不行', 'star': 2}
{'descr': '比较小的酒店，硬件配置差，', 'star': 3}
{'descr': '隔音效果不行 有窗的吵', 'star': 4}
{'descr': '同等价位房间装修很好，用具齐全。', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '还可以，不错', 'star': 5}
{'descr': '很一般', 'star': 4}
{'descr': '携程定的虽然房间有点小但是空调很好很安静', 'star': 5}
{'descr': '酒店服务态度相当不好，我建议以后朋友们不要选择这里。', 'star': 1}
{'descr': '不错', 'star': 5}
{'descr': '还可以吧', 'star': 5}
{'descr': '环境不错，就是没有窗户', 'star': 3}
{'descr': '住宿条件还不错，看着还是比较干净的，但是电脑网速是真的有点慢啊，提个建议，房间里出售的小吃等都没有价格', 'star': 5}
{'descr': '还可以，感觉比较干净，就是吵得很睡不太好', 'star': 5}
{'descr': '酒店位置不错，环境也很好，周围都是商业街和商场，吃东西也很方便。', 'star': 5}
{'descr': '酒店位置不错，不好找，房间太小。。。。。。。。', 'star': 1}
{'descr': '很不错的酒店哟！地理位置很好，入住条件很舒适哟！', 'star': 3}
{'descr': '新装修。房间小，隔音差，服务员在过道上说话房间大听见，深夜三点半下一楼就有机器声音。早餐就不用说了，是我遇见最单间的早餐了（就是几个汤员和一个鸡蛋送到自己房间里吃），没有停车场不说就在楼下停一下车宾馆还要收十元的停车费。', 'star': 1}
{'descr': '还不错.挺温馨。就是没有窗户。上网速度也还不错。隔音效果一般', 'star': 5}
{'descr': '酒店位置不错，老板态度蛮好，房间虽然比较干净但是房间很小，格局很像七天。枕套更换不勤，有明显印记，卫生状况需要引起重视', 'star': 5}
{'descr': '干净还是干净，环境改将就，就是床还可以再硬一点，隔音效果还可以再查一点。', 'star': 3}
{'descr': '房间比较简陋，周边环境差，服务一般般，不推荐', 'star': 1}
{'descr': '环境蛮好的，早餐也不错，周围交通也很便利，下次还会来', 'star': 5}
{'descr': '是一家私人客栈，算不上酒店，不隔音，睡不好。当然价格便宜', 'star': 1}
{'descr': '电梯直达。酒店服务很好，设备非常新！房间里面很干净！房间里还有电脑。住得很舒服！很安静！\n\n就是酒店入口不太好找…… 找了一会儿…… 还有我住的房间的窗户是假的…… 有窗户但看不到外面，只能起到通风作用。', 'star': 5}
{'descr': '酒店相当不错，风格简约时尚，干净卫生，服务也很好。重要的是地理位置，处于万州商圈中心，几个大商场都在几分钟路程内，我去了2天向打车都没机会啊！', 'star': 5}
{'descr': '酒店很好，虽然不好找，万州交通乱了点。酒店正好在拐点。', 'star': 5}
{'descr': '不是一般的差，招待所都不如。房间狭小，走廊像迷宫。', 'star': 1}
{'descr': '酒店还是很不错的，房间看起来简单典雅，干净整洁，挺好的，价格会偏高一点，其它不错', 'star': 3}
{'descr': '好', 'star': 3}
{'descr': '很好，就是房间没窗', 'star': 3}
{'descr': '还好，相对来说可住！脲务员要多请两个！有时效率太慢！', 'star': 5}
{'descr': '没诚信!居然说没有标间了.我们最后无奈,到单间入住了!我第一次遇到这种事!', 'star': 3}
{'descr': '满意', 'star': 3}
{'descr': '挺好的,比想象中要好，性价比蛮高，不过再也不想去重庆了', 'star': 5}
{'descr': '还可以，就是水温不稳定，性价比还行………………', 'star': 5}
{'descr': '酒店还行,干静,中央空调挺给力.大门不好又旧又烂,前台小姐服务态度不敢恭维.尽然在我退房时试了三次想多收我钱!!说什么早上7点前入住的要多算1天!荒谬!!!我又不是猪!!!真丢咱万州人的脸.', 'star': 5}
{'descr': '觉得还行，还算干净，不过窗户很烂，有跟没有没什么两样', 'star': 5}
{'descr': '交通很方便，条件也不错，就是水忽冷忽热的。', 'star': 5}
{'descr': '水温很不稳定，洗澡很痛苦', 'star': 3}
{'descr': '新开的，位置相当好，房间很干净，床很大，就是房间有点小，没桌子。', 'star': 5}
{'descr': '宾馆地段不错，但干湿分离做的一般，还好干净，推荐高级大床间', 'star': 5}
{'descr': '一般', 'star': 5}
{'descr': '相当不错，值得推荐，地段很好，服务态度也不错，房间装修很新，总的来说是物有所值的。', 'star': 3}
{'descr': '地方很好找，给出租车司机一说就知道了，实在不行你可以说佳庆大厦。到了楼下确实有点不敢进，不过上来之后还是觉得不错的。\r\n房间里面很干净，很简洁，服务态度也很好，装修比较时尚，空调很给力，早餐的话是直接送到房间里来，很温馨。\r\n地段也很好，逛街很方便，总的来说很满意。', 'star': 5}
{'descr': '经过入住，我完全认同前面几个网友的点评，万州这个鬼地方订酒店还不太好订，选了几家都没有房间，然后选的亚美酒店。如果不是通过ELONG订的，到了宾馆下面还真不敢上去，楼下不是一般的破，电梯也是，而且跟蜗牛一样，房间还算干净，服务态度很不错，设施很一般，舒适度的很一般，不过毕竟也就是一百来块钱的快捷酒店。总之，如果你行程匆忙，对住的要求不高，只要安全、干净就行，这个地方还不错，追求舒适度，环境的话就不', 'star': 1}
{'descr': '不错', 'star': 5}
{'descr': '便宜方便，服务尚可，卫生尚可，只是床好硬，卫生间干湿不分。', 'star': 5}
{'descr': '酒店位置很好，在万州的中心地带，1楼的环境有点差，但是上到5楼的大堂就耳目一新了，服务人员的态度也是一流的，房间的装修和设施也很不错，有电脑可以免费上网，市话和长途都是免费的。下次来万州还住这儿', 'star': 5}
{'descr': '酒店的房间各方面都不错，干净卫生，床也很舒服，有点像是如家、7天之类的经济酒店，就是大堂在5层，酒店有点不好找，一楼很脏乱，大厦只有两部电梯楼上好像还有住家，所以早上坐电梯很慢很慢，来了还经常人满，坐不上，好多人就走下去的，但这个很难解决，总的来说酒店不错，可以再住。', 'star': 5}
