{'短评内容': '酒店环境好。服务态度好', '短评打分': 5}
{'短评内容': '不错的选择', '短评打分': 4}
{'短评内容': '自助早餐很不错。', '短评打分': 5}
{'短评内容': '早餐一级棒 环境也还行 就是电梯比较吭 特价房划算 还能遇见cba', '短评打分': 5}
{'短评内容': '你是谁呀ih', '短评打分': 4}
{'短评内容': '早餐还可以，性价比很高', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '还可以还可以还可以还可以还可以', '短评打分': 5}
{'短评内容': '去住了一晚上，感觉价格不值得这个价。去的时候大冬天的，屋子里就只有16度，开了空调也无法升到18度。\n卫生间小的都活动不开。优点是，早餐不错，可以自助选择，中西结合。\n但是整体来说，不值得这个价位。', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '住宿整体还可以，环境也还算可以', '短评打分': 4}
{'短评内容': '吃肚饿不定积分好不查加斯病度假村v好性感v我很纯洁洁具v别的女生经典奶茶不参加索尼电脑', '短评打分': 5}
{'短评内容': '房型宽裕，风格新颖，环境不错，早餐丰富', '短评打分': 5}
{'短评内容': '环境不错，房间很干净，交通便利，离火车站和机场都很近，下次来了还住这儿。不足之处住的临街房间，是隔音不大好。', '短评打分': 5}
{'短评内容': '性价比高，每次出差都选择润东，不错。', '短评打分': 5}
{'短评内容': '不错iu的，酒店很好', '短评打分': 5}
{'短评内容': '下次还会入住', '短评打分': 5}
{'短评内容': '非常满意，下次再来。', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 4}
{'短评内容': '网速有点慢，', '短评打分': 4}
{'短评内容': '环境还错，服务也还行，但没有四星标准，待努力', '短评打分': 5}
{'短评内容': '干净整洁，比起如家等酒店要超值很多，还不错', '短评打分': 5}
{'短评内容': '酒店很新，住得很舒服,服务很好，很有回家的感觉，下次有朋友去，一定会介绍给他们。', '短评打分': 5}
{'短评内容': '正巧赶上酒店门口在修路，停车时比较麻烦。房间设施还可以，选择的是圆床房。', '短评打分': 5}
{'短评内容': '服务很好，房间也很舒服，还免费接机，很不错的酒店，只是睡的房间是靠马路的，车声有点大', '短评打分': 5}
{'短评内容': '酒店设施比较新 服务态度好 卫生间很大 周边比较偏 ', '短评打分': 5}
{'短评内容': '润东酒店是今年新开的，门前还是施工，有点小不方便。定的是特色房，房间不大。感觉还可以', '短评打分': 5}
{'短评内容': '房间很舒服，很不错', '短评打分': 3}
{'短评内容': '服务还行，服务还行，服务还行，但距离4星还是有点距离', '短评打分': 5}
{'短评内容': '酒店硬件条件挺好,周围环境也不错,就在夜市边上吃东西很方便.\n但是管理不行,下面的员工对于客人的要求基本属于无响应.经理态度再好也无济于事啊\n', '短评打分': 1}
{'短评内容': '酒店设施很好 干净 整洁 早餐也很丰盛 值得推荐给大家', '短评打分': 5}
{'短评内容': '房间太小，不过还挺干净，设施也不错。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '服务质量没的说，好:-D', '短评打分': 3}
{'短评内容': '标准间可以，单间面积太小了', '短评打分': 3}
{'短评内容': '还可以比较干净缺点没窗户', '短评打分': 3}
{'短评内容': '房间宽敞，有电脑，酒店周边饮食一条街，比较方便，早餐一般，有待提升。', '短评打分': 5}
{'短评内容': '总体不错，但这个档次隔音太差了，隔壁打电话都能听见，更别说楼道里了…', '短评打分': 3}
