{'descr': '隔音不是一般的差', 'star': 3}
{'descr': '太可怕了，十分偏僻。', 'star': 2}
{'descr': '旁边有火车晚上有点吵，旅游团早上六七点就有杂音，其他的都还好，前台以及清洁阿姨的服务态度也都还不错。', 'star': 5}
{'descr': '酒店靠着火车站，挺吵的，感觉酒店不是特别新，而且洗澡的洗发露，沐浴露都没有标明，地理位置有点偏，但是价格在这，性价比高。', 'star': 4}
{'descr': '酒店很好，卫生整洁，服务很周到，早餐也不错，本来准备给全5分的， 只是半夜被蚊子不停的吵吵醒了，没有蚊香，感觉不好。 3. 是10.1黄金周去的，客房的入住率很高，基本可以按照我们的要求安排了房间给我们。', 'star': 5}
{'descr': '一般', 'star': 2}
{'descr': '还比错吧', 'star': 5}
{'descr': '卫生条件一般般吧，不是第一次住了，毕竟不如大牌连锁，汉庭啊，七天啊卫生条件好一点，周围小区的环境倒是好很多了', 'star': 4}
{'descr': '国庆节在网上预订的大床房，工作人员给我们换成了商务间，服务很贴心，态度很好。就是房间不怎么隔音，靠着铁轨有点吵。', 'star': 4}
{'descr': '还可以吧。国庆期间不好弄。', 'star': 3}
{'descr': '各项指标都一般  如果不是没有选择不会住', 'star': 4}
{'descr': '很好非常干净', 'star': 5}
{'descr': '价格还行，晚上有点吵，不太隔音，并且旁边有火车，不过，酒店服务很好。', 'star': 5}
{'descr': '朋友入住的 据说环境还不错 价格也便宜', 'star': 5}
{'descr': '较偏僻，但在别的地方都满员的时候解决了住宿的刚性需求。  据入住的朋友说设施、卫生和服务都还不错。值得推荐。', 'star': 4}
{'descr': '环境和配套设施都不错，服务很好，下次还来这家住。', 'star': 5}
{'descr': '环境不错，就是位置稍微有点偏，周围也有一些小吃店，服务人员态度也很好', 'star': 5}
{'descr': '这家酒店虽然在地理位置上偏了一些,但是我觉得它的设施还是很不错的,.', 'star': 5}
{'descr': '房间挺干净的，就是位置有点偏，要走一段路才能到。', 'star': 5}
