{'短评内容': '酒店位置好，非常方便，房间很不错', '短评打分': 5}
{'短评内容': '此用户未填写评价内容', '短评打分': 5}
{'短评内容': '环境不错，方便查找。', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好爱护自己好好休息好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '很好，房间很好，服务也很好', '短评打分': 5}
{'短评内容': '很不错，比直接到店便宜', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '设施齐全，卫生不错。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '推荐', '短评打分': 5}
{'短评内容': '十分好', '短评打分': 5}
{'短评内容': '热水吧太热；早餐品种太少。', '短评打分': 2}
{'短评内容': '周边环境一般', '短评打分': 4}
{'短评内容': '房间较大，还不错，就是门锁有问题，总是要找服务人员开门。位置一般，周边吃的比较少，公交站也相对有点远。', '短评打分': 4}
{'短评内容': '不错的房间', '短评打分': 5}
{'短评内容': '总得来说还行，不过住的无窗房，味道实在太大', '短评打分': 4}
{'短评内容': '一般吧，设备稍微差点，最坑的是没有无线网络', '短评打分': 5}
{'短评内容': '服务好，不愧大型连锁。', '短评打分': 4}
{'短评内容': '内部设施有点老旧，服务态度很好，周边就是老中山内部，可以感受风土人情。周边小吃不少，大型购物中心750米', '短评打分': 4}
{'短评内容': '差到几点 一到房间无窗 大晚上让人心情不好 说免费停车的结果早上退房走要收车费 房间没有窗户  真的是让人生气', '短评打分': 1}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '房间大，有免费早餐，在城市客栈连锁店里头属于中规中矩的', '短评打分': 5}
{'短评内容': '房间大，有免费早餐，在城市客栈连锁店里头属于中规中矩的', '短评打分': 4}
{'短评内容': '还是可以的，房间宽敞舒适，价格也比较公道——', '短评打分': 5}
{'短评内容': '房间很ok，双人房满意，很大，我喜欢这间酒店的风格，下次去中山，它会是首选！', '短评打分': 3}
{'短评内容': '很差劲，房间里有异味，！！！！！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '酒店离汽车中心有点远，不过环境还可以，客房很干净卫生，隔音挺好睡眠安静。', '短评打分': 3}
{'短评内容': '交通还可以，，酒店服务还行，不过感觉价格偏高点', '短评打分': 5}
{'短评内容': '我们住的是双人床，床很小，比7天的小。被子和其他的评论一样，实在是太薄了，而且空调居然是单冷的，没有暖气。冬天住冻死人了。。。', '短评打分': 1}
{'短评内容': '环境挺不错的！下次还会去的！', '短评打分': 3}
{'短评内容': '客栈环境不错！房间感觉挺舒服的！下次还会再来。', '短评打分': 5}
{'短评内容': '酒店区位优越，整体环境不错，较为经济实惠', '短评打分': 5}
{'短评内容': '酒店地处市区核心,住宿环境比较温馨优雅!', '短评打分': 3}
{'短评内容': '环境不错 但是浴巾那些都比较陈旧了', '短评打分': 3}
{'短评内容': '说老实话，该酒店没有用心经营，很多很多地方都显得是小地方的酒店，粗放型的，楼梯间是很粗糙的水泥地面，房间的地毯很脏，洗澡的水龙头漏水，被子里面的棉花一团一团的，有的地方有棉花，有的地方透亮，铺在床上现出明显的疙瘩，怀疑是加盟商和总天有矛盾，准备退出了吧？', '短评打分': 1}
{'短评内容': '酒店的卫生还好，早餐丰富，就是停车位少，卫生间的冲凉太小，空调屋热风，被子还是薄薄的', '短评打分': 1}
{'短评内容': '酒店干净整洁.有需要服务人员很及时办到.地理位置处于商业繁华地带,交通逛吃喝都好方便就是没有暖气有些冷.gzdwt', '短评打分': 5}
{'短评内容': 'OK 很舒適 環境很好 会向朋友推荐这家酒店', '短评打分': 1}
{'短评内容': '环境干净卫生,住起来比较舒适~价钱也合理,,,重点是周边交通方便', '短评打分': 5}
{'短评内容': '乾乾淨淨 性價比高 我去石歧都已經住了兩次拉\n', '短评打分': 5}
{'短评内容': '还算可以，只是没其他城市比较少，价位适中。', '短评打分': 5}
{'短评内容': '酒店设施比较旧，房间的窗户要用很大力几乎是暴力才能关闭，电视机遥控经常不行，现在冬天，被单都比较薄，那时候已经12点多了，叫服务员拿被子很快就拿到，服务好到不行！！\n总体来说还行，服务员的态度很好，早餐环境不错，出品都OK。\n希望能多间几家店。', '短评打分': 5}
{'短评内容': '环境还可以,就是停车位少,不那么方便,还有次所的沐浴露很难倒出来,改进下会好很多', '短评打分': 5}
{'短评内容': '很不错酒店，经济舒适，性价比高，下次还住这个', '短评打分': 5}
{'短评内容': '＋刚入住房间和服务态度都还好，就是窗户正对马路，略吵', '短评打分': 3}
{'短评内容': '还好 还好  房间有点小电视也小  衣架也少  连风筒也没有  服务远还可以  OK OK OK OK OK', '短评打分': 5}
{'短评内容': '性价比还是比较高 但是这个价钱估计还能找到第二家更好的 哈哈该死的50字啊该死的50字啊该死的50字啊该死的50字啊该死的50字啊该死的50字啊该死的50字啊\n', '短评打分': 5}
{'短评内容': '一直就喜欢住城市客栈，觉得酒店房间大，窗户大，干净，餐厅也很不错，而且两片树叶的造型我特别喜欢，再就是城市客栈性价比很高。', '短评打分': 5}
{'短评内容': '去年住了一次，今年是第二次住了，城市客栈系列酒店整体定位还不错，尤其酒店还备有简单但还不错的早餐，地理位置就一般般', '短评打分': 5}
{'短评内容': '房间大,地段佳,设施干净.', '短评打分': 3}
{'短评内容': '豪华双人房一点都不豪华！早餐很差劲，室内用品不齐全，反正我很后悔！而且写有宽带，还以为有电脑呢，结果整个酒店都没有！', '短评打分': 1}
{'短评内容': '邻步行街、购物逛街都很好，房间就在山脚，非常不错，拉开窗帘就是绿色植物，房间里面的设施也都还OK，服务人员也很亲切。', '短评打分': 5}
{'短评内容': '位置很好，靠近中山大润发超市，商业繁华，购物很方便，房间很宽很干净，设计合理，就是停车不太方便。很适合家长送学生来上学。', '短评打分': 5}
{'短评内容': '比较干净！很安静！空气好！窗户大！早点对于这个价格的酒店来说很值！都好！唯一是没晾衣服的地方！', '短评打分': 5}
{'短评内容': '优点：\n交通便利\n饮食购物方便，离大福源很近\n缺点：\n房间偏小，没有提供电脑\n隔音差，床不够软\n服务员态度很一般\n', '短评打分': 1}
{'短评内容': '酒店位置不错，附近交通（公交、三轮车）都还可以，住的是高级单人房，进去后后悔没加20块换个豪华房，倒不是房间不好，只是觉得简陋了点，但卫生情况还算不错', '短评打分': 5}
{'短评内容': '服务差 晚上整个酒店居然只有一个服务员负责所有楼层的打扫 简直闻所未闻\n床单非常脏，毛巾有异味。\n前台态度奇差。我就奇怪房价为什么比珠海便宜一半，原来质量也是差了一半\n绝对不会再去了', '短评打分': 1}
{'短评内容': '不过的 午饭很好吃午饭很好吃午饭很好吃午饭很好吃午饭很好吃午饭很好吃午饭很好吃', '短评打分': 5}
{'短评内容': '环境还算可以，交通方便，不过就是有蚊子。。。。。。。。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '这次去比较郁闷。房间很小很小 而且浴室下水道还塞了 ', '短评打分': 1}
{'短评内容': '酒店不错很舒适', '短评打分': 3}
{'短评内容': '比较静，但毛币，花洒比较旧了。。。。。。。。', '短评打分': 1}
{'短评内容': '房间小 价钱比较贵 早餐选择少 浴室的毛巾比较脏呢 ', '短评打分': 1}
{'短评内容': '城市客栈名如其店，简洁、安全，早餐的方式以及品种有待改进，给客人不舒服的感觉。', '短评打分': 5}
{'短评内容': '总体还好，就是装修一般。离大信和步行街都挺近。', '短评打分': 3}
{'短评内容': '服务很不错', '短评打分': 3}
{'短评内容': '环境不错…离车站也近，附近交通也很方便，价钱也挺公道…', '短评打分': 3}
{'短评内容': '这家城市客栈很不错啊，交通方便，而且附近还有一间超赞的民信糖水店!', '短评打分': 5}
{'短评内容': '房间很大很好，早餐也不错！', '短评打分': 3}
{'短评内容': '不错,可以介绍朋友.最好就是有早餐呀,下次去再住', '短评打分': 5}
{'短评内容': '不错,干净,位置也比较易找到,下次会再来', '短评打分': 5}
{'短评内容': '还挺干净的，个人反倒比较喜欢有柱子的房间', '短评打分': 5}
{'短评内容': '酒店不错，房间蛮大！服务不错，早餐也挺好！', '短评打分': 5}
{'短评内容': '毛巾很旧，冲澡的地方排水完全塞了，一开始就这样，明显是之前已发生问题但没有处理就给客人住了。冲到一半，出来又不是，继续冲又怕水会淹出房间。非常不便。', '短评打分': 1}
{'短评内容': '环境好', '短评打分': 3}
{'短评内容': '很好 下次还来住很好 下次还来住很好 下次还来住很好 下次还来住很好 下次还来住', '短评打分': 5}
{'短评内容': '每次都来住很好 下次还来住很好 下次还来住很好 下次还来住很好 下次还来住很好 下次还来住', '短评打分': 5}
{'短评内容': '很好 下次还来住很好 下次还来住很好 下次还来住很好 下次还来住很好 下次还来住很好 下次还来住', '短评打分': 5}
{'短评内容': '酒店设施旧了一些 其他都挺好的，毛巾浴巾也挺旧的', '短评打分': 5}
{'短评内容': '不错 只是现在可用券好像变少了很多，不给力啊不给力\n', '短评打分': 5}
{'短评内容': '毛巾比较旧，没有暖气，感觉水不够热。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '发现这样订酒店还挺方便的，给力啊！酒店的位置算比较好找，这样的价位对应这样的环境算是可以了', '短评打分': 5}
{'短评内容': ' 环境还可以。下次再来', '短评打分': 3}
{'短评内容': '房间感觉一般，但是还是比较干净的，相对中山来说，198豪华单间，不是很实惠，床小了点', '短评打分': 5}
{'短评内容': '酒店位置应该算不错吧，不远处就有工、农、建三大银行，且距离很有名的“石岐佬”餐厅也不远。当晚我就和朋友去了那品尝石岐乳鸽，还有很多好吃的，可惜人不多，尝不了几个菜就饱了！\n我入住的是二楼的豪华单人房，送双早餐。\n房间比较宽敞，正如很多旅客提到的房间内的毛巾很旧，都起毛毛了。枕头套也起毛，而且有头发，不干净！\n房间对着一个住宅小区，没什么景观！如果有人经过说话或酒店其他房间开空调会很吵，因为窗户下面', '短评打分': 5}
{'短评内容': '早餐 挺不错的，环境也很好，其中唯一不足的就是毛巾及浴巾很旧，都不敢用', '短评打分': 5}
{'短评内容': '酒店的一切都好，其中唯一一点不足的就是浴巾和毛巾都是很旧的，希望下次过去看到的是新的毛巾及浴巾', '短评打分': 5}
{'短评内容': 'the hotel is dirty & normal', '短评打分': 1}
{'短评内容': '第二次入住，感觉还是不错，房间宽敞明亮，如果靠街的房间会有比较大的噪音，干净舒适，早餐和点餐服务的都不错，值得入住。有个小疑问，为什么两次的床单都是破洞洞的呢？呵呵，不过瑕不掩瑜啦！', '短评打分': 5}
{'短评内容': '住的一般，不过挺安静。但是早餐质量不好，对早餐要求高的不适合。', '短评打分': 5}
{'短评内容': '硬件一般，软件差一点，早餐可以，房间隔音效果差一点，房间电话有问题，打不出去，问服务员，服务员说线路忙，还可拨另一条线，但没有提前明示', '短评打分': 5}
{'短评内容': '在酒店里还买了一本书，呵呵，还不错。酒店的情况也很不错，有点感觉。', '短评打分': 5}
{'短评内容': '网速很慢，开个EMAIL都要等半天&#183;&#183;&#183;其他都不错', '短评打分': 1}
{'短评内容': '性价比很高的一家酒店,无论地理位置,价格,还是舒适度,都非常不错,值得推荐!下次来中山还住这里.', '短评打分': 5}
{'短评内容': '第一次与他在这里邂逅，也因为这样，从未对CITY INN如此留恋。这已经是不知第几次入住CITY INN了，依然对它感觉很满意。希望CITY INN越来越好！', '短评打分': 5}
{'短评内容': '位置较好，出差或者旅游都合适。送的早餐选择较多。保安对入酒店的人员都要求出示房卡，感觉安全。餐厅的服务员态度很亲切。推荐。', '短评打分': 5}
{'短评内容': '交通很方便..附近也好多吃的...\n服務很好,也很熱情.', '短评打分': 5}
{'短评内容': '还可以，比较静，毛巾比较旧了。其它还可以。', '短评打分': 5}
{'短评内容': '酒店不错，值得推荐', '短评打分': 5}
{'短评内容': '+酒店房间可以，服务也不错，早餐也还不错。', '短评打分': 5}
{'短评内容': '酒店比較乾淨，早餐比較豐盛，環境比較好，設施也不錯', '短评打分': 5}
{'短评内容': '每次进酒店保安都要检查房卡，较令人放心。', '短评打分': 3}
{'短评内容': '已经第二次入住，楼下有城市咖啡，价格实惠，附近有便利店、面包店、各式地道食肆、药房等,省心。服务、设施可以满足一般需求。推荐。', '短评打分': 5}
{'短评内容': '还不错，卫生比较好，豪华大床房的气氛没有想象中好', '短评打分': 3}
