{'descr': '交通便利，价格优惠', 'star': 4}
{'descr': '挺好的呀。', 'star': 5}
{'descr': '单间全是靠马路一边，噪音大，热水来得很慢，很小。其他还好！', 'star': 4}
{'descr': '环境差 服务人员态度恶劣', 'star': 1}
{'descr': '房间环境很差 空调很老久制冷一点没效果 关键是这家服务员态度很差跟恶劣', 'star': 1}
{'descr': '酒店的位置很好，交通方便，门口有交通车四通八达。酒店的软件很好，服务质量较高，硬件稍微差些，毛巾有些老旧，卫生间淋浴房的莲蓬头需要更新了。希望酒店能增设早餐，这样就更方便住客了。总之，这家酒店的性价比很高。', 'star': 5}
{'descr': '酒店很好，性价比高，服务的质量很高，软件比硬件强。交通便利。非常好，非常方便。如果是酒店开设早餐，就更好了！', 'star': 5}
{'descr': '凑合着住吧，在这里谈不上什么性价比的！', 'star': 3}
{'descr': '不入流的宾馆永远都只可能是小宾馆！洗漱池漏水不说还不出热水，我想这不可能是现在才这样的吧。单人间靠马路一边非常的吵，噪音不是一般的大。吧台服务员的整体素质就能看出一斑，看着像服务员吗？不像！生意做成这样也是必然的结果了。', 'star': 3}
{'descr': '因照顾在九七医院住院的病人，在这家酒店住了好多天，总的感觉非常好，特别是服务人员的热情和助人的精神，很温馨…… ', 'star': 5}
{'descr': '差得很，但床多。', 'star': 3}
{'descr': '环境还行，洗澡的水太小了，现在洗有点冷', 'star': 3}
{'descr': '价格便宜，', 'star': 3}
{'descr': '设施不好，房间很大，床不错', 'star': 4}
{'descr': '尚可，价格便宜，房间宽敝', 'star': 3}
{'descr': '酒店设施还可以，就是坏了不知道维修，服务也不行，有待改进！下次不再住！', 'star': 1}
{'descr': '一个字来形容差，而且态度急奇恶劣，冷漠。屋里的环境狠差，异味重，晚上蚊子满屋飞。', 'star': 3}
{'descr': '相当超值，比预想的要好的多。服务与4星级有差距是必然的，但基本的服务也是到位的，春天的小鸟早晨有点吵，也是我想要的。南面就是军营，油布盖着看不清好像有很多的装甲车或许有坦克吧，感觉上有安全感。\n推荐是网速非常快，早餐一般，住房比较干净， 性价比。', 'star': 5}
{'descr': '还不错，房间舒适、干净、整齐,还有宽带。', 'star': 5}
{'descr': '一般，洗澡热水流小的唻，像是油一样精贵，走过路过，不会再去啦~', 'star': 1}
{'descr': '电话随便打 就是早餐实在太差了，环境也不咋样', 'star': 1}
{'descr': '很多灯都不亮；厕所是玻璃门，不喜欢。\n出门就是公交车站，出行十分方便。', 'star': 5}
{'descr': '条件一般，没有POS机，比较落后。早饭要借问别人。', 'star': 1}
{'descr': '服务态度不错，但服务质量不好', 'star': 3}
{'descr': '房间挺干净设施装修也挺精致的，就是酒店门面大堂比较小不过房间进去之后感觉很不错，位置比较偏离市区还是有段距离，服务还行，价格还是比较合理，房间住宿条件还是很不错。', 'star': 3}
{'descr': '总体感觉简洁、清爽，环境噪声较小、适合清静的人士入住。', 'star': 5}
{'descr': '旅馆早餐很差', 'star': 3}
{'descr': '还不错，设施比较新，交通也比较方便，靠近97医院', 'star': 5}
{'descr': '开着车过去的，感觉内部环境不错，新装修的', 'star': 5}
