{'descr': '环境好', 'star': 5}
{'descr': '服务态度还可以，就是没有行动，我需要个吹风机第二天下午才用上', 'star': 3}
{'descr': '不错  地理位置还行   有烟味', 'star': 5}
{'descr': '垃圾酒店，房间很脏，服务员一周才打扫一次。\n我一个人住，房间里的两个茶杯盖不见了，根本不是我的责任，还是扣了我两个杯子的钱。实在是太冤枉了！\n像这样的酒店，不讲道理，就是黑店！\n前台服务态度很烂，还要求着她。', 'star': 1}
{'descr': '和宾馆介绍三星级相差太远了 服务员态度很冷淡 我住的是四楼 一出电梯口一股异味 房间很小 和168元的价格真的不太匹配', 'star': 1}
{'descr': '服务有待提高，早餐太差了，结帐只能现金，竟然不能刷卡，本来订了四天住了一天就跑了。', 'star': 1}
{'descr': '价格适中，交通便利，其他都一般。', 'star': 3}
{'descr': '房间还行,应该配两瓶免费矿泉水,茶叶及咖啡', 'star': 3}
{'descr': '帮朋友订的，房间很大，还有健身器材，交通比较方便，', 'star': 5}
{'descr': '环境不错，房间的窗帘挺时尚温馨的，我的房间还有个跑步机，呵呵4可惜没时间上去跑两下…', 'star': 3}
{'descr': '地方有些偏，但是房间里的阳台非常好，喜欢！', 'star': 5}
{'descr': '很好很干净', 'star': 3}
{'descr': '里面的服务态度不怎么好，还有，设施有些是坏的。像汉庭或者7天都有免费的雨伞借，而这里却没有', 'star': 1}
{'descr': '房间很温馨，服务很好。交通方便。打扫及时。', 'star': 3}
{'descr': '酒店住宿条件还可以，就是早餐简单了点，其他方面都还不错！\n\n--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': '酒店住宿条件还可以，就是早餐简单了点，其他方面都还不错！', 'star': 5}
{'descr': '性价比还是不错的，酒店环境也很好，宽敞干净', 'star': 5}
{'descr': '很干净，服务也不错。', 'star': 3}
{'descr': '店内设施比较快捷，干净，服务态度不错。遗憾唯一的座椅是个矮凳，座着上网累。因为靠窗来回卡车隆隆声不绝。让人闹心。', 'star': 5}
{'descr': '济性价比最好的酒店，干净，安静，服务态度也不错，早餐还可以', 'star': 5}
