{'短评内容': '环境好，配套齐全，方便', '短评打分': 5}
{'短评内容': '一罐好评', '短评打分': 5}
{'短评内容': '一罐好评', '短评打分': 5}
{'短评内容': '房间很大，挺舒服，性价比很高。希望下次再次入住', '短评打分': 5}
{'短评内容': '交通还很方便，离广州南站不远，性价比也还可以，酒店设施也不错，不过就是边上购物差一点，但总体这样价格应是不错了。可以。', '短评打分': 5}
{'短评内容': '比想象中差一点&amp;hellip;看相片就知道房间里部分还要维修', '短评打分': 3}
{'短评内容': '感觉不错，前台服务也好。下次继续关注', '短评打分': 5}
{'短评内容': '位置方便，隔壁就是佛山华美达酒店。去岭南天地坐车10分钟。酒店有住房和酒楼，吃住都方便。', '短评打分': 4}
{'短评内容': '还不错，有免费水果，就是早餐的种类比较少，总体住着还不错吧', '短评打分': 4}
{'短评内容': '干净卫生', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '出差入住，从广场的机场大巴可以直达酒店，但是不是每班都经过，如果算好时间，去广州机场还是比较方便的。酒店卫生还可以。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '环境和服务都非常好。', '短评打分': 5}
{'短评内容': '较好。。。。。。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '较好。。。。。。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '较好。。。。。。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '较好。。。。。。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '设施新，服务比较好，早餐很一般，人还特别多，地理位置不行，离市区较远，打车要20元左右', '短评打分': 5}
{'短评内容': '这家酒店不错，床很舒服，服务也不错，住禅城区的话很推荐', '短评打分': 5}
{'短评内容': '算是不錯的酒店  不過地點確實不是很好離地鐵站有點遠  旁邊的酒樓和她們家不是同個老闆不能打折 ', '短评打分': 5}
{'短评内容': '设施很新，环境安静，但服务意识有待提高。', '短评打分': 3}
{'短评内容': '这个价位一般般,地理位置还好,配套设施一般', '短评打分': 5}
{'短评内容': '酒店较新，价格在佛山算是高的。刚拉浴室的帘子就坏了、掉下来。隔音不好，深更半夜隔壁的声音都能听到。早餐一般。性价比一般。下次不会再住了。', '短评打分': 1}
