{'短评内容': '酒店早餐可以，适合带孩子，位置在商业街附近，有停车场。', '短评打分': 5}
{'短评内容': '酒店位置不错，很繁华，门前有停车位，我们住的标准间，不能加床，早餐一般，不挑食的话能吃饱，设施有些老旧。', '短评打分': 5}
{'短评内容': '酒店地理位置非常，内部设施略显陈旧，空调制冷效果欠佳。', '短评打分': 5}
{'短评内容': '交通便利，很好。', '短评打分': 5}
{'短评内容': '床是1.3*1.8的俩张，早餐还好，购物很方便。交通n周围饭店都很多，性价比很高，打车也很方便，烧烤，烤肉店选择性很多。', '短评打分': 5}
{'短评内容': '住的舒坦，有早餐，停车方便，出行方便，每次来齐齐哈尔都是在这住，很安全，地理位置比较好，能睡个好觉！', '短评打分': 5}
{'短评内容': '位置很好  房间够大    很不错', '短评打分': 5}
{'短评内容': '房间旧，还小！呵呵哈哈哈', '短评打分': 5}
{'短评内容': '酒店很暖和，房间也干净，服务态度很好，下次过来还会来光顾的', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '早餐一般，愿意走走的可以去周边吃！当时支付了160元，实际发票给开的120多，由于赶火车也没计较，而且速度非常慢！增值税普通发票还需要提供税号信息，我也是醉了！', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '设备太陈旧', '短评打分': 4}
{'短评内容': '住了一天，挺好的在延续一天', '短评打分': 4}
{'短评内容': '房间设施挺好的', '短评打分': 4}
{'短评内容': '酒店太旧了', '短评打分': 2}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '女朋友很喜欢住这家酒店，三楼就是餐厅，吃饭方便', '短评打分': 5}
{'短评内容': '入住过程愉快，非常满意；三楼就是餐厅，吃饭非常方便，饭菜也可口，以后再到齐齐哈尔，还会选择住在这里。', '短评打分': 5}
