{'短评内容': '酒店服务不错，很热情，推荐！', '短评打分': 5}
{'短评内容': '服务一流，房间干净卫生，很安静，喜欢', '短评打分': 5}
{'短评内容': '很不错的地方，小孩玩得很开心，有自行车，图书室，挖沙，走道、房间都很宽敞，服务员都很热情。', '短评打分': 5}
{'短评内容': '来打球的，草坪果岭都很不错，算是中上等级的球场了，周边环境清幽，天气冷有免费姜茶服务，很不错，带了一壶打球喝。', '短评打分': 5}
{'短评内容': '环境还不错', '短评打分': 5}
{'短评内容': '环境很好，酒店服务态度也好个，房间大阳台大地毯看起来干净，对一个国企酒店来说能做到这样很不错，是个发呆放风的不错的地方', '短评打分': 5}
{'短评内容': '太差了，餐具什么用完都不换的，擦一下接着用，以后绝对不能住这种酒店，服务员又懒！', '短评打分': 2}
{'短评内容': '真是超级差的酒店，最起码的早餐都吃不饱，8点多来的，什么都没有了，也不加餐的，要个牛奶，直接跟你说，我们酒店9点收光的，门口的老阿姨和小伙子同时拿手机出来给我看，现在9:07，md，你们是最服务的吗？有你们那么不人性化那么恪守严实的，我们难道是来军训的，不是来放松心情的，一早上就上火，再来不要来住这种那么低级的酒店！简直上火，旅游的心情完全被破坏！', '短评打分': 2}
{'短评内容': '酒店环境不错，江中岛，有自己的快艇在码头接送，服务员还帮忙升级了房型，并且问要不要厨房送晚饭。就是当天正好碰到一群人搬东西上船，等了好长时间，然后到码头后又在车上等了好久，很累。', '短评打分': 4}
{'短评内容': '酒店在一个独立的岛上，需要做酒店的快艇进岛，车停在码头。住了一晚，酒店房间、卫生间很大。硬件比较新，周边安静！岛上没有出租车，想到酒店外活动，需预约酒店的小巴，是收费的，且价格贵。', '短评打分': 4}
{'短评内容': '我先的是复式的房间，超级大，我睡了沙发，省得三个挤得慌。有个很大的阳台，有二个卫生间，二个电视机，有浴缸。酒店环境很好，适合喜欢打高尔夫的朋友，我不会，但是打打练习球也很棒了。酒店可以租自行车骑，但是那三人自行车骑得很累，玩一会就不行了。但除了酒店没有其他地方可以吃饭走走，岛上的原住民都迁走了，所以完全没有一点热闹的地方了。只能看看风景，在到处挤死的国床假期，觉对是另类了。我的房间的淋浴房下水完全', '短评打分': 4}
{'短评内容': '环境不错，单独前往有可能住户太少很冷清，有天房间有鼠，老婆一晚沒睡。', '短评打分': 3}
{'短评内容': 'Wifi每个房间都有，服务很热情', '短评打分': 3}
{'短评内容': '高尔夫球场内的酒店，环境自然很好，但所在的双山岛还在开发初期，除了环岛自行车，没啥好玩好看的。酒店早餐只够三星级，服务尚可，但房间里居然没有冰箱！也没有泳池！', '短评打分': 4}
{'短评内容': '环境很不错，房间超大，就是周边吃饭的地方太少了', '短评打分': 5}
