{'descr': ' 酒店位置佳，环境比较清洁，适合购物时选择', 'star': 3}
{'descr': '酒店就在刘老根大舞台旁边。故宫步行2分钟就到，在房间都能看到故宫围墙。步行到中街也就5分钟。房间干净卫生，洗澡水量也大。一楼还有加州牛肉面。前台工作人员也热情。推荐大家去！', 'star': 5}
{'descr': '酒店位置很好，服务不错，房间也不错，早餐一般。距离沈阳故宫、张氏帅府、中街都很近，旁边有餐饮一条街和大的商超，餐饮购物非常便利。', 'star': 5}
{'descr': '感觉可以~~~ 值得去·~位置也好，方便', 'star': 5}
{'descr': '服务不错。房间也不错。离中街和故宫大帅府都很近的。', 'star': 3}
{'descr': '沈阳熙伦大酒店叫沈阳熙伦宾馆,不接待外宾,取销沈阳熙伦大酒店', 'star': 1}
{'descr': '服务不好，电视只能收几个台，设备太旧。价格也不是很便宜。', 'star': 1}
{'descr': '酒店地理位置不错！\n距离故宫近在咫尺，步行5分钟即到；\n距离怀远门地铁站，步行约10-15分钟；\n适合前来旅游的游客下榻', 'star': 5}
{'descr': '好', 'star': 3}
{'descr': '如果你就是为了去中街 或者为了去刘老根看演出啥的 预订这个酒店最合适 尤其适合自驾车的 因为他后院有一个自己的停车场 还有专人把守 安全性很好 酒店前门门前非常热闹 毕竟是在当地最繁华的中街上。 房间设施还算干净 房价虽然小贵 但毕竟地理位置好 推荐外地专门自驾车去中街附近玩的朋友！', 'star': 5}
{'descr': '不错 服务很好，地点也好，步行就能到中街。下次还来。', 'star': 3}
{'descr': '酒店位置不错，临刘老根大舞台和中街，旅游接待朋友好住处', 'star': 5}
{'descr': '很哈啊，在商业区，早餐也好，呵呵，非常满意！', 'star': 5}
{'descr': '离故宫和刘老根大舞台很近很的。房间很大，很舒服。早餐自助，不错。', 'star': 5}
{'descr': '很不错哦，房间很干净，就是窗子不太隔音，有一点点吵的感觉', 'star': 5}
{'descr': '我住的是套房，房间宽敞，也比较卫生，早餐不错。卫生间的喷头不好，只有一半的孔出水。总体的性价比还是好的。', 'star': 5}
{'descr': '位置不错，窗外就是故宫和刘老根大舞台，院内停车场和早餐赞一个。对了，在办理入住的时候还看到赵四也来开房了。服务员说他们总来，以后看二人转都不用买票了。呵呵', 'star': 5}
{'descr': '位置很好就是酒店老了点', 'star': 3}
