{'descr': '还不错，优秀', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '房子发霉了，屋子大，但是离市区远，，，', 'star': 3}
{'descr': '方便，好！价格便宜', 'star': 5}
{'descr': '空调都没', 'star': 2}
{'descr': '床太旧，床垫太硬。', 'star': 4}
{'descr': '环境一般', 'star': 3}
{'descr': '能住吧    环境有点偏僻    服务还不错', 'star': 4}
{'descr': '房间挺大，床头插座无法通电，厕所门是烂的，没锁，没浴霸灯，冲凉很冷，水不够热。', 'star': 3}
{'descr': '还可以，就是门有点难开！开两次就习惯了！', 'star': 5}
{'descr': '房间很大，但是挺旧的，隔音很差，很多旅游团深夜过来，睡不着', 'star': 4}
{'descr': '房间很大，但是挺旧的，隔音很差，很多旅游团深夜过来，很吵睡不着。', 'star': 4}
{'descr': '有提供送机服务很不错，就是酒店环境不太好', 'star': 2}
{'descr': '特价房窗户很小，很闷气，后来加价住的大房间', 'star': 3}
{'descr': '近，而且服务不错，可以的', 'star': 5}
{'descr': '还不错哦，性价比很高的，就是洗浴龙头有点漏水', 'star': 5}
{'descr': '这个大床房怎么还没有特惠大床房的房间大啊，和描述的有差距', 'star': 5}
{'descr': '很好，非常规范。我预定时日期错了，是接线员帮助更改的，非常感谢。', 'star': 5}
{'descr': '酒店还行，对于机场中转站是个不错的选择！！！', 'star': 5}
{'descr': '不错~还会来~不错~还会来~不错~还会来~不错~还会来~不错~还会来~不错~还会来~不错~还会来~', 'star': 5}
{'descr': ' 酒店很干净;服务态度好。', 'star': 3}
{'descr': '   酒店一如既往的好    我预订的是家庭房     敞亮      干净     非常舒心      孩子喜欢', 'star': 3}
{'descr': '机场附近也只有这家酒店稍有些名。订房时看到位置离机场只有十分钟路程，但的士花了半小时，收了四伍拾元才罢休，我威胁他要投诉到他公司，他才在两分钟将我的同事送到酒店。重庆司机不要破坏国人或重庆人形象才好。', 'star': 5}
{'descr': '酒店环境很好，交通也方便，服务周到，房间很大比其他连锁酒店的同价位房间大多了，很满意。', 'star': 5}
{'descr': '房间很大，干净，值得一住。', 'star': 3}
{'descr': ' 价位不高，卫生尚可。离机场不远，较偏僻，交通不是太方便', 'star': 3}
{'descr': '....挺无语的…本来想着连锁起码干净…随便就住一晚…但是后悔没听点评的建议…房间十分严重的发霉味道…好在前台态度很好，给换了一间房，虽然还有霉味…而且完全不隔音…没电梯…门口很难打车，前台很贴心说要步行差不多500米有个小区能打到…唉……房间还没手机信号…住的太蹉跎', 'star': 3}
{'descr': '还行。就是住的房间没信号', 'star': 3}
{'descr': '服务还不错,很人性化,无窗房有点儿潮湿', 'star': 3}
{'descr': '重庆莫泰168機場店玷污了莫泰168的名誉，3月日17定的特價房間，到酒店先說沒有做特價房，不接任何特价房，要求補差價。打电话协商以后，酒店才安排住一间安全性极差的房间，在要求换房间的情况下换了一间锁坏的房间。服务十分差，环境一般。服务员的口气十分生硬。', 'star': 1}
{'descr': '竟然没有早餐，下次不能在住这里了，离机场确实很近', 'star': 1}
{'descr': '这家酒店还比较新，前台态度也很好，从机场打车过来只要十来块钱', 'star': 3}
{'descr': '酒店很新，房间大，离机场五分钟车程。因为到酒店比较晚，直接升成套房，这个价位很值！', 'star': 3}
{'descr': ' 太差，冲着品牌来的，里面的设施跟个小旅馆似的，气味重得睡不着，太失望了！！', 'star': 3}
{'descr': '地方太偏了', 'star': 3}
