{'短评内容': '房间什么不错就是电梯感觉快不行了', '短评打分': 5}
{'短评内容': '比较老的三星级酒店了，感觉装修都比较老了，但是前台的服务还是很好的，总体感觉还是不错', '短评打分': 5}
{'短评内容': '酒店设施偏老，但是离海很近。', '短评打分': 4}
{'短评内容': '由于出行变更，第二天再次订房，那价格也高的太离谱了吧。', '短评打分': 3}
{'短评内容': '房间很大 ，卫生条件也还可以，打扫房间很及时，交通也还算便利，就是房间淋浴冷热水无法调节。还有一点连瓶水都要收费。', '短评打分': 3}
{'短评内容': '环境不好，太吵了', '短评打分': 3}
{'短评内容': '周边吃饭还是很方便的，北方人的菜馆多。北海又差不多要被东北人攻陷了。还有个提醒，千万不要相信司机介绍的宾馆饭店等等，全都是坑爹爹爹爹爹爹爹爹爹爹！！！', '短评打分': 3}
{'短评内容': '总体上对得起这个价格，就是路边的房间会太噪，同前台要求要靠里安静点的却根本不搭理。还有提醒第一次到北海的朋友们千万不要相信司机介绍带你去的酒店，饭馆，景点等等输入字符串的格式不正确。是坑人的，回扣深得很，很三亚啊！！！', '短评打分': 3}
{'短评内容': '住着舒服 干净 感觉很好 下次还会来', '短评打分': 3}
{'短评内容': '环境好，位置好，服务好。早餐品种少', '短评打分': 1}
{'短评内容': '还行；服务一般点；环境也不好；但性价比还行', '短评打分': 3}
{'短评内容': '不错的酒店，各方面都不错，下次可以再入住。', '短评打分': 5}
{'短评内容': '帮朋友定的，房间还可以，黄金周对得起这个价格。奇怪的是预付了以后酒店居然还收房费，我居然也不记得傻傻的给了两次房费，在这里为艺龙点个赞，主动退回预付的房费，艺龙真的很不错，谢谢！', '短评打分': 3}
{'短评内容': '干净，交通方便，价格实惠，下次再去北海的首选', '短评打分': 5}
{'短评内容': '订了一天实际住了两天，地理位置不错，出行方便，房间比较宽敞，设施也不错，不像其它评论说的设施老旧。总体来说这个价格超值。', '短评打分': 5}
{'短评内容': '环境还行，特色服务也不错，货真价实- -', '短评打分': 3}
{'短评内容': '服务很好，房间内很干净，空间也还算大，交通方便，下次来还会选择此酒店', '短评打分': 5}
{'短评内容': '价格适中，房间还可以，就是房间里面有点味道', '短评打分': 5}
