{'短评内容': '安静，实惠', '短评打分': 5}
{'短评内容': '卫生安静', '短评打分': 5}
{'短评内容': '酒店虽然是个商务酒店，虽然位置差点，周边商业生活配套还么起来，但酒店本身确实还不错，适合休闲度假，空气风景都不错，虽在路边，但很安静，价格也不高，我觉得性价比和舒适度很高', '短评打分': 4}
{'短评内容': '地方有点偏，过来出差的', '短评打分': 4}
{'短评内容': '房间宽敞，只是这个月说是空调维修无法使用。', '短评打分': 4}
{'短评内容': '房间很大，很安静，吃饭方便。', '短评打分': 4}
{'短评内容': '装修很老 都翘起了 服务还行 按价格应该差不多', '短评打分': 3}
{'短评内容': '很满意', '短评打分': 5}
{'短评内容': '很不错啊，可以可以可以可以', '短评打分': 3}
{'短评内容': '环境服务都可以 晚上非常安静', '短评打分': 5}
{'短评内容': '床和枕头很舒服，性价比还可以的快捷酒店', '短评打分': 3}
{'短评内容': '可以吧，位置较偏，还好吧', '短评打分': 3}
