{'短评内容': '条件一般般', '短评打分': 3}
{'短评内容': '环境一般,服务马马虎虎,尤其是前台服务水平极差.另外,三星级的宾馆不能使用国外的信用卡真是不可思议,还有,在大连很少听说上网收费,可是这家宾馆竟然还格外收取20元的上网费,真是想钱想疯了.', '短评打分': 1}
{'短评内容': '感觉还可以，在大连性价比算高的了', '短评打分': 3}
{'短评内容': '房间很大就是有点旧', '短评打分': 3}
{'短评内容': '房间隔音很差，服务员态度一般，早餐一般（可能房费含早的原因）晚上来电话有人问：需要服务的吗？  ', '短评打分': 3}
{'短评内容': '卫生方面挺好，早餐是自助的，挺丰盛的，出行很方便。', '短评打分': 3}
{'短评内容': '周边交通挺便利，离火车站也不远，性价比还好。', '短评打分': 5}
{'短评内容': '服务挺好，卫生做得也不错，价格能接受。', '短评打分': 3}
{'短评内容': '环境还不错，基本设施都有，就是有些陈旧，卫生做得挺好，总体感觉还好。', '短评打分': 3}
{'短评内容': '位置挺好，靠近商业区，交通购物餐饮还是挺方便的。', '短评打分': 3}
{'短评内容': '房间装修的还不错，打扫的挺干净，住的还算舒适。', '短评打分': 5}
{'短评内容': '大堂挺小的，打扫还算干净，设施不是很新，但还算齐全。', '短评打分': 3}
{'短评内容': '酒店规模不大，卫生方面很好，价格也挺合理的。', '短评打分': 5}
{'短评内容': '房间不是很大，卫生做得很好，地面啊、卫生间打扫的挺干净的。', '短评打分': 3}
{'短评内容': '酒店在当地还是比较有名，位置挺好，出行还算方便。', '短评打分': 5}
