{'短评内容': '很棒的一次旅行', '短评打分': 5}
{'短评内容': '很适合一家人来', '短评打分': 5}
{'短评内容': '很好很好', '短评打分': 5}
{'短评内容': '位置好，环境不错，改造后更舒服了。', '短评打分': 5}
{'短评内容': '服务体贴，环境干净，整体不错，近商业区，逛星光夜市大金塔都很方便，只是旁边有施工建筑，太吵了', '短评打分': 5}
{'短评内容': '物美价廉很方便', '短评打分': 5}
{'短评内容': '这个价格还是可以的', '短评打分': 3}
{'短评内容': '还不错，设施新、好，很满意。', '短评打分': 5}
{'短评内容': '第一次入住，整体服务很不错，设施很新，性价比来说在这边域算是很高的了，下次铁定还来。', '短评打分': 5}
{'短评内容': '在夜市边上很方便，度假的好选择，加油，改善的更完美，小姑娘接待也很热情周到。', '短评打分': 5}
{'短评内容': '比较安静，装修别致，还像泰国一样的床上毛巾叠成大象，还可以吃饭，就是早餐有点晚，早上的飞机遗憾没吃到早餐。', '短评打分': 4}
{'短评内容': '酒店环境内景是不错的，但是就是房间里面设置陈旧，如果要求太高的人肯定会挑，我觉得位置挺好的，夜市也还不错', '短评打分': 4}
{'短评内容': '位置在告庄西双景，离夜市很近，客栈内的环境布置的不错，淡季去的，真是很便宜，住的园景标准间，没有阳台，没有园景，从窗户看到外面的是街景而已，第一天去赶上停水不是很开心，之后的热水还可以，如果住在4楼可能会水压不太稳，前台的服务很好，早餐米线还不错，但是不能天天吃，会吃腻的。客栈提供免费接机，之后两天就包了接机师傅的车，给小杨师傅大大的赞，你们去了可以特别指定他哦，给推荐的路线很棒，玩的很开心，价格', '短评打分': 5}
{'短评内容': '服务很热情，施设、卫生就很一般了，', '短评打分': 2}
{'短评内容': '服务很热情，还提供了接机服务，卫生么就不说了，总之除热情外，其它很、、', '短评打分': 3}
