{'短评内容': '客人印象非常不好，房间设施老旧，有潮湿的霉臭味。', '短评打分': 3}
{'短评内容': '位置较好，停车位充足，但设施太陈旧了，我们住的房间门不能反锁，无法保证安全，空调遥控器是坏的，卫生间门坏的，卫生太差，同梯次酒店价位太高，性价比太不值，建议不去住。', '短评打分': 3}
{'短评内容': '很差，样样都是烂的。', '短评打分': 2}
{'短评内容': '酒店好找，服务不错，就是设备陈旧了点，我们一共四间，有一间房间空调没起作用，还好窗户打开有风进来，洗澡水很大，靠街道房间有点吵，累了还是睡的着', '短评打分': 4}
{'短评内容': '室内灯光弱，其他还好', '短评打分': 5}
{'短评内容': '感觉不怎么样，还没有七天好', '短评打分': 3}
{'短评内容': '酒店很不错，很贴心，服务态度很好！', '短评打分': 5}
{'短评内容': '不错，挺好的，住着蛮舒服的，，服务态度很好！', '短评打分': 5}
{'短评内容': '环境好 安静', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '迷你小房间就是垃圾还99元！房间小的可怜不到十平米。被坑了……前台服务也不好！明明可以刷预售非说刷不了让交现金，大概是因为刷卡交易要手续费吧！信用卡也不过0.45%啊！以后绝不会在住这家了。', '短评打分': 1}
{'短评内容': '周边环境很好，在市中心，出行很方便。夜景很美。但卫生间有异味，希望能改进。离王若飞故居，武庙很近，走路10多分钟就到，很满意。', '短评打分': 5}
{'短评内容': '还不错。', '短评打分': 5}
{'短评内容': '可以！！！！！！！！！！！', '短评打分': 3}
{'短评内容': '很不错，位置还行，环境还不错', '短评打分': 3}
{'短评内容': '火车站过去交通挺方便，附近有个菜场，可以买到很多水果，新鲜又便宜。房间也还不错，就是没有衣架和柜子放置衣物。 网上说送武庙门票，问前台也说不送。网上订了2天的房，去的时候只收了1天押金，当时也未告知，第二天回去门被锁了，于是又交一天押金。前台业务及热情度有待提高', '短评打分': 3}
{'短评内容': 'Wi-Fi信号不好 刚开始酒店前台态度不是很好 可能是因为我是网上订的吧', '短评打分': 3}
{'短评内容': '服务好,位置不错,离小吃街近,很方便.如晚到,给他们打电话可给你留着房间.感觉很好.', '短评打分': 5}
{'短评内容': '只有一部电梯，上下楼都要等，不过房间很宽敞，我订的是198元的双床房。还有就是卫生间马桶一直漏水，和总台说过也没有来修理，毛巾颜色看起来很不清洁，但是一般我们出去也都自己带毛巾的，所以也没太大影响。\n\n宾馆附近的交通都很方便，就是马路边上，我住的是9楼，晚上也不会觉得吵。\n', '短评打分': 5}
{'短评内容': '房间还可以，但性价比一般，酒店装修还行。 毛巾看着很劣质，不够干净。', '短评打分': 5}
{'短评内容': '性价比一般，酒店装修还行，但卫生间稍差。  毛巾看着很劣质，不够干净。', '短评打分': 1}
