{'短评内容': '这房间装修有些陈旧了，空调特别响，像飞机起飞一样，而且隔音特别不好，隔壁房间啪啪啪都能清楚的听到呻吟声！', '短评打分': 1}
{'短评内容': '房间好多蟑螂，而且还大，老板把卫生搞好吧', '短评打分': 4}
{'短评内容': '房子东西有点老，门隔音效果也不好。', '短评打分': 3}
{'短评内容': '方便好找', '短评打分': 5}
{'短评内容': '环境设施一般般', '短评打分': 4}
{'短评内容': '连续住两晚，周边吃的很少。还行吧。', '短评打分': 4}
{'短评内容': '可以可以可以', '短评打分': 5}
{'短评内容': '服务好', '短评打分': 5}
{'短评内容': '硬件设施不好 不满意 下次不去了', '短评打分': 5}
{'短评内容': '环境还不错哟，很愉快的一次入住。', '短评打分': 5}
{'短评内容': '非常满意,国庆时这个价格好划算,房大卫生好,三人间2台空调', '短评打分': 5}
{'短评内容': '夏天的时候大堂没有空调好热  用携程定的  前台找了好久才给订房  电梯有点问题   房间一般  给的是电梯边上的房间', '短评打分': 4}
{'短评内容': '很不错实惠', '短评打分': 5}
{'短评内容': '酒店还不错，比较舒适！', '短评打分': 3}
{'短评内容': 'Nice NIce nice', '短评打分': 3}
{'短评内容': '房间很大！交通很放便', '短评打分': 3}
{'短评内容': '还好，黄金周，有点贵，我们住的那间有点霉味，家人住的另外三间没有。', '短评打分': 3}
{'短评内容': '酒店虽说是刚装修不久但设备比较差，隔音效果不好。而且叫了打扫房间也没打扫。要不是国庆酒店比较紧，肯定不选择住这里。', '短评打分': 3}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '感觉不错，就是电脑内存太小，网速很快的，把电脑内存改进一下吧！', '短评打分': 4}
