{'短评内容': '环境好，安静，睡的很香', '短评打分': 4}
{'短评内容': '环境一般！！！！！！！', '短评打分': 3}
{'短评内容': '位置不错，容易找，也容易打车出行，周边吃的地方也很多，酒店的服务态度也不错，房间住起来还是挺舒适的。', '短评打分': 5}
{'短评内容': '吵死人，一点也不隔音', '短评打分': 1}
{'短评内容': '对马路这边房型不好', '短评打分': 5}
{'短评内容': '环境很好，空间很大，性价比很高，很值得！', '短评打分': 5}
{'短评内容': '超划算！', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '方便，周边配套好。房间大', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '多次住了，确实不错', '短评打分': 4}
{'短评内容': '多次住了，很不错。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '硬件设施不错，每次来都住这', '短评打分': 5}
{'短评内容': '不錯，已經不是第一次入住了', '短评打分': 3}
