{'短评内容': '酒店停车比较差 基本没位置停车', '短评打分': 5}
{'短评内容': '酒店位于工会里面，有停车场，环境不错，很安静，酒店设备完善，服务态度也好，每天都有打扫，酒店离牌坊和大润发不远，周边吃饭购物都方便，吃完饭还可以到周围散散步，无论是出差旅游，还是老少度假，都比较合适！', '短评打分': 5}
{'短评内容': '房间干净整洁', '短评打分': 5}
{'短评内容': '酒店没早餐，停车位紧张，旁边紧贴着3家酒店客人都须停车。酒店服务员待人很热情有礼貌，不太满意的是房间太小，行李箱都不便放。洗手间花酒坏了到处溅水。', '短评打分': 4}
{'短评内容': '配套一般，交通不便，没有车不建议入住！', '短评打分': 4}
{'短评内容': '不错，环境舒适，房间整洁。', '短评打分': 5}
{'短评内容': '挺好的，环境卫生都不错', '短评打分': 5}
{'短评内容': '不错吧，整体感觉还是很好的。', '短评打分': 5}
{'短评内容': '挺好的 每次去肇庆都会住这', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '挺不错的 就是要拼床 服务态度很好 刚开始给我的是我订的大床房 可是在楼梯隔壁 一直听到铁门在响 马上给我们换了双床房 ', '短评打分': 5}
{'短评内容': '房间太小，空气不好', '短评打分': 4}
{'短评内容': '房间超级小。豪华双人房，超级不抵。返现本来13，竟然返带个零头，什么意思呐。', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '环境卫生不错，楼下有超市，吃的，对面有公园，休闲的好地方', '短评打分': 5}
{'短评内容': '市中心，闹中取静，离星湖不远，只是没有早餐有点遗憾。', '短评打分': 3}
{'短评内容': '环境还可以，因为是新装修的，总体看上去还不错，但是价格有点高了！', '短评打分': 5}
{'短评内容': '其实我住这家店这些年来有几十次了，只不过以前不是在网上订，店出入交通方便，离七星岩非常近，新装修过，房间一般，如果要求档次住一般客房可能会差些，因为面积不算大，不过适合我，我主要图它出入方便，周围打车和吃饭都很方便，而且住在里面很安全，住这里的人好象大多是游客或开会的人，所以感觉挺好的不复杂，价钱其实网上网下订一样，所以还是在网上订后，起码有积分哈', '短评打分': 5}
{'短评内容': '房间是新装修的，较豪华，不过隔音一般，有冷暖气，早餐票要到文化宫门口的水禾田快餐厅吃，市中心地段，逛街很方便。', '短评打分': 5}
{'短评内容': '，较满意。  ', '短评打分': 3}
{'短评内容': '还算不错，交通方便，酒店在工人影院里面，比较安静！而且蓝宫现在正在装修，把里面的设施都翻新了~价钱比较便宜，比较实惠！但有些房间是没宽带，这个需改善~', '短评打分': 5}
{'短评内容': '前台服务很一般，房间设施还可以，可以上网，卫生条件好，干净整洁，酒店门口打车坐公交都没问题', '短评打分': 5}
{'短评内容': '酒店位置好，环境一般', '短评打分': 3}
{'短评内容': '价格便宜 交通方便 洗手间有浴缸~~  不过设施有点陈旧', '短评打分': 5}
{'短评内容': '酒店服务还行，就是房间里铺的地毯可能很久没洗散发着一股霉味。', '短评打分': 3}
{'短评内容': '服务人性化，收拾客房的阿姨人很好。不过离KTV近的房间 不是特别安静，另外一边还可以！挺安静！~房间不大', '短评打分': 5}
{'短评内容': '良好', '短评打分': 3}
{'短评内容': '设备陈旧，没有暖气！没有执行国家住店时间规定，我凌晨3点多开房，服务员告诉我最多只能住到当天下午2点，不合理！\n\n', '短评打分': 1}
{'短评内容': '价格便宜 不过设施陈旧 交通比较方便 卫生还算可以', '短评打分': 5}
{'短评内容': '第二次入住蓝宫，感觉还可以。就是有点失望，因为我们四个人去，居然双人房不可以四个人住，说太多人了。', '短评打分': 5}
{'短评内容': '很好，服务很周到，房间也比较打，不过洗发露可不可以提高一点质量', '短评打分': 5}
{'短评内容': '这个宾馆身处闹市中心，非常热闹，去城墙走路很近，去七星岩的湖边和广场很近（5分钟走路），院门口就有三家吃饭的地方，附近也有大超市和夜市，都非常热闹。 算是肇庆最繁华的地段。房间里，洗澡水很大很足，洗的很舒服。服务态度很好。没早餐。\r\n不足的地方就是酒店设施比较旧。洗澡水，到晚上会不太热，估计是太阳能的。\r\n民风朴素，人都非常和蔼可亲，友善。很好。', '短评打分': 5}
{'短评内容': '房间不大，设计还可以，性价比一般！', '短评打分': 5}
{'短评内容': '交通比较方便,房间可能是天气原因，味道不太好', '短评打分': 5}
