{'短评内容': '房子太小了而且设施设备太久了床上不怎么干净', '短评打分': 3}
{'短评内容': '没有沐浴用品，房间有霉味，不能加被子，插座是坏掉的，有人往门缝塞卡片……这些都算了，问题是厕所的门被马桶挡住了啊！不能关门啊！你只能开着门拉屎啊！！！想想狭小房间里的那个味道吧！心理性便秘……', '短评打分': 1}
{'短评内容': '超级无敌差的一次体验，基本卫生都很差，老婆小孩都不敢冲凉。预定一定要看了房间才下定啊', '短评打分': 2}
{'短评内容': '不好', '短评打分': 4}
{'短评内容': '就在五一广场，地铁一号出口出去就到了，很方便', '短评打分': 5}
{'短评内容': '用来考试备考住，有个别前台服务态度差到爆，简直欠了她几百万，反正再也不会来这家了，主要就是服务态度太让人失望，并没有住得愉快的赶脚！', '短评打分': 3}
{'短评内容': '出差在外打工的首选，住的可以，好', '短评打分': 5}
{'短评内容': '环境差得要命，房间枕头还是烂的，还有血迹，墙上还有很多不明的物体，这是我住过最烂的一家酒店，严重差评', '短评打分': 1}
{'短评内容': '环境还是不错的，服务也可以，就是太简单了', '短评打分': 5}
{'短评内容': '感觉还行，住了几次了，总体来说还是好的。', '短评打分': 3}
{'短评内容': '由于修地铁，店门口不好找，开车要从后面的小路进去，绕一圈才到停车场，楼下环境就不敢恭维，但到了5楼酒店感觉好不错，房间每间都有不同的油画，感觉童话般，还行。', '短评打分': 5}
{'短评内容': '1.不能开发票，被忽悠了！！\n入住的时候说可以开发票，可是第二天早上说开不了发票，晚上又去开，还是不能开\n\n2.不是风情/主题酒店，就是墙上有彩绘而已！！\n\n还以为床啊、床单、地毯、卫生间、桌子等都是具有别样风情的，结果什么都不是，和一般的快捷酒店一样，但卫生和设施绝对不行。\n\n3.地毯特别脏，一块一块的斑，估计是炮房！！\n\n洗澡之后我习惯是光脚，但是那个地毯我不敢踩，只能说我跨过去直接蹦到床上去', '短评打分': 1}
{'短评内容': '房间环境不错，床很舒服，唯一不足是卫生间喷头水较小，望改进！', '短评打分': 3}
{'短评内容': '酒店是个特色酒店，所以尝了个鲜！酒店正在五一广场，生意很好，188元的双人房没有了，住了208的花园传奇（单人间）。感觉：房间小（包括卫生间），卫生间里还没有洗发和沐浴露（长沙有些酒店还是有的）！最有感觉的是：幸好长沙的天气适当，住的房间下就是中央空调主机，一直响到24点，晕！！！！', '短评打分': 1}
