{'短评内容': '金海环境即可看见姐姐', '短评打分': 5}
{'短评内容': '很方便', '短评打分': 5}
{'短评内容': '还不错可以', '短评打分': 5}
{'短评内容': '中规中矩，离公园太近了，方便遛弯儿锻炼。挺好。', '短评打分': 4}
{'短评内容': '酒店很旧了，但是还算比较干净，设施都还齐全，主要是位置好，紧靠红梅公园和大润发，停车可以在对面停车，有10元补贴。', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '有停车场的！', '短评打分': 5}
{'短评内容': '很好很干净的房间。好喜欢。', '短评打分': 5}
{'短评内容': '！！！！！！', '短评打分': 5}
{'短评内容': '京东服务十分到位', '短评打分': 5}
{'短评内容': '其他都不错，就是房间墙上有点脏东西，看起来不舒服', '短评打分': 5}
{'短评内容': '房间挺温馨，毛巾都是用塑料袋封起来的，很干净。', '短评打分': 5}
{'短评内容': '一iavdkt', '短评打分': 4}
{'短评内容': '从高铁站出发，要走大概20～30分钟才能到宾馆。之前已经在携程办理预订。可到前台办理入住时，服务员要求手机关注和加入他们会员才能入住。', '短评打分': 5}
{'短评内容': '挺好的 第二次住了 交通什么的特别方便', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '挺好的，出来就是红梅公园，当天因为晚上导航出错跑了点路，整体很好', '短评打分': 5}
{'短评内容': '位置不错，对面就是红梅公园，边上还有大润发，交通购物都很方便，床大，前台服务态度也很好。此次性价比好', '短评打分': 4}
{'短评内容': '很好，出行方便，经济实惠！服务不错！', '短评打分': 5}
