{'短评内容': '不错，很干净。', '短评打分': 5}
{'短评内容': '不错！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '环境还可以，各方面还不错，就是房间太难找', '短评打分': 5}
{'短评内容': '洗浴只有凉水，有助于健康。', '短评打分': 3}
{'短评内容': '不错的，就是没有窗户，性价比还行吧，毕竟很便宜', '短评打分': 5}
{'短评内容': '总体来说还凑合的。一，交通凑合，在郊区但是环境还可以。二，住宿条件，没有异味，但是毛巾很旧，空调噪音大。三，服务不错，对于问题相应及时。四，价格便宜。综合四星。', '短评打分': 5}
{'短评内容': '不怎么样', '短评打分': 5}
{'短评内容': '一直住这个酒店，非常干净，前台服务也很好，有求必应，', '短评打分': 5}
{'短评内容': '好，价格实惠', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '住起来相对而言很卫生，环境也还好，隔音也不错，就是隔壁那俩小情侣太吵！', '短评打分': 5}
{'短评内容': '服务还可以', '短评打分': 5}
{'短评内容': ' 嗯嗯～真心不错，还可以', '短评打分': 5}
{'短评内容': '酒店位置不是很方便，去展会一定要打车。', '短评打分': 4}
{'短评内容': '不错的酒店，到机场比较近。', '短评打分': 4}
{'短评内容': '酒店还可以，整体环境还行，算这一带比较热闹的地方了', '短评打分': 5}
