{'短评内容': '位置还不错就在复兴广场附近，对面的雕刻时光酒吧有点闹', '短评打分': 4}
{'短评内容': '房间里蚊子太多了，还有异味，服务态度不好，早餐也很差！房间里住着难闻死了，一夜很吵，几乎没怎么休息，太差了！', '短评打分': 1}
{'短评内容': '房间潮湿，床上还有蚂蚁，屋里一直有股油漆味，厕所有股酸味，总之是太难闻了！住过的酒店应该是最差的，没有之一！', '短评打分': 1}
{'短评内容': '酒店位置好，酒店环境好，居于古城中心。但服务一般般，房间内设施陈旧，卫生间门把手断了也不更换，方便、洗澡不能关门，关门就把自己锁里面了。鳴呼！', '短评打分': 3}
{'短评内容': '不错，就是吵点儿', '短评打分': 4}
{'短评内容': '三百多的价格，最多相当于外面60元钱的旅社。夜里想烧壶水喝，结果发现水壶水垢有半公分厚，整体感觉非常脏。空间狭小，早餐就是一碗面条，加个鸡蛋都要收费。', '短评打分': 2}
{'短评内容': '在景区内没见有高档的就选择这个，我搜的是四五星级的。效果不是很好。但是整体来说卫生最重要。床铺上卫生还可以。', '短评打分': 4}
{'短评内容': '在景区内没见有高档的就选择这个，我搜的是四五星级的。效果不是很好。但是整体来说卫生最重要。床铺上卫生还可以。', '短评打分': 4}
{'短评内容': '不大卫生', '短评打分': 3}
{'短评内容': '位置不错，算是在古城的商业街上吧，对面就是个酒吧，晚上会有音乐声，但基本晚上大伙都逛古城，不在屋里了吧。入住时出点小插曲，但老板及时解决了，整体还比较满意。', '短评打分': 4}
{'短评内容': '酒店真的很不错，还免费帮我升级了，环境卫生什么的都很好，女儿也非常满意，下次再去还会选择入住这儿的！', '短评打分': 5}
{'短评内容': '对携程及酒店很失望?', '短评打分': 1}
{'短评内容': '好评都是假的吧，根本不能住', '短评打分': 1}
{'短评内容': '差的不能住，太差太差', '短评打分': 1}
{'短评内容': '价格与酒店的实际情况相差太远。价格高，设施与服务却很差，房间冷死人，洗澡水流出来就是一根细线。', '短评打分': 1}
{'短评内容': '差的没法住', '短评打分': 1}
{'短评内容': '台儿庄古城的夜景真是迷人，没想到北方竟有一个如此美丽的古城，这家酒店规模不大却也古朴雅致，装修设施环境都不错，洗刷用品不同于一般意义上的酒店用品，高露洁的牙具牙膏好大包装，足够用一个月的，洗发用品竟是沙宣的，卡玫尔的沐浴液香气浓郁，睡了一觉被窝里都是香味，房间不小，我们一家四口都住得下，这样算来也物有所值，最后再谢谢美女总经理，亲自到景区大门口为我拿行李，让我们觉得很温暖。', '短评打分': 5}
{'短评内容': '很漂亮的地方。夜晚很安静。店里有个小院。一壶茶，一段音乐，在细细的小雨里，感觉真的很好，回到房间后点亮朦胧的灯光，很有回到过去的感觉，服务人员也很热心，下次跟朋友一块再过来', '短评打分': 5}
{'短评内容': '酒店挺好的，沿河的房间，夜晚看看风景，喝喝茶，特别惬意', '短评打分': 5}
{'短评内容': '房间设计很优雅别致，小院的小桥流水金鱼游动景色到了晚上就更好看了，临街还可以欣赏古城内街上的景色。前台服务很周到，下次还来这。', '短评打分': 5}
{'短评内容': '经朋友介绍来到风雅颂，酒店古香古色很有特色。尤其喜欢他们家的榻榻米，床边的珠帘，很浪漫的感觉。。。。。不虚此行呀，有机会还会来哦。。。。。', '短评打分': 5}
{'短评内容': '经朋友推荐，来到台儿庄古城旅游，古城景色不错，特别是夜晚很舒服。风雅颂的环境整体很是不错，坐在大厅里，喝着龙井茶，服务人员的态度很好，很热情，还给我们推荐台儿庄的特色小吃和有特色的景点，我和女朋友感觉不虚此行，以后再来，还是入住风雅颂，祝他们生意蒸蒸日上，财源广进！', '短评打分': 5}
{'短评内容': '酒店大厅很漂亮，很喜欢大厅的荷花灯与珠帘。古镇夜景也很漂亮，我们还在酒店旁边的广场吃了烧烤，感觉好极了。。。。下一次还会入住这里哦。。。。。。', '短评打分': 5}
{'短评内容': '环境不错，夜景很漂亮。酒店很漂亮，有点古旧味道。服务人员很热情，热情地帮着拉行李，很不错谢谢了！！！.', '短评打分': 3}
{'短评内容': '员工服务很好，进出景区和第二天离开景区时酒店的两个小姑娘都热情帮着拉运行李，在此表示感谢。住在景区内晚上浏览夜景很方便，感觉镇上的夜晚比白天漂亮多了。房间不大，设施一般，性价比不算很高。', '短评打分': 5}
{'短评内容': '很新很古朴典雅的酒店，无论是庭内装璜还是室内陈设，加之店外街巷，都给人江南水乡的感觉，仿佛人在画中游般。不虚此行。小小小的遗憾是早餐稍显差些，且此店无附设的餐厅，但好在景致不错，所以尚无大障。会推荐朋友去的。顺便说一句，这家酒店位于古城景区内，但即使如此，进入景区仍然是需要购买景区门票的，我们去的是普通周末，门票100元，小长假什么的可能是160元。', '短评打分': 5}
{'短评内容': '酒店环境很好，房间干净，别致，每个房间都有自己的名字，感觉很好。早点丰富，别具一格。台儿庄古镇还在建设，下次还要住在那里。', '短评打分': 3}
{'短评内容': '环境很干净，空间很大，房间内温度很暖和，窗帘的遮光很好，睡眠很好哦！', '短评打分': 5}
{'短评内容': '环境好，地毯干净，房间大，私密性好，晚上门口总有一盏灯亮着，很温馨贴心！', '短评打分': 5}
{'短评内容': '房间特别干净，非常喜欢！服务员很热情，让人感觉很舒适！周边的环境也很安静让人感觉很安逸，房间大，私密性特别好，最后特别谢谢前台小MM的热情，让我们由衷地觉得很亲切！旅途很愉快！', '短评打分': 5}
{'短评内容': '美丽干净的古镇，酒店周围有潺潺的河水流过，房间也是临河的，房间奢华舒适，最值得推荐的就是私密性很好！', '短评打分': 5}
