{'短评内容': '不错不错，挺方便的，推荐，本以为一般，结果还是马马虎虎，出差还是合适的，近万达，吃饭也方便，去哪都可以', '短评打分': 5}
{'短评内容': '房间干净', '短评打分': 4}
{'短评内容': '早饭能吃饱，不吵。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。下次再住。。。。。。', '短评打分': 5}
{'短评内容': '房间下水道反味太大了', '短评打分': 5}
{'短评内容': '房间挺不错', '短评打分': 5}
{'短评内容': '房间干净，就是小了点', '短评打分': 5}
{'短评内容': '房间太小，隔音效果非常差！入住了两天，每天晚上都很吵，早餐种类太少！都没什么吃的！房间有异味，但是空调一开起就没事了！并且携程钱顶的132跟会员价119的价格是完全一样的！', '短评打分': 5}
{'短评内容': '不錯', '短评打分': 4}
{'短评内容': '房间有点小，价格一般', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '设施新，环境好。', '短评打分': 5}
{'短评内容': '还可以，挺好的。不错', '短评打分': 3}
{'短评内容': '其他一切都好，就是没有停车场，很郁闷。', '短评打分': 3}
{'短评内容': '努力了可口可乐了可口可乐了可口可乐了可口可乐了可口可乐了', '短评打分': 3}
{'短评内容': '房间没窗户，卫生还是不错的', '短评打分': 3}
{'短评内容': '房间真差，下次再也不住了，', '短评打分': 3}
{'短评内容': '酒店挺干净，住的挺舒服！就是楼下酒吧晚上很“high”', '短评打分': 5}
{'短评内容': '不错，服务很及时到位。早餐也可以。', '短评打分': 3}
{'短评内容': '还可以，挺干净。但毛巾浴巾的漂白水味道过重', '短评打分': 3}
{'短评内容': '我们入住那层在装修，洗手间里的吊顶敞开着，地漏堵塞。让服务员来处理，疏通管道后立马又堵塞了。吊顶的移动竟然是拿客房的椅子去踩上去。。。', '短评打分': 1}
{'短评内容': '真的吵。白天专修，晚上酒吧。没有凤凰店好。', '短评打分': 3}
{'短评内容': '还可以，就是位置有点偏，七天的山寨版，没有太多特色。', '短评打分': 5}
{'短评内容': '不太讲信用，有意说我没入住，只会贪蝇头小利。', '短评打分': 1}
{'短评内容': '位置比较偏，但设施还不错，价格也算合理。', '短评打分': 5}
{'短评内容': '我是11.20住的 好像丢了个数据线在那  不知道有没有看到', '短评打分': 5}
{'短评内容': '性价比不错的酒店，卫生和服务都很满意，早餐也不错，像是刚装修不久的样子，稍微闻到些味道，不过这个价位能有此软、硬件服务已属难得。', '短评打分': 5}
{'短评内容': '楼下就是迪吧.晚上很吵.一直要到一两点  但是装修很不错,服务态度也很好.\n总体不错.唯一败笔就是噪音.', '短评打分': 1}
{'短评内容': '还行，就是楼下的酒吧有些吵', '短评打分': 3}
{'短评内容': '干净，服务好，总之是一家不错的经济型酒店。', '短评打分': 5}
{'短评内容': '酒店服务还可以，就是旁边有个酒吧，一直闹到2点', '短评打分': 1}
{'短评内容': '夜里2点前想睡觉的别住。原因你住了才知道………………', '短评打分': 1}
{'短评内容': '总体很不错，很喜欢里面简约的装修风格，唯一的缺憾就是隔壁有个迪厅，晚上有点吵', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '房间蛮新的，热水也蛮大的，但是下面有个酒吧，睡眠不好的人请不要入住', '短评打分': 1}
{'短评内容': '酒店连宽带都没信号的，而且楼下很吵', '短评打分': 3}
{'短评内容': '环境很好，设施很齐全！', '短评打分': 3}
{'短评内容': '隔壁是迪吧，神马效果住了就知道！哈哈哈哈\n', '短评打分': 1}
