{'短评内容': '早餐很差很差。', '短评打分': 3}
{'短评内容': '房间不大，设施还可以。门口有停车的地方，但车位有限。按着高德导航找，去到疗养院门口要右转，顿时蒙B，下车想去问问路，发现前面10米还有个路口可以拐进去。上车拐进去立马就看到了招牌，汗！', '短评打分': 5}
{'短评内容': '亲戚家住不下，就在附近找了这家，300多一晚在附近的价位算高的，设施陈旧，早餐很一般，去晚了都没什么可吃的，房间里瓶装矿泉水也没有，床单被罩上有破洞，还不如快捷酒店', '短评打分': 3}
{'短评内容': '条件非常一般，卫生条件差', '短评打分': 3}
{'短评内容': '有早餐，人不太多，比较安静，前台服务很好，就是打扫卫生的服务员见到出来总是问是否退房，很不爽，好像赶人走似的。', '短评打分': 4}
{'短评内容': '中规中矩的三星宾馆', '短评打分': 4}
{'短评内容': '曲径通幽，适合疗养。信价比还可以。', '短评打分': 5}
{'短评内容': '行', '短评打分': 5}
{'短评内容': '还不错吧', '短评打分': 4}
{'短评内容': '问题：1、明明携程上标明大床房含双早，但酒店总台服务员因登记1人只肯给一张早餐券，并强调这是酒店规定2、订了7个房间，有的卫生间没卷纸，有的没梳子，也没有洗脸小方巾，小肥皂也没有还不如汉庭、如家等点3、房间里有蚊子，也不配电蚊香，回来打电话要才送4、有个房间床单有斑迹，经要求才予更换', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '位置偏僻，没有健身房', '短评打分': 3}
{'短评内容': '位置很好，就在云龙湖边上，去湖边散步非常方便。装修风格是会所的感觉，服务很一般，前台都爱答不理的，最最重点是早餐，极差！粥、玉米肯定不是当天的东西，带着老人孩子入住，不敢吃他家的东西。', '短评打分': 2}
{'短评内容': '酒店周边环境很好，酒店本身设施和服务都一般，餐厅还可以', '短评打分': 3}
{'短评内容': '1、位置很好，出门不远就是云龙湖，方便去湖边散散步  2、装修设施一般，房间卫生也很一般，服务也很一般，前台都不怎么搭理人  3、早餐极差，白粥是剩的米饭熬的，玉米居然都干了...这是剩了多少天的玉米啊...  ', '短评打分': 3}
