{'短评内容': '就是常规快捷酒店', '短评打分': 4}
{'短评内容': '就是常规快捷酒店', '短评打分': 4}
{'短评内容': '唉，不提了。', '短评打分': 2}
{'短评内容': '  还是挺不错的，都比较满意', '短评打分': 5}
{'短评内容': '每次来上海必选，总之满意。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '出差', '短评打分': 3}
{'短评内容': '比较方便，床品还行，如果能有瓶装矿泉水提供就好了', '短评打分': 5}
{'短评内容': '靠近公司，但是不是很安静', '短评打分': 5}
{'短评内容': '好啊！好?', '短评打分': 5}
{'短评内容': '便宜，房间可以，外出吃饭有点不太方便，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '酒店不错，服务也蛮好，经济型酒店基本都这样吧，亮点就是房间蛮大，缺点就是位置有点偏，打车困难。', '短评打分': 5}
{'短评内容': '酒店不是很好找，但是服务和卫生在这个价位还算不错，有免费停车厂，就是就餐不是很方便，要走一段路才有饭馆！', '短评打分': 5}
{'短评内容': '有点偏远，但还是不错的。房间很干净。。。。。。', '短评打分': 5}
{'短评内容': '酒店和简陋，一点也不温馨，早餐要加5元，而且只有包子馒头、粥，还比较偏僻。', '短评打分': 1}
{'短评内容': '非常好的，建议都去这家酒店吧，就是位置有点不太好找呢', '短评打分': 5}
{'短评内容': '还算干净，隔音有点差。房价比上个月涨了不少。', '短评打分': 5}
{'短评内容': '简单干净，价格便宜，虽然地点有些偏，但价格很不错。', '短评打分': 5}
{'短评内容': '房间不错有早餐更好', '短评打分': 3}
{'短评内容': '设施装修都蛮好的.就是地方偏了点.', '短评打分': 3}
{'短评内容': '＋还可以，除了位置有点偏', '短评打分': 3}
{'短评内容': '酒店性价比高，房间也不小，整体感觉还不错', '短评打分': 5}
{'短评内容': '酒店性价比很高，房间不错，地点有点偏但门口就有公交车站，还是很方便的。', '短评打分': 5}
{'短评内容': '性价比挺好的，不过好像说是4月开始就要涨价了，不知道是不是真的', '短评打分': 5}
{'短评内容': '环境还可以 就是太偏僻 打出租车都要等半天 郁闷啊 ·········', '短评打分': 5}
{'短评内容': '这家酒店还算干净，热水水量也较大较稳定；但房间很小，前台服务意识差。向前台借电吹风，从前一天晚上到后一天中午都没借到，还非常不耐烦，就差没骂人。', '短评打分': 5}
{'短评内容': '整体还不错，比较经济实惠，最重要的问题是餐饮不太方便！', '短评打分': 5}
{'短评内容': '这个酒店价格实惠，条件也还不错，恩，蛮好的', '短评打分': 5}
{'短评内容': '网络根本上不去，前台服务态度很差！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '冲着便宜去的。。。结果悲剧了。。。条件很一般，而且没有烧水的水壶，那饮水机里的水不知道多少天了有味道。。。而且地理位置不好，走很远很远都找不到吃的。。。', '短评打分': 5}
{'短评内容': '服务员态度很差的，床单上也不是很干净，被子太薄让服务员再添一条回答说没有，以后再也不会去了。', '短评打分': 1}
{'短评内容': '离虹桥比较远，27元打车费用。大家小心被司机宰。酒店还可以比较干净', '短评打分': 5}
{'短评内容': '挺实惠', '短评打分': 3}
{'短评内容': '挺好的！值得信赖！就是有点偏！呵呵呵！！@@@@@', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '酒店比较赶紧，价位适中，挺好的一个酒店很温馨', '短评打分': 5}
{'短评内容': '环境卫生不错哦，有性比', '短评打分': 3}
{'短评内容': '住的99元双床房，有窗，明亮干净，客房服务还行。但电梯内和进门大堂有点脏，总台服务不够热情，望有所改进。', '短评打分': 5}
{'短评内容': '不好，空调不够马力，开了一个晚上还那么冷。', '短评打分': 3}
