{'短评内容': '还不错哦', '短评打分': 5}
{'短评内容': '挺不错的，挺好', '短评打分': 5}
{'短评内容': '酒店右侧一个酒吧一个夜总会，左侧又特么是个妖孽东西，半夜低音炮震到你爽', '短评打分': 2}
{'短评内容': '位置不错，但是没有停车场', '短评打分': 5}
{'短评内容': '服务员态度很好，和之前维也纳的比起来，简直上天了。', '短评打分': 5}
{'短评内容': '赞赞赞赞赞赞赞赞赞赞赞赞赞赞', '短评打分': 5}
{'短评内容': '一住就是十天，出差中！一住就是十天，出差中一住就是十天，出差中一住就是十天，出差中', '短评打分': 5}
{'短评内容': '环境不错，空调很赞！赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞', '短评打分': 5}
{'短评内容': '晚上旁边KTV有点声音  过12点就好了', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '酒店周围环境还不错，比较靠近市中心位置。房间的卫生还行，就是设备比较陈旧，我住的那间空调会喷水出来。酒店没有停车位，要自己去找地方停车。', '短评打分': 4}
{'短评内容': '酒店位置很好，出行比较方便，但无停车位，空调噪音大。', '短评打分': 4}
{'短评内容': '不错哦，还可以', '短评打分': 5}
{'短评内容': '一般 服务死板', '短评打分': 1}
{'短评内容': '卫生不错，交通方便，服务很好，价格合适。', '短评打分': 5}
{'短评内容': '汉庭连锁一贯的装修风格，经济，干净，不错的选择！', '短评打分': 4}
{'短评内容': '汉庭连锁一贯的装修风格，经济，干净，不错的选择！', '短评打分': 4}
{'短评内容': '多次入住了，位置属于市中心，走到对面的金海湾酒店可以坐到高铁快线，交通非常便利。楼下可以吃早餐，周边环境也不错，酒店内部干净整洁，价格也不贵，性价比很高。值得推荐！', '短评打分': 5}
{'短评内容': '房间格局还不错，就是居然没有配备梳子，感觉有点失落', '短评打分': 5}
{'短评内容': '房间不错，物有所值，比燕汕那个垃圾宾馆好多了。', '短评打分': 3}
{'短评内容': '整体还是不错，比较干净，虽然房间比较小，设施相对简单，还是给以好评。。。。', '短评打分': 3}
{'短评内容': '环境还不错，但刚好今晚不知道哪里来的麦霸，有我受的！！！', '短评打分': 5}
{'短评内容': '服务还可以，有停车位，比较安静，性价比高（如果是会员）。', '短评打分': 5}
{'短评内容': '，很满意，适合一家三口住，象家里一样', '短评打分': 3}
{'短评内容': '环境OK  质量OK  指定停车点停车可报销', '短评打分': 5}
{'短评内容': ' 恩，汕头的汉庭比如家好多了! 价格还低些刚好加一人的早餐。电视和我们笔记本电脑大小差不多，呵呵呵!', '短评打分': 3}
{'短评内容': '总体不错，稍微有点吵，服务员态度很好，性价比高', '短评打分': 5}
{'短评内容': '隔音不好', '短评打分': 3}
