{'短评内容': '不错干净卫生，离古城口很近，出游很方便。', '短评打分': 3}
{'短评内容': '客栈不错，老板人也很好，是北京人，很好说话，服务都很好，客栈里内部设施完善，环境很干净，性价比很高，很划算', '短评打分': 3}
{'短评内容': '客栈不大，老板人不错出来接我们，还帮我们拿东西，就是厕所不好。', '短评打分': 3}
{'短评内容': '非常棒           环境一流  老板人好 特别划算', '短评打分': 3}
{'短评内容': '怕老鼠的可以直接忽略掉该客栈了。\n因为前院是饭馆，后面就有了很多很多的剩饭以及...你懂得...好肥好大，想起就起鸡皮疙瘩啊...\n房间的床单潮可以理解，因为毕竟一直下雨，但有味道就接受不了了。\n小院非常小，如果你不介意和老鼠一起晒太阳的话...\n总之，还是希望以自己的经历给后来的朋友提个醒。\n不过，饭馆的老板人感觉还是很老实忠厚的。客栈的老板基本没见过面。', '短评打分': 1}
{'短评内容': '环境一般，院子和房间很小，不好找，光义街忠义巷的门牌号很乱，不能相信的', '短评打分': 1}
{'短评内容': '房间有点小，沐浴露和洗发水很差，不过店家服务挺热心。', '短评打分': 5}
{'短评内容': '看上去客栈已经有很长时间了，由原来一个院子划分出了两个！我们住的这个明显缺乏打理！显得有些陈旧！院落里有1家居家的当地人！活动范围不大！想坐在院落离发呆的就最好换地方！老板也没有图片上那么好客！不过地理位置还是可以！去木府几分钟！我们房间的被单，田园花洗的有些发白！粉红色花和绿叶快看不清了！但睡上去觉得还是棉的！', '短评打分': 3}
{'短评内容': '房间虽然比较小，但设施还不错，地点也比较好找，周围也比较方便。', '短评打分': 3}
{'短评内容': '房间干净，晚上睡觉挺安静的，客栈老板人也不错。下次去还会选择的', '短评打分': 5}
{'短评内容': '算是性价比比较高的了 老板的妈妈人好好，温柔贤惠又勤劳。PS 老板人也不错的啦···', '短评打分': 5}
{'短评内容': '房间还行吧 就是有点小啦而且怎么不会打扫卫生啊，阿姨的米线煮得很好吃有家里的味道，离玩的地方真的很近啊', '短评打分': 5}
{'短评内容': '价格实惠，住的很舒服，老板一家人也很好', '短评打分': 3}
{'短评内容': '客栈很干净，热水很充足，离木府很近，夜晚又没有吵闹，下楼就可以吃饭，很方便的。最重要是老板很好，给了很好的出游线路，陪我买了氧气瓶，比雪山便宜很多，又借给我羽绒服，省了我不少玛尼。可惜要继住，没房间了。下次会再来的。。。。', '短评打分': 5}
{'短评内容': '客栈还行，比较干净，设施齐全', '短评打分': 3}
