{'短评内容': '环境一流，服务二流，设施三流。', '短评打分': 4}
{'短评内容': '房间地理位置很好，去大明湖和趵突泉都可以步行，芙蓉街就在门口，但是架不住夜间施工啊，每晚十一点到六点楼下吵的简直了。。。房间怎么说呢，基本相当于招待所，家具毛巾什么的都很旧了。。。门卡相当难开。。。', '短评打分': 3}
{'短评内容': '设施不行，环境可以，整体感觉还是可以的，住的主要是情怀，交通便利，周边哪都能去，安全也还是可以的，服务不错', '短评打分': 4}
{'短评内容': '院里有珍珠泉景观做的很精致，人少，娃喂喂鱼很悠闲，宾馆周围吃的东西也多', '短评打分': 5}
{'短评内容': '可以的儿子说不错', '短评打分': 5}
{'短评内容': '老旧，气味太，不会再住', '短评打分': 2}
{'短评内容': '环境清静，离小吃街近', '短评打分': 5}
{'短评内容': '不错，位置好，离趵突泉和大明湖很近，步行过去', '短评打分': 5}
{'短评内容': '酒店位置特别好！就在济南市最繁华的地带，一出门50米就是商业街，豪华商场一个接着一个！另外，酒店本身是人大常委会的驻地，有一个挺大的院子。非常好！', '短评打分': 5}
{'短评内容': '好考虑考虑', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '性价比不高 周围环境不错 交通便利', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '非常不错，院里还有几处景点。离泉城广场非常近。', '短评打分': 5}
{'短评内容': '很失望，下次不会再去住了。国营店真是搞不好。', '短评打分': 4}
{'短评内容': '跟酒店报京东居然说不知道合作关系，呵呵。', '短评打分': 5}
{'短评内容': '成功如住啦，酒店不怎么样', '短评打分': 3}
{'短评内容': '酒店位置很安静，院里面就是珍珠泉，出酒店往北不远就是大明湖，早上可以去大明湖跑步', '短评打分': 5}
{'短评内容': '环境非常好，地理位置优越，东面贵和购物广场，南边恒隆购物，再往南泉城广场，西边芙蓉街小吃。北面，要稍微远一点，大明湖。绝佳的地理位置，里面更是绿树环绕。', '短评打分': 5}
{'短评内容': '虽然老了点，但整体还可以，位置当然是没的说，很安静也很舒适，下次还会住的！ ', '短评打分': 5}
{'短评内容': '在市中心，购物，游玩，交通便利，环境安静，酒店条件一般', '短评打分': 5}
{'短评内容': '居住环境安静，安全可靠，就是房间与价格有点差别！', '短评打分': 5}
{'短评内容': '挺不错的酒店，虽然老了点，但整体还可以，位置当然是没的说，很安静也很舒适，下次还会住的！', '短评打分': 5}
{'短评内容': '在省人大院内，不好找，但是里边还可以，市中心，交通便利，早餐是济南本地的口味，还不错。', '短评打分': 5}
{'短评内容': '地理位置不错，房间很一般。基本不会再来了。', '短评打分': 1}
{'短评内容': '酒店设施太简陋了，与价格不符。看了以前的评论，听说有杂技表演，结果早就没了。早餐结束的也太快。感觉不太好。。。', '短评打分': 1}
{'短评内容': '入住7号楼，房间大小还好，两个单人床，壁挂式电视，电话、保险箱、电热水壶、水杯、宽带、地毯等。室内干净、卫生，卫生间一次洗漱用品齐全，配置了电吹风。美用不足，早餐太过简单，不像三、四星宾馆，贵重物品建议不要放在房间内，可寄存总台，而总台又告知不给寄存摄像机、照机，随身携带给出行带来不便。室内虽有保险箱但又太小，派不上用处。建议改善！！！', '短评打分': 5}
{'短评内容': '入住9号楼，超级差，相当于招待所的设施，房间只有一个双管日光灯，电视是17寸的老式电视机。拖鞋是塑料拖鞋。茶叶盒打开后一股怪味……', '短评打分': 1}
{'短评内容': '想的更周全，不用自己操心，反正服务各方面都挺周到', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '宾馆不错，早晨起来还可以去看看珍珠泉，环境挺好！停车很方便', '短评打分': 3}
{'短评内容': '装修稍显旧一点，但是可以看出以前的装修品质还是很不错的。\n\n院子很大，珍珠泉就在里面，闹中取静的感觉还是很不错的。', '短评打分': 5}
{'短评内容': '停车很方便，停车场巨大。位置很好，就在泉城路。不足之处是千万别住9号楼，楼房本身充当院墙，旁边就是一个工地，卸车声音吵死你，屋子条件和招待所差不多，小强巨多。7号楼8号楼好些，但是性价比太差，比银座泉城大酒店差多了。', '短评打分': 5}
{'短评内容': '地点很好，周边购物吃饭很方便。但是早餐很差的，就是传统的普通酒店的那样子', '短评打分': 5}
{'短评内容': ' 还可以。', '短评打分': 3}
{'短评内容': '房间很一般，有点破破烂烂的，网线也有问题，服务员来研究了半天，硬说是我的网卡有问题，还有早餐竟然9点就没了。\n不过前台的服务到还算热情周到，酒店的地理位置还是很好的，边上就是条小吃街，不过以后还是住华能了', '短评打分': 5}
{'短评内容': '9316、9317房间,装修有点旧,环境和位置都不错。', '短评打分': 3}
{'短评内容': '在市中心,位置好.住的是八号楼,感觉不错,稍贵', '短评打分': 5}
