{'短评内容': '宾馆位置还可以主要离朋友家近～宾馆基本设施都是有的～主要是便宜的～', '短评打分': 4}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '东西很不错东西很不错', '短评打分': 5}
{'短评内容': '服务极好，卫生不错，出行方便，床很解乏。', '短评打分': 4}
{'短评内容': '整体来说还算好吧、整体来说还算好吧、整体来说还算好吧、整体来说还算好吧、整体来说还算好吧、整体来说还算好吧、', '短评打分': 4}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '还不错 ', '短评打分': 4}
{'短评内容': '很好，卫生很好，价格也很便宜', '短评打分': 3}
{'短评内容': '房间太小！不能免费用空调！蚊子多，没有洗漱用品…', '短评打分': 3}
{'短评内容': '这个价位还算可以，干净。就是热水壶不好用。隔音效果一般', '短评打分': 3}
{'短评内容': '服务态度比较好', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '很好，服务好，服务人员有较高素养！一切都比较正规！', '短评打分': 5}
{'短评内容': '总体上说还好吧，离市区有点远。旁边就是学校，我是周三住进去的所以早上比较嘈', '短评打分': 5}
