{'短评内容': '那个电视太老了，还有打扫的阿姨太吵了。', '短评打分': 3}
{'短评内容': '感觉还可以', '短评打分': 4}
{'短评内容': '是帮朋友定的，朋友说酒店服务态度很好。', '短评打分': 4}
{'短评内容': '酒店有15元一位的自助餐', '短评打分': 5}
{'短评内容': '还行，不咋滴，房间太小', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '本人是绝对信任京东，京东的售后也是一流的。在某些方便还得继续加油。例如酒店信用住，这本来就是用白条信用支付，但到酒店的时候还是需要交压金，像老马那里已经是全部不需要的了。第二，能闪付的店也好少，有闪付机的就说用不了，找各种理由。祝愿京东更上一层楼。', '短评打分': 3}
{'短评内容': '前台的服务态度很好！', '短评打分': 5}
{'短评内容': '不好意思，这么久了才来评价。虽然设备比较陈旧，只有一台电梯可用，但是服务还算可以。一个房间一张早餐卷，超过就得另收15元/人，不过还是喜欢这种自助式早餐，随着自己的喜好来，管饱管吃好，算起来还是蛮实在的，适合大胃王哦，???', '短评打分': 5}
{'短评内容': '很满意，服务很到位。。', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '蛮便捷的，尤其是在旅途中临时起意改变目的地，在手机上搜索浏览，然后下单订好房间，几分钟就搞定。使用方便、办理快捷、支付安全、选择余地大，实为非组团旅游出行入住酒店的不二选择。', '短评打分': 5}
{'短评内容': '服务态度很好，干净，住着放心。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境很不错。', '短评打分': 5}
{'短评内容': '下次还会来这里住。', '短评打分': 5}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '地方很好找，从火车站坐公交车走一小段路就到了，去哪里都不太远，而且住的环境很好，不吵，房间也很暖和，离景点都不太远，我们找一天游的团也是酒店提供的，价格很公道', '短评打分': 5}
{'短评内容': '离学校近，方便出行。', '短评打分': 5}
{'短评内容': '住过多次，总体还行吧，就是容易定不上，定的人太多', '短评打分': 5}
{'短评内容': '酒店性价比是不错的，但是就携程上订了个显示代理字样的价格，不管你怎么给客服打电话，就是与代理沟通，等待、等待、等待，根本不会与酒店沟通，也不管客人是处于如何的处境。。。第二次订低价，两次都是一样的情况，真想说你是吃屎的吗？败兴而归！！！如果只是为了价格而没有服务的话，那是不是就可以不用携程、用去哪儿就好，反正有没有客服都是一样的结果，不是吗？！！！', '短评打分': 4}
{'短评内容': '房间非常小', '短评打分': 3}
{'短评内容': '房间一般', '短评打分': 5}
{'短评内容': '位置还可以，距离翠湖公园很近，房间的设施有点陈旧，希望改善下，特别是电视机，太小了。住的12楼，还是觉得有点吵，房间总体来说比较干净，还算满意吧。', '短评打分': 4}
{'短评内容': '还不错。', '短评打分': 5}
{'短评内容': '怎么就没有中评呢？我觉得还真是一般。电梯有问题，房间小，布草陈旧还有破洞，没有网络不太方便，隔音也不好。唯有价格便宜。', '短评打分': 5}
{'短评内容': '很不错 会推荐给朋友哦 服务态度也很好 就是当时楼下电脑坏了等了好几天才好', '短评打分': 5}
{'短评内容': '服务态度很好，最喜欢住如家了，就是网速有些慢', '短评打分': 5}
{'短评内容': '位置方面，房间干净整洁。但是前台的服务态度还不如楼层服务人员的服务态度。需要改善！', '短评打分': 5}
{'短评内容': '印象极差，女性服务员在给人服务的时候，貌似自己高人一等一样，我定了两天，故意一天一天的刷房费，就是为了到周末涨价。 建议不要住，故意黑人。', '短评打分': 1}
{'短评内容': '很干净,环境很好', '短评打分': 3}
{'短评内容': '地段很好，很方便，服务也不错！就是有点吵的。', '短评打分': 5}
{'短评内容': '环境整洁，交通便利，保安到位，客房服务良好。', '短评打分': 5}
{'短评内容': '交通便利，环境整洁，保安到位，客房服务良好。', '短评打分': 5}
{'短评内容': '很新，交通方便，前台有点慢，虽然交了两天的押金但房卡还是要每天刷一次。', '短评打分': 5}
{'短评内容': '续订，继续住，很好，地点，卫生，安全，又不贵，很划算', '短评打分': 5}
{'短评内容': '离几所大学校都比较近，方便考试，比较安全，附近吃的也比较多，晚上很安静。', '短评打分': 5}
{'短评内容': '离云南大学，师大挺近，交通方便，比较干净，但隔音不是很好', '短评打分': 3}
{'短评内容': '地理位置比较不错，去哪都很方便。早餐也还不错。', '短评打分': 5}
{'短评内容': '相同的房间没有东站那边那家如家大，房间不隔音，隔壁洗澡放水都能听见，外面有点吵，不过卫生条件良好。服务员态度很好', '短评打分': 5}
{'短评内容': '房间舒适，热水给力，会再选择入住的(^_？)？☆', '短评打分': 3}
{'短评内容': '酒店位置便利。只是靠近路边的窗户稍有点吵。一如既往的是如家温馨的格调', '短评打分': 5}
{'短评内容': '还不错，临时把大床房变成标间了，服务还行，就是房间有点空，电视太小，在床上看不清楚。以后换个大液晶就更好了。', '短评打分': 5}
{'短评内容': '酒店服务很好，服务员很热情，而且很大众化的价格，靠近美食街，我已经在哪里住了两次，挺喜欢的。', '短评打分': 5}
{'短评内容': '先在网上预订的 然后实地考察了下果然是离云师大最近的酒店。个人觉得189的价格还是稍稍有点高，但是对于住宿条件和服务来说，非常非常的满意。下次还有考虑入住，而且已经推荐给了朋友。', '短评打分': 5}
{'短评内容': '干净舒适，如家一如既往的好，距离翠湖公园步行大概10分钟，很方便', '短评打分': 5}
{'短评内容': '大床房房间太小了，感觉很压抑，性价比不高啊，同等地段189元的价格，其它家的放假比如家的好多了。', '短评打分': 1}
{'短评内容': '干净舒适，服务好，墙壁颜色等很温馨，就是有点吵，但没有大影响，如家的感觉～', '短评打分': 3}
{'短评内容': '位置不错，离闹市区较近，自助早餐也还可以。', '短评打分': 3}
{'短评内容': '环境不错，早餐味道一般', '短评打分': 3}
{'短评内容': '面向一二一大街，稍微有点吵，其它的都还好', '短评打分': 5}
{'短评内容': '很干净,清爽.比想象中好.', '短评打分': 3}
{'短评内容': '地理位置不错，在昆明的大学区，周围都是昆明的高校，服务也很好。', '短评打分': 5}
{'短评内容': '环境可以的，酒店旁边可以逛的地方满多的！不过相对也吵了一点', '短评打分': 5}
{'短评内容': '不错的，酒店挺干净的，出门看电影，吃东西挺方便的', '短评打分': 5}
{'短评内容': '不错的酒店，住的大床房，宽敞明亮，很舒适，\n但是隔音效果不是很好，\n总体来说物有所值，服务员服务很周到，很喜欢。下次外出旅游继续入住！', '短评打分': 5}
{'短评内容': '真的不错,推荐大家入住,我去的时候班机晚点了,前台帮我一直从7点延长到夜里11点多呢,很感动.热水非常给力 \n', '短评打分': 5}
{'短评内容': '帮朋友订的酒店。建设路如家在假设路和一二一大街交叉口，附近是云南师范大学、云南大学、昆明理工大学、文化巷，离翠湖和钱局街也很近。既然是本土快捷酒店，可能就不能多考虑服务、早餐这些了，从方便这个角度上考虑是不错的。', '短评打分': 5}
{'短评内容': '房间很温馨，工作人员很热情，就是来的晚了，商务大床房只有朝马路的，幸好隔音还不错。', '短评打分': 5}
{'短评内容': '房间很小，不过布置还算温馨，美中不足的就是热水不烫，晚上7点一直到10点都没有烫过，甚至不算热，早上7点起来还勉强有点热水。', '短评打分': 5}
{'短评内容': '相比其它酒店来说，如家还是很实惠的。这里的早餐很不错，价格也不贵。\n要是电视改为液晶的，看起来应该会更好。', '短评打分': 5}
{'短评内容': '内部设施还可以，外部交通条件差。88服务态度好。', '短评打分': 5}
{'短评内容': '真有回家的感觉！', '短评打分': 3}
{'短评内容': '总得来的说还是不错的 ，只是觉得电视小了点，还有就是台灯不行，看书之后眼睛特别疼，建议换节能灯', '短评打分': 5}
{'短评内容': '14.15日入住1103房间小了点,不过还比较干净,还有就是隔音效果比较差,13楼的早点还是比不错的,', '短评打分': 5}
{'短评内容': '总体感觉很好！服务不错！房间干净，整洁！非常安静！', '短评打分': 5}
{'短评内容': '卫生不错', '短评打分': 3}
{'短评内容': '房间太小，临街，比较吵。', '短评打分': 3}
{'短评内容': '该酒店颜色比较温馨，房屋也比较干净，跟我们小城市的相比，房间有点小，价格还可以接受吧。', '短评打分': 5}
{'短评内容': '入住', '短评打分': 3}
{'短评内容': '交通环境方便吃东西也容易，酒店内部清洁舒适，值得来住！', '短评打分': 5}
