{'短评内容': '这么冷竟然没有空调，直接住感冒了', '短评打分': 3}
{'短评内容': '室外抽水机声音有点大，夜间不停机影响休息。', '短评打分': 5}
{'短评内容': '房间一般，能住', '短评打分': 3}
{'短评内容': '房间一般，太旧了，而且很味儿', '短评打分': 3}
{'短评内容': '房间干净，住的还行', '短评打分': 4}
{'短评内容': '性价比很高', '短评打分': 4}
{'短评内容': '几家朋友一起出游订的，总体还不错。', '短评打分': 4}
{'短评内容': '周边是工业区   交通不是很方便  其他都还可以', '短评打分': 5}
{'短评内容': '地方比较偏僻，好在比较安静', '短评打分': 3}
{'短评内容': '在南漳算不错了', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行，不靠街道，比较安静', '短评打分': 4}
{'短评内容': '帮同事预定', '短评打分': 4}
