{'短评内容': '还不错，服务也好', '短评打分': 5}
{'短评内容': '硬件不够，软件来凑，酒店外表给人的感觉很不错，但实际的情况略略有点差，奈何服务人员态度很好', '短评打分': 5}
{'短评内容': '没有早餐  还行', '短评打分': 3}
{'短评内容': '没', '短评打分': 3}
{'短评内容': '唉，一言难尽', '短评打分': 4}
{'短评内容': '不错，环境挺干净卫生的。就是有一点，太冷，房间不暖和，空调根本起不大作用，希望老板把暖气开上，其它都还好。下一次不会来了。', '短评打分': 3}
{'短评内容': '房间比较小，卫生间非常小～', '短评打分': 4}
{'短评内容': '挺好哒', '短评打分': 3}
{'短评内容': '酒店预订时写着有空调，入住时也没说空调不能用，进了屋子后发现没空调遥控器，问前台去要遥控器，前台说空调不能用，让我们开开窗户就凉快了，还说这一片检修，都这样。开始还真就信了，后来打电话问了家附近的其他酒店，那家说空调能用，便想跟这个酒店退房，还不给退房，很有理，说入住了就不能退，吵了起来，才说给试试空调能不能用，不行给换能用空调的屋子。好在师傅来看了下，说可能缺氟，能凑合用。这酒店绝对的差评！不知', '短评打分': 1}
{'短评内容': '还不错，', '短评打分': 5}
{'短评内容': '网络图片与实际相差太大，顾客和携程都被店主忽悠了。', '短评打分': 3}
{'短评内容': '马马虎虎，有个可以睡觉的地方就可以了！', '短评打分': 3}
{'短评内容': '住过几次还行，离医院走的有点远', '短评打分': 3}
{'短评内容': '房间设施陈旧，住宿条件一般，还有一股气味！', '短评打分': 3}
{'短评内容': '非常满意，周围有个地铁站，就是旅游高峰时开车存车位是个问题，不过好在酒店服务人员解决了', '短评打分': 5}
{'短评内容': '酒店老板和服务员很热心！5楼的房间没有3楼、2楼好！房间内设施应该再改善一些，看着更干净点！其实花不了多少钱，就能更好点！', '短评打分': 4}
