{'短评内容': '挺好的我很喜欢111111111111111111111111111111111111111111111111111111111111', '短评打分': 5}
{'短评内容': '。点评一下。。。。。。。问题是我不会点评啊。。。。。。。这怎么办呢。。。句号还不给通过。阿西吧。。。', '短评打分': 5}
{'短评内容': '交通出行特方便，购物没得说特方便，没中不足的一点就是房间里的需花钱消费的东西，没有注明价格，在退房的时候提起我特反感', '短评打分': 5}
{'短评内容': '不会再住第二次', '短评打分': 2}
{'短评内容': '前台服务态度很差，早上退房，就给甩脸看，很不满意。也不配备吹风机，去前台拿，超级小，长头发要吹好久好久，，真是无语。', '短评打分': 3}
{'短评内容': '挺不错的，交通便利，四通八达。', '短评打分': 5}
{'短评内容': '房间的窗就是个摆设，窗外面是墙也是无语，隔音特别差隔壁说话打呼都能听到，环境也很简陋。', '短评打分': 2}
{'短评内容': '可以把..被子挺舒服的..比较安静..', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '被套床单大部分地方发黄', '短评打分': 3}
{'短评内容': '房间太小，走廊不太干净，距离火车站比较近，周边交通，吃饭比较方便，离商业中心也比较近，服务需要提高。', '短评打分': 3}
{'短评内容': '房间该好好打扫了，地毯上有污渍，床单不知道换没换上面还有头发，而且为什么屋子里还有蚂蚁，其他都还好。', '短评打分': 5}
{'短评内容': '房间很温馨，住着很舒服，要是窗外没有广告牌', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间里一股味道很臭，被褥很潮湿', '短评打分': 3}
{'短评内容': '服务周到热情，房间整洁干净，设施全面，而且很暖和，淋浴的水温太舒服了，住过很多酒店，这家的淋浴最好了。', '短评打分': 3}
{'短评内容': '干净卫生 地方不错 就在车站旁边 非常方便', '短评打分': 5}
{'短评内容': '挺不错的。房间比较大。不过不太喜欢地毯。总觉得没有地板干净。', '短评打分': 5}
