{'短评内容': '还可以哦', '短评打分': 3}
{'短评内容': '之前预约的酒店出了问题 携程给找的 当天太晚只能入住了 环境很差 有味道 第二天一早就退房了不过位置不错 离火车站很近。', '短评打分': 3}
{'短评内容': '门前停车乱收费严重。', '短评打分': 5}
{'短评内容': '不好', '短评打分': 1}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '交通方便。不过酒店不好。', '短评打分': 3}
{'短评内容': '房间很小', '短评打分': 3}
{'短评内容': '青岛啤酒节，酒店房价都蛮高的。。。看到这个离火车站近，又不是很贵就订了。。。一进去有点囧，实在太小，就是一个床一个电视一个洗漱间，估计房间就10平方米，朋友陪我一起去的，也说感觉好小，有点味道。不过服务态度还不错，空调也很足。', '短评打分': 1}
{'短评内容': '不像网上介绍的离火车站几分钟，其实还有相当长的一段距离，且房间太小，卫生很差，性价比太低了，以后一定不会选择，其实想在青岛方便游玩的话还是推荐离火车站远点且沿海边的酒店。', '短评打分': 1}
{'短评内容': '简直就是个骗子，希望大家有钱的没钱的都不要住此地方，地方烂的恶心，最糟糕的一次住宿。房间一进去就有一股怪味，又小又潮，图片不知道是从哪里弄得。简直就是骗子，之前不知道哪些评价说好的人是怎么个品位。', '短评打分': 1}
{'短评内容': '好处就是离火车站走路5分钟就到，离栈桥中山路劈柴院什么的都蛮近，公车也还蛮方便。但是酒店的设施蛮旧的，条件一般，但是在青岛的旅游最旺季订到这个价格已经是不错的了。', '短评打分': 5}
{'短评内容': '态度挺好，就是房间有点挤。旅游城市可能都这样。', '短评打分': 3}
{'短评内容': '就在火车站附近，很好找，去海边，劈柴院都很近，屋内设施比较旧，但是这个季节这个价位还可以吧', '短评打分': 5}
{'短评内容': '就在火车站附近，很好找，去海边，劈柴院都很近，屋内设施比较旧，但是这个季节这个价位还可以吧', '短评打分': 5}
{'短评内容': '青岛天桥商务宾馆太烂了，床垫有个大窟窿，连电蚊香都不提供，把孩子咬得好多苞。一次性用品根本用不成，全扔了，还不如不提供。还环保。', '短评打分': 3}
{'短评内容': '态度热情，酒店设施一般。周边环境还可以，离火车站近。', '短评打分': 5}
{'短评内容': '这个季节，这个价格只能住这样的酒店，还是可以接受的，服务员看着大人带着小孩，主动换成3人间了，非常不错！', '短评打分': 5}
{'短评内容': '网上订的标间.到的时候给换了间夫妻房.床单被子比较破旧,凑合着住了.性价比不高..', '短评打分': 1}
{'短评内容': '条件一般，优点是离着火车站近，去周围景点都比较方便，要求不高的可以选择入住。', '短评打分': 5}
{'短评内容': '硬件设施不好，只能算是旅馆，但一般的旅馆也没那么破，不能算宾馆，只是提供了住的的地方，本来想换一家，带着一个孩子不方便就住下了。开水要自己去大堂打，床单也不换，住的一间房下水管还是坏的，洗澡没有热气。', '短评打分': 1}
{'短评内容': '老板很热情。卫生环境也还好。就是用那个电脑每天多交20元，电脑比较坑爹。酒店交通很方便。', '短评打分': 5}
{'短评内容': '住的大床房，看上去不是很干净，囫囵个儿睡了一宿，单说住宿环境只能打4分，不过从性价比来说，打6分吧，毕竟是在火车站附近，还是在青岛。', '短评打分': 3}
{'短评内容': '位置不错，条件一般！', '短评打分': 3}
{'短评内容': '感觉性价比不高', '短评打分': 3}
{'短评内容': '离火车站很近，挺方便的，住宿条件一般，简单干净', '短评打分': 5}
{'短评内容': '价格是比较便宜，可以我自己这边住的有点不习惯。', '短评打分': 1}
{'短评内容': '老板人热情，房间性价比非常高。去天主教圣弥厄尔教堂，栈桥非常近。', '短评打分': 5}
{'短评内容': '宾馆设施不咋地，但是老板真心很好噢。非常的热心、我们刚到不认识路，老板都是亲自带我们去的。栈桥啊、劈柴院啊。老板东北人，很好讲话。推荐对宾馆要求不是太高的人哈。', '短评打分': 5}
{'短评内容': '特价房68一晚，是便宜，但没有水龙头没有热水，房间卫生很差，有宽带但连不上网。有蟑螂。除了地段离火车站近些没什么优点。', '短评打分': 1}
{'短评内容': '服务挺好的，阿姨叔叔都狠热情喔…', '短评打分': 3}
{'短评内容': '网上的图片显示和实际情况完全不是一回事，没电脑，房间非常小，连开水还要去大厅弄，无语！', '短评打分': 3}
{'短评内容': ' 服务态度很好  就是房间不隔音  隔壁屋打电话都能听见的一清二楚 ', '短评打分': 3}
