{'短评内容': '已住了几天，环境好，干净舒适是出差住宿的好地方。', '短评打分': 5}
{'短评内容': '很好的一次体验，干净舒适，位置佳', '短评打分': 5}
{'短评内容': '商务大床房，带窗。', '短评打分': 3}
{'短评内容': '好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '位置好找，干净整洁', '短评打分': 5}
{'短评内容': '酒店房间异味浓，设备老旧，周边由于修路显得十分荒凉。周边没什么好吃的。', '短评打分': 3}
{'短评内容': '一如既往', '短评打分': 5}
{'短评内容': '很干净，也很静，值得选择', '短评打分': 4}
{'短评内容': '可以。如家快捷酒店都不错', '短评打分': 5}
{'短评内容': '位置非常不错的地段，房间比较干净，没有wifi,', '短评打分': 5}
{'短评内容': '过道有很大的味道，希望改善', '短评打分': 4}
{'短评内容': '房间外的过到有一股很恶心的臭味，因为是布铺的地板，味道很大，其他还好', '短评打分': 4}
{'短评内容': '距离中山路小吃街的士起步价，很方便！', '短评打分': 5}
{'短评内容': '是去看话剧的，南宁剧院，开心麻花的李茶的姑妈。位置特别近，走五分钟过一个红绿灯就到了的。离公交站也很近。', '短评打分': 5}
{'短评内容': '服务态度非常好，住的很舒服，隔音不错。', '短评打分': 5}
{'短评内容': '很不错，地理位置可以', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '房间也太小了，比在别的地方住过的如家都小。而且第一天我在网上定好了价格，付款的时候告诉我涨价了，原来的订单不算数了，幸好最后携程返了我差价', '短评打分': 3}
{'短评内容': '酒店很精致，每个房间都利用到了极致，酒店在二楼，一直有人来塞特殊服务的小广告，个人感觉闲杂人等太多太多，这也是安全隐患。停车附近有很多停车场，但是昨天太热闹还是找了半天才找到停车的地方。', '短评打分': 5}
{'短评内容': '各种环境还是不错的，挺满意的，唯一不足的就是没有窗', '短评打分': 5}
{'短评内容': '入住后让人感觉很舒服，里面的环境很干净温馨。', '短评打分': 5}
{'短评内容': '这次一次性订了四间房，每个人都住得很舒服。个个都说环境好， 服务好。', '短评打分': 5}
{'短评内容': '酒店的环境很温馨，入住后感觉很舒服，酒店的工作人员的服务态度很好。', '短评打分': 5}
{'短评内容': '环境还不错，服务态度比较好！价格不算太贵…', '短评打分': 5}
{'短评内容': '每回来南宁都住这家，交通挺方便的。可是服务越来越差，5月来的时候108房就缺马桶圈，这回来还是没有，服务员居然说本来就没有马桶圈！！有本事你把全酒店的马桶圈都拆了呀？？过分', '短评打分': 5}
{'短评内容': '房间小些，不过很温馨，住起来蛮舒服的。价格也适中，值得考虑。', '短评打分': 5}
