{'短评内容': '这个也快，够快，确认', '短评打分': 5}
{'短评内容': '购物方便，地理位置很好，楼下就可以逛街', '短评打分': 5}
{'短评内容': '其实一千多的酒店除了地理位置好之外，确实不是十分值得，房间比较少，安排在20层，景观还可以，里面中规中矩，算是整齐，不用押金，出来很多吃的逛的', '短评打分': 4}
{'短评内容': '早餐是自助餐，没有吃。周边有很多翠华稻香之类的粤菜餐厅，又便宜又好吃。逛起来方便，路边小摊还有药茶喝。酒店六楼是个高端粤菜明阁，米其林二星。', '短评打分': 5}
{'短评内容': '酒店位置绝对OK', '短评打分': 5}
{'短评内容': '时隔两年后再次入住这个酒店，现在的床垫已经更新了，比以前软叭叭的感觉好了许多。其他的管理模式中规中距。下次还会入住这个酒店的。', '短评打分': 5}
{'短评内容': '没有早餐，酒店位置非常便利。大堂直通朗豪坊商场，地铁站很近。周围逛街的地方不少。很热闹的地方。对于想要逛街购物吃东西，都是不错的选择。地铁去其他地方也方便。很奇怪的一点只是，酒店里没有暖气，空调都是凉的，但配有暖炉', '短评打分': 5}
{'短评内容': '住了好几次了，每次都感觉很好，特别是前台接待处的员工，很nice!', '短评打分': 5}
{'短评内容': '非常赞的酒店 很值得一住 性价比超级高 还会再来', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店整體不錯', '短评打分': 2}
{'短评内容': '订价比携程便宜，京东酒店服务跟踪到位，信息准确，下次还会订，赞一个！', '短评打分': 5}
{'短评内容': '到港一直都是住康得思，服务超级棒，一如既往的好，第一次在京东订房，赞', '短评打分': 5}
{'短评内容': '差差差！原本计划9号入住的，可能在订房时没注意看时间，默认了8号入住。。。而8号晚一直不入住酒店或第三方也不打电话来确认，连一般的连锁酒店都比不上，搞得连住都没得住就要给了700多元。', '短评打分': 1}
{'短评内容': '很好，京東酒店服務好', '短评打分': 5}
{'短评内容': '定的豪华房，说的是23层以上，到店后说高层没有房间，安排在22层，房间比较旧。', '短评打分': 1}
{'短评内容': '订房速度很快 价格也优惠', '短评打分': 5}
{'短评内容': '发票收不到啊', '短评打分': 5}
{'短评内容': '很好，比携程便宜几十块，赞', '短评打分': 5}
{'短评内容': '旺角中心的高大上酒店，就在地铁边上，很方便，而且价格不贵，服务不错', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': '房间蛮大的，国内二三线城市三百多价位的房间\n购物满方便的隔壁就是朗豪坊，附近都是香港老街区，很有人文风情\n朗豪坊有地铁出口去其他区也很方便！\n下次继续住吧', '短评打分': 5}
{'短评内容': '首先客户端有很多问题需要解决、预订港澳台需要港澳台的英文入住者姓名，订房确无法填写拼音，客服服务很好下单后立即来电话确认，但为何不把工作做细致呢！要知道我身在国外接了你一个国际长途省了10元确让我打上电话费！还不能选择床型、说尽量、这样觉得合适么？你让两个男人睡一张大床是觉得很精彩么？订房系统跳转速度慢的真想骂人！这也是我第一次在这里订房、如不改善将是最后一次！', '短评打分': 1}
{'短评内容': '酒店地处旺角，位置优越，交通便利，购物方便，非常热闹繁华。只是酒店的床有的软，洗手间的洗手盆属于幼儿使用高度，要弯着腰使用，到处溅水，厕纸和洗手间物品就在洗手盆旁边，容易溅湿。', '短评打分': 5}
{'短评内容': '呵呵呵呵呵', '短评打分': 5}
{'短评内容': '哈哈哈哈哈', '短评打分': 5}
{'短评内容': '不錯乾淨房間大沒噪音', '短评打分': 5}
{'短评内容': '不錯乾淨房間大沒噪音', '短评打分': 5}
{'短评内容': '在热闹的旺角朗豪坊商城对面，一座天桥相连，购物啥的都很方便，楼顶有露天泳池也是不错的，只可惜没住到高层楼房，没有欣赏到夜景，其他都很不错', '短评打分': 4}
{'短评内容': '非常棒！！', '短评打分': 5}
{'短评内容': '交通方便 多次入住', '短评打分': 5}
{'短评内容': '工作人员态度很好。房间也干净，购物也方便。', '短评打分': 4}
{'短评内容': 'I will return to stay this hotel', '短评打分': 1}
{'短评内容': '不得不赞，位置好就不说了，最主要是性价比极高，住此酒店，晚上随便出来走走逛逛很不错，酒店服务那才叫一个棒，真的非常值得推荐。', '短评打分': 5}
{'短评内容': '酒店地理位置不错，不过房间不是很大，在香港来说，也就这样了，去购物是挺方便的，周围的便利店也不少，在朗豪坊就有很多吃的可以选择。', '短评打分': 4}
{'短评内容': '基本上每次来都住这里，周边热闹，交通也很便利，最近刚改了名字，属于同一集团内品牌升级。不错！', '短评打分': 5}
{'短评内容': '酒店的床真的太小了', '短评打分': 5}
{'短评内容': '周边出行购物娱乐非常方便，楼下便是朗豪坊，房间还配备了免费手机。', '短评打分': 5}
{'短评内容': '朗豪酒店，再次入住，很舒适，楼下购物，饮食太好了，地理位置非常棒，只是房价有点高，wifi很不稳定，', '短评打分': 3}
{'短评内容': '这次是第二次入住，环境挺好的。挺满意啊…', '短评打分': 3}
{'短评内容': '宾馆跟介绍一样，挺不错。', '短评打分': 3}
{'短评内容': '就是價錢貴了一點,房間也不算太大...不過交通還是挺方便的!', '短评打分': 5}
{'短评内容': '就是贵了点！不过很好，位置很方便！附近都很多东西吃买', '短评打分': 5}
{'短评内容': '商业旅游不错的酒店，偏贵，2000多的房价只有几个平方，地理位置是不错，配套设施和餐饮还亟待增加内容。', '短评打分': 5}
{'短评内容': 'The service is good. Mongkok is a very good place for shopping', '短评打分': 5}
{'短评内容': 'very busy area, room is not very big but everything nice.', '短评打分': 5}
