{'短评内容': '垃圾的要死', '短评打分': 1}
{'短评内容': '不太好，xx', '短评打分': 3}
{'短评内容': '前台服务比较差   很没有耐心    早餐不在酒店内部是在另外一个楼里   早餐就一般吧   没有很差  但和汉庭还差挺多', '短评打分': 3}
{'短评内容': '可以，环境，设备，卫生，服务，都不错', '短评打分': 5}
{'短评内容': '房间干净卫生，价格不贵，服务态度很好！', '短评打分': 5}
{'短评内容': '很好&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '还好吧&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '还好吧&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '好&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '好&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '好、、、、、', '短评打分': 5}
{'短评内容': '好&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '说实话，真不怎么滴啊，这钱花的太差了，建议大家不要来了！太烂了！！！！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还好，有早餐提供', '短评打分': 5}
{'短评内容': '出差经常去的酒店 比较习惯他家的位置 性价比较高', '短评打分': 4}
{'短评内容': '还行八', '短评打分': 5}
{'短评内容': '环境还不错吧，周边吃饭购物都很方便，服务也还不错，卫生神马的都还可以。第二次预定了，比上一次贵了点。', '短评打分': 5}
{'短评内容': '都挺好的', '短评打分': 5}
{'短评内容': '各方面条件都不错，可放心入住。', '短评打分': 5}
{'短评内容': '还是不错的、酒店服务人员态度不错。', '短评打分': 4}
{'短评内容': '环境不错，价格合理，有时候热水慢，等一会会就好了，', '短评打分': 3}
{'短评内容': '没有赶上发票。。。住的好', '短评打分': 3}
{'短评内容': '房间很宽敞，前台美女服务热情周到。', '短评打分': 3}
{'短评内容': '还可以吧，住的还算可以', '短评打分': 3}
{'短评内容': '整体不错，卧室很温馨，海边房，还是蛮喜欢的', '短评打分': 5}
{'短评内容': '网速给力。房间条件还行。下回还会继续住。', '短评打分': 5}
{'短评内容': '整体来说很好，服务也不错，退房时间灵活，网速可以，周边吃饭逛街都很方便。交通也便利。', '短评打分': 5}
{'短评内容': '整体来说很好，服务也不错，网速可以，周边吃饭逛街都很方便。交通也便利。退房时间太死板了！', '短评打分': 5}
{'短评内容': '离车站近,但偏僻不好找,床单已经洗破了,但还干净,性价比一般', '短评打分': 3}
{'短评内容': '热水好。房间潮!', '短评打分': 3}
{'短评内容': '宾馆位置不错，就在商业区内，购物、餐饮、出行方便，且24小时热水，水量足（同档次的很多宾馆单独使用家用热水器供热水，水量仅够一人使用）。设施配置还可以，网速很快。美中不足：部分配置已显陈旧（床单）。', '短评打分': 5}
{'短评内容': '跟同事2个人住的，我觉得性价比在我看来已经很不错了！房间也挺干净，还有电脑', '短评打分': 5}
