{'短评内容': '环境还可以  房间稍微小了点 ', '短评打分': 4}
{'短评内容': '住了两次了，还不错都可以！', '短评打分': 5}
{'短评内容': '替朋友定的，房间很大，看着还不错。', '短评打分': 5}
{'短评内容': '隔壁吵架 从晚上开始 一早嗷嗷的吵架。给总台反映了 依旧没有解决。', '短评打分': 3}
{'短评内容': '房间很好，设施不错，有点超出想象，可以再考虑', '短评打分': 5}
{'短评内容': '卫士不错，晚上也比较安静。是个不错的选择', '短评打分': 5}
{'短评内容': '京东定房间很方便，而且价格便宜，很不错', '短评打分': 5}
{'短评内容': '安静，房间空间大，卫生间空间也挺大，院内能停车，但是需要找车位，比较紧张，和平路上不二选择，对面就是诚基中心。', '短评打分': 5}
{'短评内容': '干净整洁，周边交通方便，吃饭也很方便……', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '地面有点脏,早餐有点简单,WIFI距离门远一点就连不上了。其它还好!', '短评打分': 4}
{'短评内容': '十一去的，价格不贵，就是空调不怎么管用，蚊子咬了一晚上', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '各方面都挺好的，环境还不错，吃饭比较方便', '短评打分': 5}
{'短评内容': '感觉不错，住过不少次，值得推荐', '短评打分': 3}
{'短评内容': '总体评价为非常不错的酒店，干净舒适，所有的服务也很及时到位。 地理位置好，位于济南城区中心位置，周边环踞旅游景点、行政机关、金融中心等非常近，如趵突泉公园、大明湖等步行20分钟左右就到，用餐的话十几分钟就到小吃街，另外酒店一楼就有用餐的地方，饭菜的味道非常不错。 出行非常方便，交通便利，一出酒店大院，马路边就是车站。 房间内部设施齐全，干净舒适，服务员每天都及时的换洗各种日用品，服务很是细心、舒心', '短评打分': 3}
{'短评内容': '环境一般，房间太小，价格偏高', '短评打分': 3}
{'短评内容': '条件还不错，主要是安静适于学习', '短评打分': 3}
{'短评内容': '干净、整洁、交通便利。如果房间内可以接收到wifi信号就更好了。早餐还可以，但如能增加点牛奶及小菜的种类就更美了！', '短评打分': 5}
{'短评内容': '已经是第三次住在这家店了，房间干净明亮，服务非常好！喜欢，下次还会住的！', '短评打分': 5}
{'短评内容': '交通便利，停车方便，院内有一个比较大的停车场，非常方便。房间宽敞明亮、干净。标间比标准大床房要宽敞些。而服务非常好！下次还会入住的，值得推荐给朋友！', '短评打分': 5}
{'短评内容': '对<上海博盈假日酒店>的评论(*为对<上海博盈假日酒店>的评论(*为对<上海博盈假日酒店>的评论(*为对<上海博盈假日酒店>的评论(*为对<上海博盈假日酒店>的评论(*为', '短评打分': 5}
{'短评内容': '环境好 十分卫生，比较安静 服务态度很好，临近市中心 价格比较合理', '短评打分': 5}
{'短评内容': '房间不大，挺干净，最主要是很安静，考试住很合适，早餐不贵，吃的不错', '短评打分': 5}
{'短评内容': '性价比可以，早餐很丰盛，价格也不贵，喜欢', '短评打分': 5}
{'短评内容': '条件不错，就是室内稍有异味，有蚊子，好在给了电蚊香。总之这个价位还算超值了', '短评打分': 3}
