{'descr': '还是不错的', 'star': 5}
{'descr': '双11活动，价格实惠质量好，快递快 双11活动，价格实惠质量好，快递快', 'star': 5}
{'descr': '房间有蟑螂，卫生一般。', 'star': 4}
{'descr': '真心觉得卫生太差，房间全是蟑螂，床上都有，和前台说了给换了一间，可条件更差，屋子黑乎乎的。', 'star': 4}
{'descr': '住过好多次不错', 'star': 5}
{'descr': '环境还是不错的', 'star': 5}
{'descr': '酒店离火车站近，方便', 'star': 4}
{'descr': '地理位置非常好 价格便宜 经济实惠 地理位置非常好 价格便宜 经济实惠 地理位置非常好 价格便宜 经济实惠', 'star': 5}
{'descr': '非常好 房间干净卫生 离火车站离 非常方便', 'star': 5}
{'descr': '啊啊啊啊啊啊', 'star': 5}
{'descr': '啊啊啊啊啊啊', 'star': 5}
{'descr': '环境不错，几个也合适', 'star': 5}
{'descr': '周边搞建设，住房床单沒有更换，前台服务员很好，一提意见就立即处理了i，给一个八十分吧。', 'star': 4}
{'descr': '挺好的！住着挺舒服的', 'star': 5}
{'descr': '一直习惯住这儿了。挺好的。每次出差都选这个。', 'star': 5}
{'descr': '水是凉的，以后不会住', 'star': 3}
{'descr': '酒店就在长春站(南广场)斜对面，周围环境当然是不乍的，大厅和前台不大，房间却不错，卫生很好，设施齐全。去的时候是11月份，室外很冷，但屋里头很暖和。隔音一般。', 'star': 4}
{'descr': '以前都是在这里住的，这次的前台服务说话真的很牛啊！适合做老板！', 'star': 4}
{'descr': '还好', 'star': 3}
{'descr': '环境卫生不错，就是服务态度差了些，浴室的水温不太稳定', 'star': 5}
{'descr': '房间很干净，和网上相片一样，房间很大，装修较新，只是隔音不太好，下次来一定住', 'star': 3}
{'descr': '房间还行', 'star': 3}
{'descr': '酒店的环境很好，房间有窗，光线好，很干净，距离火车站非常近，出行很方便，美中不足是洗浴不是热水器控制，温度不太稳定。', 'star': 5}
{'descr': '，位置不错，只是服务员乘住客不在房间，换了脏的被套特不爽', 'star': 3}
{'descr': '妹妹说条件还不错。价格也合适……就是点评字数多了点', 'star': 5}
{'descr': '位置很好，离火车站非常近，对面就是轻轨站，周边很多公交站，出行方便。房间大，设施还好，电视不好，台少不清晰。', 'star': 5}
{'descr': '环境不错，我住的单人间，空间很大，尤其是卫生间的玻璃墙看起来很有感觉，房间很干净，离火车站很近下车后不到5分钟就走到了', 'star': 5}
{'descr': '位置不错，就在长春站西侧轻轨车站正对面，服务员服务态度不错，网上预定一般是12点到9点入住，我8点多就去了，还是顺利的给我安排了，房间还不错，空间里用的很好，卫生间也比较干净，总体比较满意，只是个人不喜欢厕所的香水味。', 'star': 5}
{'descr': '离火车站很近，很方便。宾馆环境很不错，新装修的，价格也不高。性价比相当不错，以后来长春还会入住', 'star': 5}
{'descr': '不错的酒店，价位合理，房间面积宽松，服务态度较好。', 'star': 5}
{'descr': '地处火车站附近，非常方便。网上有噪音，不过，由于离火车站近，能够理解。', 'star': 5}
{'descr': '不错的，宾馆。房间大，交通方便。距离火车站很近。附近有国商百货。', 'star': 5}
{'descr': '酒店的环境很好，很大，很干净，很满意，下次出行还选择这里', 'star': 5}
