{'短评内容': '还行吧，一般般', '短评打分': 5}
{'短评内容': '跟舒适', '短评打分': 5}
{'短评内容': '订酒店还可以用全品类卷！很方便！现在越来越依赖京东了', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '卫生很好，服务态度好', '短评打分': 5}
{'短评内容': '位置很不错', '短评打分': 5}
{'短评内容': '停车还可以', '短评打分': 4}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好，哈哈', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '房间干净，酒店服务态度很好！', '短评打分': 5}
{'短评内容': '不推荐住。真心不好。', '短评打分': 2}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '醉后开的房间，感觉不错', '短评打分': 5}
{'短评内容': '在南海住了几次，感觉不错性价比超高', '短评打分': 5}
{'短评内容': '交通便利，吃东西方便', '短评打分': 5}
{'短评内容': '一滴滴答答滴滴答答滴滴答答滴滴答答', '短评打分': 5}
{'短评内容': '酒店比较干净，周围就有美食城，非常方便', '短评打分': 5}
{'短评内容': '不错', '短评打分': 1}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '酒店地理位置好找，房间够大，卫生还算可以，交通不大方便', '短评打分': 4}
{'短评内容': '交通不太方便，无早餐供应，其他设施基本都还可以', '短评打分': 1}
{'短评内容': '房间空间比较大，床不是很舒服，洗澡间比较小，酒店服务还可以', '短评打分': 5}
{'短评内容': '酒店房间比较大，服务还可以，就是没有早餐，且交通不太方便', '短评打分': 5}
