{'短评内容': '早餐不错，停车也方便。', '短评打分': 5}
{'短评内容': '环境还可以', '短评打分': 5}
{'短评内容': '真的不怎么样，差的要命，感觉最烂的一次入住', '短评打分': 2}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间有点小，', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '多次入住了，这次在加暖气', '短评打分': 4}
{'短评内容': '这个点不错，旁边一个正宗羊汤店', '短评打分': 5}
{'短评内容': '不错！！！！', '短评打分': 5}
{'短评内容': '不错！！！', '短评打分': 5}
{'短评内容': '很好很不错的酒店，有无线网络，早餐', '短评打分': 5}
{'短评内容': '还可以，能住。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '交通方便，前台接待服务态度很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '挺干净的，感觉也不错，位置也好找， 。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '  环境不错', '短评打分': 3}
{'短评内容': '交通比较便利，早餐很棒，房间也很上档次，下次还会住', '短评打分': 5}
{'短评内容': '交通比较方便，离汽车站比较近，环境很好，早餐比较丰富。', '短评打分': 5}
{'短评内容': '＋地方比较偏远，周围几乎没有餐馆，网速超级慢，也就值这个价了。', '短评打分': 3}
{'短评内容': '一般，房间很小。酒店是新开的，设施一般。是一般商务酒店的标准。价格还是不高的。', '短评打分': 5}
{'短评内容': '还不错！地理位置优越，价格挺合理！不错不错！', '短评打分': 5}
{'短评内容': '酒店非常干净，有电梯，送的早餐很可口，宽带很给力，床很软', '短评打分': 3}
{'短评内容': '环境不错，就是附近没什么好玩的，但绝对无有所值~', '短评打分': 3}
{'短评内容': '水真的不热啊。。。  床真的很硬啊。。。', '短评打分': 1}
{'短评内容': '靠车站很近，价格较合理。早餐比较简单，但是很合口。下次还会入住', '短评打分': 5}
{'短评内容': '基本满意！！房间空调开不了！地暖也不是很热！', '短评打分': 5}
{'短评内容': '非常不错的房间  我很喜欢  交通也比较便利  就是不好找吃饭的地方', '短评打分': 5}
{'短评内容': '十价格便宜，环境好', '短评打分': 3}
{'短评内容': '干净卫生 有早餐供应 位置也很方便。。。。。', '短评打分': 5}
{'短评内容': '宾馆不错，实话，早餐也不错，种类虽然不多，但是餐厅很有格调，装修啥的都比较不错，下次还住这家……', '短评打分': 3}
{'短评内容': '房间不错，就是窗户的隔音不好，路边比较吵', '短评打分': 3}
{'短评内容': '酒店很干净，卫生条件很好。还带有免费早餐，唯一美中不足就是，卫生间要是带有吹风机就好了。', '短评打分': 5}
