{'短评内容': '环境好位于步行街', '短评打分': 5}
{'短评内容': '还可以的', '短评打分': 5}
{'短评内容': '还可以  房间还算干净', '短评打分': 5}
{'短评内容': '还不错，下次有机会再入住', '短评打分': 5}
{'短评内容': '感觉非常满意，下次再来哦', '短评打分': 5}
{'短评内容': '无论结果怎么样在这儿都是美好的回忆，我爱你小蜜', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '因为携程跟酒店之间的衔接问题，到酒店后无法入住，等了一个多小时，不过最后解决的还满意，房间不错，酒店老板不错，好评！', '短评打分': 5}
{'短评内容': '还可以，方便', '短评打分': 5}
{'短评内容': '挺好的，干净舒适。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '牙膏牙刷还要钱？真是搞不懂哎？', '短评打分': 3}
{'短评内容': '商家有欺骗行为！图片不真实！房间没有窗户而且没有牙刷！反锁也是坏的', '短评打分': 2}
{'短评内容': '超小的房间，没窗户。wifi链接五分钟掉两分钟。周边嘈杂', '短评打分': 3}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '还行，没有无偿的牙膏牙刷！', '短评打分': 4}
