{'短评内容': '好！', '短评打分': 5}
{'短评内容': '早餐非常好', '短评打分': 5}
{'短评内容': '应该不错吧', '短评打分': 5}
{'短评内容': '酒店早餐只能算是简陋，而且不保温。房间还是很大的，舒适度不错。一般酒店可以延期1到2个小时退房，但是这里不行。', '短评打分': 4}
{'短评内容': '还可以吧。', '短评打分': 5}
{'短评内容': '蛮好的一住的舒服', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还都一般，可以说所有服务都不怎么样，价格合适的', '短评打分': 2}
{'短评内容': '前台服务很差，餐厅服务不错，整体环境还可以', '短评打分': 4}
{'短评内容': '酒店里没可消费的东西', '短评打分': 5}
{'短评内容': '价格便宜，比较实惠，早餐品种不够丰富', '短评打分': 5}
{'短评内容': '饿了家酒店挺好的环境挺好服务也挺周到。', '短评打分': 3}
{'短评内容': '还不错 环境比较好 比较清净 停车比较方便。', '短评打分': 3}
