{'短评内容': '环境还可以，不过太旧了，服务一般，居然没配瓶水。', '短评打分': 3}
{'短评内容': '房间真的有点旧而且显得不安全，整个房间连纸巾都没有，电视台就两个台，前台服务态度真的不是很好，需要改进除了位置好点别的真没啥，不推荐入住', '短评打分': 3}
{'短评内容': '交通方便，不靠街的房间还可以，就是电脑速度让人实在受不了', '短评打分': 5}
{'短评内容': '  地理位置不错，就是装修太老了', '短评打分': 3}
{'短评内容': '不是很通风，房间有味道，蚊子比较多，但总体还可以，服务也比较周到，就是价格偏高，同等的商务酒店可以适当的调整价格，因为设施有点陈旧了，环境还可以，车位比较少需收费，市中心出行比较方便！', '短评打分': 5}
{'短评内容': '市中心位置，就是价格偏高，服务态度不错，以后可以重新装修改善环境！', '短评打分': 5}
{'短评内容': '整体环境可以，出行也比较方便，就是整体设施略显陈旧，可以降低价格或者改善设备！', '短评打分': 5}
{'短评内容': '商务酒店，价格有点略高，但市中心闹市区，出入比较方便，车位太少需要付费！', '短评打分': 5}
{'短评内容': '出入方便，停车位比较少，服务热情周到，以后还会继续入住！', '短评打分': 5}
{'短评内容': '价格偏高，服务比较到位，整体环境还可以，就是设施相对比较旧了，可以适当的改善！', '短评打分': 5}
{'短评内容': '出行方便，房间比较陈旧，总体环境可以，服务人员比较热情周到，值得推荐！', '短评打分': 5}
{'短评内容': '商务酒店，环境略显陈旧，可以适当的降价，处于市中心，出行比较方便，车位比较少。', '短评打分': 5}
{'短评内容': '房间空气一般，声音比较嘈杂，但床位比较舒适，适合入住，出行比较方便！', '短评打分': 5}
{'短评内容': '出行比较方便，周边就餐也比较好，就是环境有点陈旧，价格可以适当的降低！', '短评打分': 5}
{'短评内容': '服务比较热情周到，出入在闹市中心，以后还会继续入住！', '短评打分': 5}
{'短评内容': '环境不错，出入方便，就是停车有点不方便！', '短评打分': 5}
{'短评内容': '住了几次物有所值11111111111111111111111111111111111111', '短评打分': 5}
{'短评内容': '实在是对不起这个价格，来一次我就怕了。还豪华标准房，里面挺破，东西挺旧的。枕头都是黑乎乎的，里面东西也少，衣服都没地方挂。房间让人感觉挺大，主要是连个柜子都没有。洗澡这水那个纠结，喷头都是坏的。水小，冲着都不舒服。', '短评打分': 1}
{'短评内容': '除了采光不太好之外，其他的还不错了，窗外的空调很吵', '短评打分': 5}
{'短评内容': '还可以，离要去办事的地方很近，所以很方便，以后还会考虑的，谢谢！', '短评打分': 5}
{'短评内容': '特价房性价比最高尚可，其他价格较高', '短评打分': 3}
{'短评内容': '地点位于市中心，出门就可以逛街买东西，比较方便。客房也比较整洁，不吵，以后还是会入住。', '短评打分': 5}
{'短评内容': '位置处于繁华地区，大楼外观比较老旧，电梯有些残旧。但是酒店的内部装潢风格清新怡人，风格比较喜欢。房间内部也简洁明快，不过地毯稍脏。总体来讲，性价比还比较高。', '短评打分': 5}
{'短评内容': ' 酒店位于五马街商业区，逛街方便，酒店设施还算可以，前台热情。', '短评打分': 3}
{'短评内容': '服务员态度过尚可，对周边环境不熟', '短评打分': 3}
{'短评内容': '地段很好，比较容易打车，去哪里都方便，离五马街很近。朝马路比较吵，不朝马路的窗外是楼道深井，这点不好。每晚都有中年阿姨来发小广告。', '短评打分': 1}
{'短评内容': '房间灯光很暗，卫生间和卧室连在一起，空调是坏的，唉。。。。', '短评打分': 1}
{'短评内容': '就是一个字  烂\n在市中心不好的酒店，比招待所还要差，烂，烂，烂。', '短评打分': 1}
{'短评内容': '地理位置很好，逛街什么的都很方便。装修暖色调的，很有爱~~前台MM很和善哟~~', '短评打分': 5}
{'短评内容': '挺好的。里面环境不错，和恋人一起很舒服。', '短评打分': 5}
{'短评内容': '电视只有几个台，酒店说是因为最近在升级数字电视，既然这样也不能剥夺我们的权利啊，遥控器也很不争气，房间灯光太暗，性价比很低，不推荐', '短评打分': 1}
{'短评内容': '很不错的一个酒店，感觉很舒服很温馨。酒店的位置也很不错，处在市中心的位置，餐饮娱乐都比较方便。。。总之下次还会去住的。。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '宾馆开在很旧的楼里，房间还算干净，停车很不方便', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '如果是参加农行体检，而且在规定时间内赶不到的话，这个宾馆是个好选择', '短评打分': 5}
{'短评内容': '，很差', '短评打分': 3}
{'短评内容': '豪华标房没有特价房好，硬件设施还需要加强', '短评打分': 5}
{'短评内容': '酒店很干净，就是洗脸盘竟然在床旁边，没有档的东西的。', '短评打分': 5}
{'短评内容': '优点：房间大\n缺点：房间设计陈旧，不太干净，掀开被子发现一只小虫子。\n价格：特级房165，这个价钱应该还能找到相对干净点的宾馆。', '短评打分': 1}
{'短评内容': '价格实惠，环境可以。\n就是之前住的那间 地板积水 房间有的潮湿。', '短评打分': 5}
{'短评内容': '环境我很喜欢。听特别的，就是有一点吗个被单被套枕头套该换一下了，上面都起毛球了，睡起来感觉不干净，还有退房时间应该要在14点以前，现在基本上都是这样了，12点太早了，来不及准备哦，其他都很满意！', '短评打分': 5}
{'短评内容': '我们住的豪华商务标间，竟然连网线都是不能用的，而且交涉了几次，就是推脱说没有网管，解决不了。', '短评打分': 1}
{'短评内容': '一般，设施比较陈旧，但是房间还是挺大的，住的不是很舒服', '短评打分': 1}
{'短评内容': '   因为晚到的缘故，原来预定的宾馆取消了，客服小姐热情的推荐了这家，说是三星级标准的，目前好评率是100%的，于是就答应了。\n   找到了楼下，就不想上去了，位于一个路口，没有正门的，只能从后面大楼的楼口进去，似乎是很不正规的感觉，上了9楼前台，入住了所谓的豪华标间，房间在11楼，于是上去，楼层都是开放式的，很没有安全感。\n    房间设施一般，地上躺着一张特殊服务的小卡片，真恶心。靠窗，很吵，', '短评打分': 1}
{'短评内容': '隔音不是很好，车流马龙的，很吵…其他还行', '短评打分': 3}
{'短评内容': '价格与卫生设施是可以的性价比较高', '短评打分': 3}
{'短评内容': '性价比还可以，地段好，服务还可以，商务酒店呗！', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '.满意!', '短评打分': 3}
{'短评内容': '已入住索菲特之家', '短评打分': 3}
{'短评内容': '交通还算方便，房间一般，房间没有前台电话', '短评打分': 3}
{'短评内容': '酒店还可以、网速比较慢', '短评打分': 3}
{'短评内容': '   位置市中心  交通方便 环境还好，就是感觉地毯不太干净', '短评打分': 3}
{'短评内容': '设施一般，但是服务人员很热心，不厌其烦的给我们介绍当地的特色.', '短评打分': 5}
{'短评内容': '价格适中，硬件一般，软件还可以，感觉有点 老', '短评打分': 5}
{'短评内容': '设施还不错，就是空调不行，洗澡间没有门，只有帘子', '短评打分': 5}
{'短评内容': '一般，房间的宽带不是太好，有些房间是坏的．', '短评打分': 5}
{'短评内容': '地理位置不错的 逛街方便啊   就是洗脸台不这么舒服啊', '短评打分': 5}
{'短评内容': '住的是豪华标准间，挺温馨的一个房间，设施齐全，暖气也很足，房间里有热水壶，浴室里有吹风机，价格也合理。唯一的不足是床垫有点硬了，不太舒服。', '短评打分': 5}
{'短评内容': '住特价房。房间还算大。总体还算好。宽带不能用换一次房。', '短评打分': 3}
{'短评内容': '房间有点吵，位置离市中心很近交通蛮方便。还可以', '短评打分': 5}
{'短评内容': '＋很好', '短评打分': 3}
{'短评内容': '酒店一般，服务还可以。', '短评打分': 3}
{'短评内容': '设施旧了点，但是房间很大，只是那些小纸条太讨厌了', '短评打分': 5}
{'短评内容': '好的呀！！就在是中心~~离五马街啊~纱帽河啊~很近~~~楼下就是矮人松糕~~南站饺子~~到处都是吃的~~~如果去温州玩~~住那很方便~~~附近~~就有公交站去南站~~打个的去客运中心、江心屿~~都不用12块~~走走路都行~~~住的环境也不错~~~可以了~~这么个地段~~这么价~~真的算很实惠啦~~~', '短评打分': 5}
{'短评内容': '还不错 地点比较方便~就是巴黎大厦上到酒店比较难找~', '短评打分': 5}
{'短评内容': '很不错,性价比高', '短评打分': 3}
