{'短评内容': '还不错！在广州算便宜的了！离地铁站近！', '短评打分': 5}
{'短评内容': '不错哦，环境还可以哒。住的蛮舒服', '短评打分': 5}
{'短评内容': '此用户未填写评价内容', '短评打分': 5}
{'短评内容': '离长隆动物园比较近', '短评打分': 5}
{'短评内容': '7天一直是我信赖的品牌酒店，不论是装修风格还是论人气，7天一直很赞，住了那么多年7天，对他已经有了依赖性，每次旅游必住7天，服务也很到位专业！', '短评打分': 5}
{'短评内容': '酒店离长隆很近，而且酒店有车免费载去长隆园区，酒店服务态度很好，房间也可以！', '短评打分': 5}
{'短评内容': '连续订两天                                                 ', '短评打分': 5}
{'短评内容': '服务满意   态度很好', '短评打分': 5}
{'短评内容': '经济实惠！', '短评打分': 4}
{'短评内容': '.', '短评打分': 5}
{'短评内容': '很棒很棒，非常好，效果佳，购物体验极棒', '短评打分': 5}
{'短评内容': '还不错，很干净，地板光亮，床也很舒服！真心不错了！', '短评打分': 5}
{'短评内容': '尽量不要入住番禺的酒店，越晚越贵，房间还特别小。哈哈', '短评打分': 5}
{'短评内容': '嗯哼了吧？是你给予了', '短评打分': 5}
{'短评内容': '嗯哼、：好吧、好了、好，', '短评打分': 5}
{'短评内容': '好了！嗯嗯嗯哦', '短评打分': 5}
{'短评内容': '非常好的商品 支持京东', '短评打分': 5}
{'短评内容': '去长隆动物园订的，订前还担心会有网上那些坑，没想到比预期的好不少，算得上价廉物美，房间不大，比较紧凑，但该有的都有，蛮温馨的感觉，单人房床大，早上起床还能免费送到动物园门口，看牌子貌似广州南站也可以送，强力推荐。', '短评打分': 5}
{'短评内容': '好久都城与其说得了一个个', '短评打分': 5}
{'短评内容': '去澳门回来，又回到这个酒店了，还是感觉这里的服务和卫生都很好，大姐们真热情，以后住酒店就选择这样的服务', '短评打分': 5}
{'短评内容': '今天回来退房晚了，但是前台还是给留房了，服务很贴心，而且客房大姐把卫生也打扫的很干净，感谢酒店的服务！', '短评打分': 5}
{'短评内容': '服务态度好，周边环境吃很方便，离动物园很近，这个价格算可以了', '短评打分': 4}
{'短评内容': '是酒店帮忙买的门票，大马戏很好看，朋友开心，前台热情的服务，才会让我们玩的开心，司机师傅服务很到位，房间卫生干净，空调也很给力，这个天气在房间感觉不到冷', '短评打分': 5}
{'短评内容': '前台服务热情，房间卫生干净，附近吃东西的地方也很多，小吃宵夜都有，离地铁站也挺近的，有限时免费接送车，还是蛮方便的，赞', '短评打分': 5}
{'短评内容': '酒店的服务态度不错，环境还行，价格合理，离长隆景点近。', '短评打分': 5}
{'短评内容': '酒店的服务态度不错，环境还行，价格合理，离长隆景点近。', '短评打分': 5}
{'短评内容': '酒店还不错', '短评打分': 5}
{'短评内容': '离动物园较近 方便 简单', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '酒店服务很好，离长隆很近，还有车接送', '短评打分': 5}
{'短评内容': '朋友说挺不错的，离长隆很近', '短评打分': 5}
